,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,79743,59416.0,,38372.0,,66880.0,32600.2,,34004.3,5945.2,28708.0,-20327.0,,-41371.0,,-12863.0,-47142.8,,-45738.7,-73797.8,-51035.0,,False,,True,False,,False,False,False
Alaska,18836,5104.0,,5806.7,,,7122.0,3175.9,2631.8,9956.3,4550.0,-13732.0,,-13029.3,,,-11714.0,-15660.1,-16204.2,-8879.7,-14286.0,,True,,,True,False,False,True,False
Arizona,78508,26200.0,,24718.3,,21069.0,35098.7,6302.9,17370.8,16372.6,6696.0,-52308.0,,-53789.7,,-57439.0,-43409.3,-72205.1,-61137.2,-62135.4,-71812.0,,False,,False,True,False,False,False,False
Arkansas,63066,44760.0,,41596.1,,46560.0,67607.6,13472.5,27163.8,23440.3,25385.0,-18306.0,,-21469.9,,-16506.0,4541.6,-49593.5,-35902.2,-39625.7,-37681.0,,False,,True,True,False,False,False,False
California,297984,193104.0,,134077.4,,161802.0,155153.7,69225.8,119579.7,135690.2,136365.0,-104880.0,,-163906.6,,-136182.0,-142830.3,-228758.2,-178404.3,-162293.8,-161619.0,,False,,False,False,False,False,False,False
Colorado,126169,33224.0,,32537.0,,36813.0,81057.1,11190.3,18518.9,48258.1,59005.0,-92945.0,,-93632.0,,-89356.0,-45111.9,-114978.7,-107650.1,-77910.9,-67164.0,,False,,True,True,False,False,True,True
Connecticut,44882,8480.0,,6958.0,,6223.0,8382.3,344.2,6726.5,4044.4,3065.0,-36402.0,,-37924.0,,-38659.0,-36499.7,-44537.8,-38155.5,-40837.6,-41817.0,,False,,False,False,False,False,False,False
Delaware,11165,5656.0,,5590.7,,3916.0,11371.6,2487.9,3335.9,4082.9,2887.0,-5509.0,,-5574.3,,-7249.0,206.6,-8677.1,-7829.1,-7082.1,-8278.0,,False,,False,True,False,False,False,False
District of Columbia,4746,2504.0,,1594.2,,1502.0,3290.0,303.1,1668.6,1839.9,2090.0,-2242.0,,-3151.8,,-3244.0,-1456.0,-4442.9,-3077.4,-2906.1,-2656.0,,False,,False,True,False,False,False,False
Florida,233145,139592.0,,97966.7,,107873.0,134752.7,39976.1,83136.6,76021.4,85601.0,-93553.0,,-135178.3,,-125272.0,-98392.3,-193168.9,-150008.4,-157123.6,-147544.0,,False,,False,False,False,False,False,False
Georgia,132931,70816.0,,51005.2,,73024.0,51476.1,29793.1,36091.1,35895.8,36691.0,-62115.0,,-81925.8,,-59907.0,-81454.9,-103137.9,-96839.9,-97035.2,-96240.0,,False,,True,False,False,False,False,False
Hawaii,5156,5536.0,,4433.0,,,1524.0,1410.6,3527.9,5269.2,3037.0,380.0,,-723.0,,,-3632.0,-3745.4,-1628.1,113.2,-2119.0,,False,,,False,False,False,True,False
Idaho,50538,24392.0,,21267.2,,13997.0,32460.8,5537.6,10921.1,21291.4,14114.0,-26146.0,,-29270.8,,-36541.0,-18077.2,-45000.4,-39616.9,-29246.6,-36424.0,,False,,False,True,False,False,False,False
Illinois,357513,109856.0,,79625.8,,85582.0,120668.1,59604.6,104373.4,96979.9,67492.0,-247657.0,,-277887.2,,-271931.0,-236844.9,-297908.4,-253139.6,-260533.1,-290021.0,,False,,False,True,False,False,False,False
Indiana,172634,46320.0,,45539.4,,27503.0,38739.8,22218.5,28912.7,52728.2,32364.0,-126314.0,,-127094.6,,-145131.0,-133894.2,-150415.5,-143721.3,-119905.8,-140270.0,,False,,False,False,False,False,True,False
Iowa,123295,48832.0,,40487.2,,51411.0,37834.2,17098.4,35473.8,35864.6,19155.0,-74463.0,,-82807.8,,-71884.0,-85460.8,-106196.6,-87821.2,-87430.4,-104140.0,,False,,True,False,False,False,False,False
Kansas,78961,33336.0,,26274.4,,25487.0,17912.0,7826.5,32129.1,19830.3,30123.0,-45625.0,,-52686.6,,-53474.0,-61049.0,-71134.5,-46831.9,-59130.7,-48838.0,,False,,False,False,False,False,False,False
Kentucky,89872,39440.0,,33232.8,,39453.0,38949.9,16810.3,27650.6,38117.3,29449.0,-50432.0,,-56639.2,,-50419.0,-50922.1,-73061.7,-62221.4,-51754.7,-60423.0,,False,,True,False,False,False,False,False
Louisiana,51557,29160.0,,15698.3,,42674.0,22424.0,12620.9,12055.2,13531.2,11241.0,-22397.0,,-35858.7,,-8883.0,-29133.0,-38936.1,-39501.8,-38025.8,-40316.0,,False,,True,False,False,False,False,False
Maine,4865,1792.0,,1634.6,,1467.0,2697.6,720.0,1887.4,1468.9,2346.0,-3073.0,,-3230.4,,-3398.0,-2167.4,-4145.0,-2977.6,-3396.1,-2519.0,,False,,False,True,False,True,False,True
Maryland,56999,25824.0,,20767.3,,22904.0,25245.4,8880.9,13248.8,15107.8,14392.0,-31175.0,,-36231.7,,-34095.0,-31753.6,-48118.1,-43750.2,-41891.2,-42607.0,,False,,False,False,False,False,False,False
