,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,27190,20394.0,31317.6,19126.5,20551.0,22967.0,,19533.7,9511.0,26551.5,29143.6,,20749.0,19309.0,20614.5,20223.4,22310.0,21589.5,24842.5,18357.5,20852.5,25642.9,23225.0,,13788.1,15589.1,14734.2,24667.4,24908.3,20440.8,19633.0,22509.5,-6796.0,4127.6,-8063.5,-6639.0,-4223.0,,-7656.3,-17679.0,-638.5,1953.6,,-6441.0,-7881.0,-6575.5,-6966.6,-4880.0,-5600.5,-2347.5,-8832.5,-6337.5,-1547.1,-3965.0,,-13401.9,-11600.9,-12455.8,-2522.6,-2281.7,-6749.2,-7557.0,-4680.5,True,False,True,True,,False,False,True,True,,True,False,True,False,True,True,True,False,True,True,True,,False,False,False,True,True,True,False,True
Alaska,7918,5902.0,1247.2,5935.7,6928.0,4100.0,,5499.7,2875.0,9227.7,7437.6,,,,7570.3,8306.6,6587.0,7376.0,8710.9,9710.5,8272.1,8296.8,8078.0,,7717.8,7030.6,5359.7,6563.1,6473.6,10875.6,75.0,8163.4,-2016.0,-6670.8,-1982.3,-990.0,-3818.0,,-2418.3,-5043.0,1309.7,-480.4,,,,-347.7,388.6,-1331.0,-542.0,792.9,1792.5,354.1,378.8,160.0,,-200.2,-887.4,-2558.3,-1354.9,-1444.4,2957.6,-7843.0,245.4,False,True,True,False,,False,False,True,True,,,,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,False,False,True
Arizona,37950,22876.0,39014.0,22833.9,24625.0,30260.0,,21119.2,2264.0,25918.9,27175.5,,24803.0,17586.0,21594.1,18765.2,26155.0,22462.5,34446.4,31759.5,31266.3,32357.9,32411.0,,38227.5,23578.2,16236.5,23262.5,29534.2,26599.4,27278.0,27600.9,-15074.0,1064.0,-15116.1,-13325.0,-7690.0,,-16830.8,-35686.0,-12031.1,-10774.5,,-13147.0,-20364.0,-16355.9,-19184.8,-11795.0,-15487.5,-3503.6,-6190.5,-6683.7,-5592.1,-5539.0,,277.5,-14371.8,-21713.5,-14687.5,-8415.8,-11350.6,-10672.0,-10349.1,True,False,True,True,,False,False,True,True,,True,False,False,False,True,False,True,True,True,True,True,,True,True,False,True,True,True,True,True
Arkansas,22993,17276.0,17545.0,17244.9,17349.0,19681.0,,15447.1,10048.0,20242.3,18284.3,,18842.0,16093.0,17447.3,16847.7,18652.0,16800.0,15752.8,18293.5,21292.3,17974.2,21817.0,,30446.9,11731.6,12205.8,17302.2,22590.8,16237.5,16902.0,19164.2,-5717.0,-5448.0,-5748.1,-5644.0,-3312.0,,-7545.9,-12945.0,-2750.7,-4708.7,,-4151.0,-6900.0,-5545.7,-6145.3,-4341.0,-6193.0,-7240.2,-4699.5,-1700.7,-5018.8,-1176.0,,7453.9,-11261.4,-10787.2,-5690.8,-402.2,-6755.5,-6091.0,-3828.8,True,False,True,True,,False,False,True,True,,True,False,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,False,False,True
California,136073,74438.0,76885.7,75177.3,75235.0,94600.0,,68187.4,16667.0,84033.7,94326.2,,74760.0,61991.0,73209.3,65358.7,74835.0,69093.5,85068.1,89011.0,87332.4,79472.9,93883.0,,84412.6,13656.8,58055.8,68137.6,116089.2,78552.5,79763.0,84530.8,-61635.0,-59187.3,-60895.7,-60838.0,-41473.0,,-67885.6,-119406.0,-52039.3,-41746.8,,-61313.0,-74082.0,-62863.7,-70714.3,-61238.0,-66979.5,-51004.9,-47062.0,-48740.6,-56600.1,-42190.0,,-51660.4,-122416.2,-78017.2,-67935.4,-19983.8,-57520.5,-56310.0,-51542.2,True,True,True,True,,False,False,True,True,,True,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
Colorado,66712,41234.0,75976.2,41996.4,47805.0,51330.0,,36647.3,128329.0,57820.3,48289.0,,43573.0,36194.0,42031.7,39106.3,45202.0,47962.5,62756.9,69500.0,56700.0,50451.8,52683.0,,58421.5,55140.9,37517.0,32364.2,57579.5,81665.6,43130.0,47628.6,-25478.0,9264.2,-24715.6,-18907.0,-15382.0,,-30064.7,61617.0,-8891.7,-18423.0,,-23139.0,-30518.0,-24680.3,-27605.7,-21510.0,-18749.5,-3955.1,2788.0,-10012.0,-16260.2,-14029.0,,-8290.5,-11571.1,-29195.0,-34347.8,-9132.5,14953.6,-23582.0,-19083.4,True,True,True,True,,False,False,True,True,,True,False,True,False,True,True,True,True,True,True,True,,True,True,False,False,True,True,True,True
Connecticut,23344,13836.0,17228.6,13635.4,13889.0,15761.0,,13402.9,13464.0,19301.2,11047.4,,8813.0,11589.0,13941.0,12397.8,16037.0,13176.5,19426.8,14477.0,14678.5,16690.2,15421.0,,11663.9,11752.3,13144.6,12691.6,19205.9,14811.3,14909.0,16464.4,-9508.0,-6115.4,-9708.6,-9455.0,-7583.0,,-9941.1,-9880.0,-4042.8,-12296.6,,-14531.0,-11755.0,-9403.0,-10946.2,-7307.0,-10167.5,-3917.2,-8867.0,-8665.5,-6653.8,-7923.0,,-11680.1,-11591.7,-10199.4,-10652.4,-4138.1,-8532.7,-8435.0,-6879.6,True,False,True,True,,False,False,True,False,,False,False,True,False,True,False,True,True,True,True,True,,False,False,False,False,True,True,True,True
Delaware,5063,2614.0,1292.2,2603.6,2626.0,3239.0,,2638.9,1735.0,4073.5,2685.4,,2480.0,2295.0,2634.4,2247.7,2843.0,2319.0,2507.9,3136.0,4405.4,4455.6,3433.0,,4553.0,2383.1,2253.3,2669.3,3688.0,1970.5,2992.0,4469.5,-2449.0,-3770.8,-2459.4,-2437.0,-1824.0,,-2424.1,-3328.0,-989.5,-2377.6,,-2583.0,-2768.0,-2428.6,-2815.3,-2220.0,-2744.0,-2555.1,-1927.0,-657.6,-607.4,-1630.0,,-510.0,-2679.9,-2809.7,-2393.7,-1375.0,-3092.5,-2071.0,-593.5,False,False,True,True,,True,False,True,True,,False,False,True,False,True,False,False,True,True,True,True,,True,False,False,True,True,False,True,True
District of Columbia,2070,1250.0,4654.1,1283.3,1270.0,1145.0,,1162.3,347.0,1628.0,2552.3,,1160.0,867.0,1166.5,983.7,1479.0,1111.5,1404.4,1604.5,1644.1,,1758.0,,1870.2,650.8,1150.8,1321.8,1844.5,,1513.0,1515.1,-820.0,2584.1,-786.7,-800.0,-925.0,,-907.7,-1723.0,-442.0,482.3,,-910.0,-1203.0,-903.5,-1086.3,-591.0,-958.5,-665.6,-465.5,-425.9,,-312.0,,-199.8,-1419.2,-919.2,-748.2,-225.5,,-557.0,-554.9,False,True,True,False,,False,False,True,True,,False,False,False,False,True,False,True,True,True,,True,,True,False,False,True,True,,True,True
Florida,94750,69060.0,72509.8,71584.6,72791.0,88748.0,,67296.5,14097.0,89516.3,74094.2,,64885.0,56928.0,68290.2,62501.7,74722.0,66294.0,84255.2,85376.0,94631.3,84131.0,87869.0,,81998.6,53788.5,49939.2,68733.7,98165.0,75006.7,62655.0,81917.5,-25690.0,-22240.2,-23165.4,-21959.0,-6002.0,,-27453.5,-80653.0,-5233.7,-20655.8,,-29865.0,-37822.0,-26459.8,-32248.3,-20028.0,-28456.0,-10494.8,-9374.0,-118.7,-10619.0,-6881.0,,-12751.4,-40961.5,-44810.8,-26016.3,3415.0,-19743.3,-32095.0,-12832.5,True,True,True,True,,False,False,True,True,,False,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,False,True
