,mean_rank
MSRA-DeepST,9.4
OliverWyman-Navigator,10.1
JHU_CSSE-DECOM,10.3
LNQ-ens1,10.8
UChicagoCHATTOPADHYAY-UnIT,10.8
COVIDhub-ensemble,11.3
CU-select,11.8
Geneva-DetGrowth,12.2
LANL-GrowthRate,12.8
IowaStateLW-STEM,13.2
USACE-ERDC_SEIR,14.2
Google_Harvard-CPF,14.2
Karlen-pypm,14.7
CEID-Walk,14.8
DDS-NBDS,14.9
COVIDhub-baseline,15.3
UVA-Ensemble,15.3
IQVIA_ACOE-STAN,15.5
RobertWalraven-ESG,15.9
BPagano-RtDriven,16.5
UMich-RidgeTfReg,16.7
USC-SI_kJalpha,16.7
JHUAPL-Bucky,16.8
JCB-PRM,17.0
JHU_UNC_GAS-StatMechPool,18.4
UCLA-SuEIR,19.0
UCSB-ACTS,21.1
TTU-squider,24.0
JHU_IDD-CovidSP,24.9
CovidAnalytics-DELPHI,26.6
