,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,14865,13361.0,16568.1,12889.2,13486.0,13925.0,,5183.0,15570.1,16105.8,17934.0,,13841.0,16470.0,11981.0,9966.4,16389.0,8488.4,12433.5,12919.9,13707.5,16495.2,16496.9,15298.0,,21269.4,7698.3,,11492.4,13051.1,14994.3,12991.9,17501.2,12177.0,14568.4,-1504.0,1703.1,-1975.8,-1379.0,-940.0,,-9682.0,705.1,1240.8,3069.0,,-1024.0,1605.0,-2884.0,-4898.6,1524.0,-6376.6,-2431.5,-1945.1,-1157.5,1630.2,1631.9,433.0,,6404.4,-7166.7,,-3372.6,-1813.9,129.3,-1873.1,2636.2,-2688.0,-296.6,False,False,True,True,,False,True,True,False,,True,False,False,False,False,False,False,False,True,False,False,True,,False,False,,False,False,True,False,False,False,True
Alaska,4071,3847.0,2988.7,3792.1,3940.0,2797.0,,1684.0,4858.0,4707.7,4525.6,,,,4280.2,3939.7,4428.0,2264.2,4427.0,4825.9,4993.0,4762.1,4584.4,4742.0,,5292.4,3737.7,,3852.5,3933.5,4254.8,2964.0,4806.9,0.0,5523.3,-224.0,-1082.3,-278.9,-131.0,-1274.0,,-2387.0,787.0,636.7,454.6,,,,209.2,-131.3,357.0,-1806.8,356.0,754.9,922.0,691.1,513.4,671.0,,1221.4,-333.3,,-218.5,-137.5,183.8,-1107.0,735.9,-4071.0,1452.3,False,False,True,False,,False,False,False,False,,,,True,True,False,False,False,False,False,False,False,False,,False,False,,True,True,True,False,False,False,False
Arizona,22281,15669.0,12995.1,15614.2,16852.0,19081.0,,1449.0,19704.4,18627.6,24195.4,,16903.0,16188.0,15048.4,14825.4,16330.0,15278.5,14613.5,19298.4,20062.5,19550.7,20123.4,19281.0,,22207.2,12760.8,,13146.4,14208.9,17319.4,18738.0,20711.3,17544.0,25078.8,-6612.0,-9285.9,-6666.8,-5429.0,-3200.0,,-20832.0,-2576.6,-3653.4,1914.4,,-5378.0,-6093.0,-7232.6,-7455.6,-5951.0,-7002.5,-7667.5,-2982.6,-2218.5,-2730.3,-2157.6,-3000.0,,-73.8,-9520.2,,-9134.6,-8072.1,-4961.6,-3543.0,-1569.7,-4737.0,2797.8,False,False,True,True,,False,True,True,True,,True,True,False,False,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Arkansas,11655,11338.0,8596.0,11382.7,11244.0,10571.0,,5284.0,10650.4,12473.6,13769.5,,12111.0,13774.0,11401.9,12851.8,13604.0,6338.0,10552.0,11419.3,11010.0,12180.9,12286.2,12132.0,,15928.6,6200.8,,9887.8,9951.2,13171.3,12552.2,10184.2,10872.0,12843.4,-317.0,-3059.0,-272.3,-411.0,-1084.0,,-6371.0,-1004.6,818.6,2114.5,,456.0,2119.0,-253.1,1196.8,1949.0,-5317.0,-1103.0,-235.7,-645.0,525.9,631.2,477.0,,4273.6,-5454.2,,-1767.2,-1703.8,1516.3,897.2,-1470.8,-783.0,1188.4,False,True,False,False,,False,False,False,False,,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
California,85088,53705.0,60692.6,53735.5,58156.0,60650.0,,8569.0,58262.1,71447.2,62319.2,,54159.0,65362.0,48451.2,58353.2,61033.0,43744.9,46882.0,56919.6,81529.5,78847.6,60005.9,65151.0,,74067.2,5975.0,,46220.9,45285.1,70526.2,53979.0,81190.7,61595.0,107099.7,-31383.0,-24395.4,-31352.5,-26932.0,-24438.0,,-76519.0,-26825.9,-13640.8,-22768.8,,-30929.0,-19726.0,-36636.8,-26734.8,-24055.0,-41343.1,-38206.0,-28168.4,-3558.5,-6240.4,-25082.1,-19937.0,,-11020.8,-79113.0,,-38867.1,-39802.9,-14561.8,-31109.0,-3897.3,-23493.0,22011.7,True,True,True,True,,False,True,True,True,,True,True,False,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Colorado,35445,31267.0,39639.8,31852.4,35445.0,34566.0,,64189.0,38593.9,42525.1,41436.5,,33622.0,27646.0,30249.2,32755.3,36168.0,21314.3,32476.5,39952.0,44882.5,39016.4,37536.4,34830.0,,45898.4,31430.9,,28411.8,24786.1,35206.4,42369.1,35178.2,29892.0,39725.3,-4178.0,4194.8,-3592.6,0.0,-879.0,,28744.0,3148.9,7080.1,5991.5,,-1823.0,-7799.0,-5195.8,-2689.7,723.0,-14130.7,-2968.5,4507.0,9437.5,3571.4,2091.4,-615.0,,10453.4,-4014.1,,-7033.2,-10658.9,-238.6,6924.1,-266.8,-5553.0,4280.3,False,True,True,True,,False,True,False,False,,True,False,False,True,True,False,True,False,False,True,True,True,,False,True,,False,False,True,False,True,False,False
Connecticut,12824,10520.0,9812.9,10397.3,10484.0,12869.0,,9706.0,87091.1,12481.1,6806.1,,7532.0,8248.0,9203.0,10448.6,13018.0,10516.8,8681.0,13163.7,12561.5,10810.0,12617.5,8457.0,,13010.8,7561.6,,10311.3,8648.4,12526.8,15750.7,7371.2,9038.0,14422.8,-2304.0,-3011.1,-2426.7,-2340.0,45.0,,-3118.0,74267.1,-342.9,-6017.9,,-5292.0,-4576.0,-3621.0,-2375.4,194.0,-2307.2,-4143.0,339.7,-262.5,-2014.0,-206.5,-4367.0,,186.8,-5262.4,,-2512.7,-4175.6,-297.2,2926.7,-5452.8,-3786.0,1598.8,False,False,False,True,,False,False,True,False,,False,False,False,False,True,False,False,True,True,True,True,False,,True,False,,False,False,True,False,False,False,True
Delaware,2926,2137.0,2091.4,2214.6,2111.0,2658.0,,1098.0,2380.8,2862.8,2514.7,,1989.0,2814.0,1855.7,2085.4,2400.0,1581.5,1716.5,2147.1,2808.0,2714.8,2655.5,2628.0,,2868.8,1208.0,,1896.4,1529.6,2669.7,1569.3,2943.0,2244.0,1699.5,-789.0,-834.6,-711.4,-815.0,-268.0,,-1828.0,-545.2,-63.2,-411.3,,-937.0,-112.0,-1070.3,-840.6,-526.0,-1344.5,-1209.5,-778.9,-118.0,-211.2,-270.5,-298.0,,-57.2,-1718.0,,-1029.6,-1396.4,-256.3,-1356.7,17.0,-682.0,-1226.5,False,True,False,True,,False,True,True,True,,False,True,False,False,True,False,False,True,True,True,True,True,,True,False,,False,False,True,False,True,True,False
District of Columbia,1147,923.0,811.9,954.9,955.0,1122.0,,543.0,1127.6,969.1,1142.7,,889.0,1023.0,876.7,899.7,1100.0,871.8,734.0,1102.5,1061.0,1171.3,,1129.0,,635.7,318.6,,830.5,772.2,1018.6,,1245.0,962.0,1006.6,-224.0,-335.1,-192.1,-192.0,-25.0,,-604.0,-19.4,-177.9,-4.3,,-258.0,-124.0,-270.3,-247.3,-47.0,-275.2,-413.0,-44.5,-86.0,24.3,,-18.0,,-511.3,-828.4,,-316.5,-374.8,-128.4,,98.0,-185.0,-140.4,False,True,True,True,,False,True,True,True,,False,True,False,False,True,False,False,True,True,True,,True,,False,False,,False,False,True,,True,True,True
Florida,56731,38019.0,50819.1,38004.6,39571.0,36699.0,,7525.0,51882.3,44666.6,45885.8,,36353.0,40294.0,40334.2,30835.2,42698.0,35516.9,36017.0,45315.4,48129.5,57050.0,48720.2,53222.0,,43508.4,28839.5,,31851.5,42728.3,46711.2,39060.6,49187.4,34504.0,36671.7,-18712.0,-5911.9,-18726.4,-17160.0,-20032.0,,-49206.0,-4848.7,-12064.4,-10845.2,,-20378.0,-16437.0,-16396.8,-25895.8,-14033.0,-21214.1,-20714.0,-11415.6,-8601.5,319.0,-8010.8,-3509.0,,-13222.6,-27891.5,,-24879.5,-14002.7,-10019.8,-17670.4,-7543.6,-22227.0,-20059.3,True,False,True,False,,False,True,True,True,,False,True,True,False,True,False,False,True,True,True,True,True,,True,False,,False,True,True,True,True,False,False
