,mean_rank
DDS-NBDS,4.6
LNQ-ens1,5.9
Karlen-pypm,6.1
JCB-PRM,8.1
JHU_CSSE-DECOM,8.6
JHU_UNC_GAS-StatMechPool,9.5
CU-select,9.9
UMich-RidgeTfReg,10.3
UCSB-ACTS,10.6
USACE-ERDC_SEIR,11.5
Google_Harvard-CPF,12.0
JHUAPL-Bucky,12.2
BPagano-RtDriven,12.3
COVIDhub-baseline,13.1
CEID-Walk,13.5
COVIDhub-ensemble,13.5
Covid19Sim-Simulator,13.8
USC-SI_kJalpha,14.1
IowaStateLW-STEM,15.6
RobertWalraven-ESG,17.3
JHU_IDD-CovidSP,19.1
LANL-GrowthRate,20.0
CovidAnalytics-DELPHI,20.3
TTU-squider,20.9
UCLA-SuEIR,22.0
