,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,3331791.0,3047894,283897.0,9.3%
DDS-NBDS,2587177.1,3047894,-460716.9,-15.1%
Karlen-pypm,2359326.4,3047894,-688567.6,-22.6%
LANL-GrowthRate,2259926.5,3047894,-787967.5,-25.9%
RobertWalraven-ESG,2158542.4,3047894,-889351.6,-29.2%
LNQ-ens1,2074944.6,3047894,-972949.4,-31.9%
CU-select,1959553.0,3047894,-1088341.0,-35.7%
QJHong-Encounter,1954241.4,3047894,-1093652.6,-35.9%
OliverWyman-Navigator,1942284.0,3047894,-1105610.0,-36.3%
Covid19Sim-Simulator,1893394.6,3047894,-1154499.4,-37.9%
UMich-RidgeTfReg,1863177.3,3047894,-1184716.7,-38.9%
USC-SI_kJalpha_RF,1857304.9,3047894,-1190589.1,-39.1%
JHUAPL-Bucky,1849177.8,3047894,-1198716.2,-39.3%
COVIDhub-ensemble,1847786.0,3047894,-1200108.0,-39.4%
USC-SI_kJalpha,1759455.5,3047894,-1288438.5,-42.3%
UCLA-SuEIR,1754368.4,3047894,-1293525.6,-42.4%
JCB-PRM,1753161.0,3047894,-1294733.0,-42.5%
IBF-TimeSeries,1743300.0,3047894,-1304594.0,-42.8%
BPagano-RtDriven,1722927.0,3047894,-1324967.0,-43.5%
MSRA-DeepST,1680963.6,3047894,-1366930.4,-44.8%
IowaStateLW-STEM,1652779.0,3047894,-1395115.0,-45.8%
COVIDhub-baseline,1645992.0,3047894,-1401902.0,-46.0%
CEID-Walk,1643080.9,3047894,-1404813.1,-46.1%
TTU-squider,1301037.8,3047894,-1746856.2,-57.3%
CovidAnalytics-DELPHI,1063405.0,3047894,-1984489.0,-65.1%
JHU_IDD-CovidSP,952053.5,3047894,-2095840.5,-68.8%
Google_Harvard-CPF,,3047894,,
JHU_CSSE-DECOM,,3047894,,
JHU_UNC_GAS-StatMechPool,,3047894,,
UCSB-ACTS,,3047894,,
