,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,542,260.0,,279.4,,263.0,281.0,,,,,204.8,,246.0,,367.0,,97.8,279.0,,149.9,322.1,,,,,222.0,,,,234.0,,-282.0,,-262.6,,-279.0,-261.0,,,,,-337.2,,-296.0,,-175.0,,-444.2,-263.0,,-392.1,-219.9,,,,,-320.0,,,,-308.0,,,True,,True,True,,,,,False,,False,,True,,False,True,,False,True,,,,,False,,,,False,
01003,1489,1148.0,,1174.7,,975.0,1718.0,,,,,938.2,,1424.0,,601.0,,481.9,858.5,,1000.2,905.6,,,,,803.7,637.0,,,0.0,,-341.0,,-314.3,,-514.0,229.0,,,,,-550.8,,-65.0,,-888.0,,-1007.1,-630.5,,-488.8,-583.4,,,,,-685.3,-852.0,,,-1489.0,,,True,,False,True,,,,,False,,True,,False,,False,False,,False,False,,,,,False,False,,,False,
01005,127,216.0,,202.4,,199.0,250.0,,,,,158.4,,123.0,,218.0,,55.6,,,93.6,201.7,,,,,,,,,178.0,,89.0,,75.4,,72.0,123.0,,,,,31.4,,-4.0,,91.0,,-71.4,,,-33.4,74.7,,,,,,,,,51.0,,,True,,True,False,,,,,True,,True,,False,,True,,,True,True,,,,,,,,,True,
01007,197,212.0,,209.1,,207.0,235.0,,,,,102.1,,123.0,,311.4,,43.3,,,151.1,230.1,,,,,,,,,297.0,,15.0,,12.1,,10.0,38.0,,,,,-94.9,,-74.0,,114.4,,-153.7,,,-45.9,33.1,,,,,,,,,100.0,,,True,,True,False,,,,,False,,False,,False,,False,,,False,False,,,,,,,,,False,
01009,788,472.0,,455.8,,442.0,1009.0,,,,,265.9,,358.0,,577.4,,74.4,426.5,,315.8,511.6,,,,,272.1,,,,258.0,,-316.0,,-332.2,,-346.0,221.0,,,,,-522.1,,-430.0,,-210.6,,-713.6,-361.5,,-472.2,-276.4,,,,,-515.9,,,,-530.0,,,False,,False,True,,,,,False,,False,,True,,False,False,,False,True,,,,,False,,,,False,
01011,40,56.0,,53.7,,47.0,0.0,,,,,59.4,,51.0,,43.9,,21.1,,,17.7,60.9,,,,,,,,,0.0,,16.0,,13.7,,7.0,-40.0,,,,,19.4,,11.0,,3.9,,-18.9,,,-22.3,20.9,,,,,,,,,-40.0,,,True,,True,False,,,,,False,,True,,True,,False,,,False,False,,,,,,,,,False,
01013,123,68.0,,80.3,,72.0,0.0,,,,,59.5,,100.0,,136.7,,29.4,,,18.0,96.2,,,,,,,,,17.0,,-55.0,,-42.7,,-51.0,-123.0,,,,,-63.5,,-23.0,,13.7,,-93.6,,,-105.0,-26.8,,,,,,,,,-106.0,,,True,,True,False,,,,,False,,True,,True,,False,,,False,True,,,,,,,,,False,
01015,1337,2004.0,,1899.3,,1111.0,1002.0,,,,,2215.3,,772.0,,912.7,,346.2,1089.0,,1873.0,1234.7,,,,,1330.8,,,,0.0,,667.0,,562.3,,-226.0,-335.0,,,,,878.3,,-565.0,,-424.3,,-990.8,-248.0,,536.0,-102.3,,,,,-6.2,,,,-1337.0,,,True,,True,True,,,,,False,,True,,True,,False,True,,True,True,,,,,True,,,,False,
01017,322,336.0,,344.9,,258.0,702.0,,,,,127.8,,171.0,,348.5,,58.7,199.0,,144.1,236.0,,,,,183.6,,,,696.0,,14.0,,22.9,,-64.0,380.0,,,,,-194.2,,-151.0,,26.5,,-263.3,-123.0,,-177.9,-86.0,,,,,-138.4,,,,374.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,False,False,,,,,False,,,,False,
01019,247,80.0,,59.0,,82.0,85.0,,,,,64.4,,184.0,,215.7,,58.8,,,28.6,132.5,,,,,,,,,77.0,,-167.0,,-188.0,,-165.0,-162.0,,,,,-182.6,,-63.0,,-31.3,,-188.2,,,-218.4,-114.5,,,,,,,,,-170.0,,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,,,,,,,,,False,
01021,259,360.0,,366.6,,304.0,279.0,,,,,218.9,,260.0,,373.6,,105.6,320.0,,236.6,412.4,,,,,294.4,,,,262.0,,101.0,,107.6,,45.0,20.0,,,,,-40.1,,1.0,,114.6,,-153.4,61.0,,-22.4,153.4,,,,,35.4,,,,3.0,,,False,,True,True,,,,,True,,True,,False,,False,True,,True,False,,,,,True,,,,True,
