,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,66010,36876.0,41632.0,,39720.5,15109.0,,26273.0,38830.7,27952.8,14696.1,22558.1,17291.3,35804.5,34259.0,-29134.0,-24378.0,,-26289.5,-50901.0,,-39737.0,-27179.3,-38057.2,-51313.9,-43451.9,-48718.7,-30205.5,-31751.0,True,,True,False,,False,True,False,False,False,False,False,False
Alaska,16777,7284.0,8935.0,,6569.6,4473.0,,,8808.0,6983.4,3116.5,6075.2,3446.2,14206.0,3578.0,-9493.0,-7842.0,,-10207.4,-12304.0,,,-7969.0,-9793.6,-13660.5,-10701.8,-13330.8,-2571.0,-13199.0,True,,False,False,,,True,False,False,False,False,True,False
Arizona,70356,27474.0,39075.0,,24132.0,1606.0,,12083.0,31996.4,19361.8,10121.2,16279.6,17423.3,30077.0,31875.0,-42882.0,-31281.0,,-46224.0,-68750.0,,-58273.0,-38359.6,-50994.2,-60234.8,-54076.4,-52932.7,-40279.0,-38481.0,True,,False,False,,False,True,False,False,False,False,True,True
Arkansas,51601,34170.0,37269.0,,34263.8,26636.0,,39341.0,35535.7,31088.3,17678.1,21213.6,21496.8,25867.1,27181.0,-17431.0,-14332.0,,-17337.2,-24965.0,,-12260.0,-16065.3,-20512.7,-33922.9,-30387.4,-30104.2,-25733.9,-24420.0,True,,True,False,,True,True,False,False,False,False,False,False
California,253025,137334.0,172364.0,,139939.4,59408.0,,74375.0,151709.6,109384.9,94396.5,74349.6,87360.2,119355.0,130155.0,-115691.0,-80661.0,,-113085.6,-193617.0,,-178650.0,-101315.4,-143640.1,-158628.5,-178675.4,-165664.8,-133670.0,-122870.0,True,,True,False,,False,True,False,False,False,False,False,False
Colorado,117037,30510.0,43687.0,,27686.9,53806.0,,18347.0,44889.5,20830.7,38737.6,22799.4,16843.8,62466.6,36719.0,-86527.0,-73350.0,,-89350.1,-63231.0,,-98690.0,-72147.5,-96206.3,-78299.4,-94237.6,-100193.2,-54570.4,-80318.0,True,,False,True,,False,True,False,True,False,False,True,True
Connecticut,41431,10446.0,12172.0,,9722.6,2875.0,,8555.0,8726.6,7893.9,15575.2,3319.3,6952.6,8071.9,13755.0,-30985.0,-29259.0,,-31708.4,-38556.0,,-32876.0,-32704.4,-33537.1,-25855.8,-38111.7,-34478.4,-33359.1,-27676.0,True,,False,False,,False,False,False,True,False,False,False,True
Delaware,9323,5238.0,4259.0,,4313.5,1902.0,,3439.0,6608.7,3666.6,3788.3,3273.7,2690.4,4381.2,4521.0,-4085.0,-5064.0,,-5009.5,-7421.0,,-5884.0,-2714.3,-5656.4,-5534.7,-6049.3,-6632.6,-4941.8,-4802.0,False,,False,False,,False,True,False,False,False,False,False,False
District of Columbia,4043,2670.0,5916.0,,1878.6,112.0,,1048.0,2641.3,1792.4,2221.3,1555.5,2165.0,5741.0,4405.0,-1373.0,1873.0,,-2164.4,-3931.0,,-2995.0,-1401.7,-2250.6,-1821.7,-2487.5,-1878.0,1698.0,362.0,False,,False,False,,False,False,False,False,False,False,False,True
Florida,202906,85980.0,74483.0,,92328.6,17753.0,,53517.0,102938.6,76637.0,115781.4,87770.3,51619.7,81230.3,54830.0,-116926.0,-128423.0,,-110577.4,-185153.0,,-149389.0,-99967.4,-126269.0,-87124.6,-115135.7,-151286.3,-121675.7,-148076.0,False,,True,False,,False,True,False,True,True,False,False,False
