,predicted_cases,actual_cases,error,perc_error
BPagano-RtDriven,1203809.9,1205378,-1568.1,-0.1%
UChicagoCHATTOPADHYAY-UnIT,1207878.3,1205378,2500.3,0.2%
JHUAPL-Bucky,1201568.3,1205378,-3809.7,-0.3%
Karlen-pypm,1212974.1,1205378,7596.1,0.6%
JHU_CSSE-DECOM,1167623.0,1205378,-37755.0,-3.1%
LNQ-ens1,1254017.9,1205378,48639.9,4.0%
MSRA-DeepST,1150067.7,1205378,-55310.3,-4.6%
OliverWyman-Navigator,1144947.0,1205378,-60431.0,-5.0%
Geneva-DetGrowth,1267443.5,1205378,62065.5,5.1%
LANL-GrowthRate,1269858.5,1205378,64480.5,5.3%
COVIDhub-ensemble,1136360.0,1205378,-69018.0,-5.7%
USACE-ERDC_SEIR,1115964.8,1205378,-89413.2,-7.4%
UMich-RidgeTfReg,1298566.1,1205378,93188.1,7.7%
IBF-TimeSeries,1301350.0,1205378,95972.0,8.0%
CU-select,1097233.0,1205378,-108145.0,-9.0%
QJHong-Encounter,1095232.5,1205378,-110145.5,-9.1%
UCLA-SuEIR,1084384.1,1205378,-120993.9,-10.0%
IowaStateLW-STEM,1066389.0,1205378,-138989.0,-11.5%
UVA-Ensemble,1353019.8,1205378,147641.8,12.2%
IQVIA_ACOE-STAN,1029273.0,1205378,-176105.0,-14.6%
CEID-Walk,1026024.3,1205378,-179353.7,-14.9%
COVIDhub-baseline,1017810.0,1205378,-187568.0,-15.6%
JCB-PRM,1002619.3,1205378,-202758.7,-16.8%
RobertWalraven-ESG,1409296.5,1205378,203918.5,16.9%
DDS-NBDS,1412271.2,1205378,206893.2,17.2%
USC-SI_kJalpha,984428.0,1205378,-220950.0,-18.3%
Columbia_UNC-SurvCon,1433233.0,1205378,227855.0,18.9%
UCF-AEM,913900.0,1205378,-291478.0,-24.2%
JHU_IDD-CovidSP,745599.1,1205378,-459778.9,-38.1%
CovidAnalytics-DELPHI,686456.0,1205378,-518922.0,-43.1%
TTU-squider,672376.6,1205378,-533001.4,-44.2%
Google_Harvard-CPF,,1205378,,
JHU_UNC_GAS-StatMechPool,,1205378,,
UCSB-ACTS,,1205378,,
