,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,58571,35680.0,53935.6,43817.0,,31882.2,11249.0,,23354.0,37743.0,28600.5,11967.4,64500.0,22825.7,,23110.3,31882.0,-22891.0,-4635.4,-14754.0,,-26688.8,-47322.0,,-35217.0,-20828.0,-29970.5,-46603.6,5929.0,-35745.3,,-35460.7,-26689.0,True,True,,False,False,,False,True,False,False,True,False,,False,False
Alaska,15400,6645.0,55051.3,4878.0,,7007.7,4362.0,,,8127.3,11895.7,2785.5,15320.1,4957.9,,2685.2,3247.0,-8755.0,39651.3,-10522.0,,-8392.3,-11038.0,,,-7272.7,-3504.3,-12614.5,-79.9,-10442.1,,-12714.8,-12153.0,False,False,,True,False,,,True,True,False,True,False,,False,False
Arizona,64875,27405.0,93180.7,27816.0,,24783.4,1291.0,,14906.0,28494.1,18688.2,13443.6,33263.1,17798.7,,16814.6,29243.0,-37470.0,28305.7,-37059.0,,-40091.6,-63584.0,,-49969.0,-36380.9,-46186.8,-51431.4,-31611.9,-47076.3,,-48060.4,-35632.0,True,True,,False,False,,False,True,False,False,True,False,,False,True
Arkansas,45399,31010.0,31360.3,32264.0,,28220.2,21592.0,,35658.0,33399.1,34279.7,12716.9,37982.8,19520.3,,14368.9,26020.0,-14389.0,-14038.7,-13135.0,,-17178.8,-23807.0,,-9741.0,-11999.9,-11119.3,-32682.1,-7416.2,-25878.7,,-31030.1,-19379.0,True,True,,False,False,,True,True,True,False,True,False,,False,False
California,231821,106020.0,151845.4,98996.0,,98586.6,63852.0,,71283.0,123125.1,101565.6,83782.9,118564.0,53526.3,,64703.6,97412.0,-125801.0,-79975.6,-132825.0,,-133234.4,-167969.0,,-160538.0,-108695.9,-130255.4,-148038.1,-113257.0,-178294.7,,-167117.4,-134409.0,True,False,,False,False,,False,True,False,False,True,False,,False,False
Colorado,110310,33640.0,47201.3,46813.0,,31634.7,49868.0,,22667.0,32951.3,23649.0,42869.3,47250.9,24526.6,,18576.1,39977.0,-76670.0,-63108.7,-63497.0,,-78675.3,-60442.0,,-87643.0,-77358.7,-86661.0,-67440.7,-63059.1,-85783.4,,-91733.9,-70333.0,True,True,,False,True,,False,False,False,True,True,False,,False,True
Connecticut,38639,13960.0,8646.8,19943.0,,9874.3,2035.0,,7980.0,10475.3,8596.0,23567.6,35661.3,4205.0,,8826.3,13338.0,-24679.0,-29992.2,-18696.0,,-28764.7,-36604.0,,-30659.0,-28163.7,-30043.0,-15071.4,-2977.7,-34434.0,,-29812.7,-25301.0,False,True,,False,False,,False,False,False,True,True,False,,False,False
Delaware,8379,4720.0,3099.9,5653.0,,3623.1,5196.0,,3137.0,5494.4,3478.0,3336.3,6181.9,3082.0,,2988.6,4581.0,-3659.0,-5279.1,-2726.0,,-4755.9,-3183.0,,-5242.0,-2884.6,-4901.0,-5042.7,-2197.1,-5297.0,,-5390.4,-3798.0,False,True,,False,True,,False,True,False,False,True,False,,False,False
District of Columbia,3627,2080.0,2147.8,1379.0,,1777.3,182.0,,1523.0,1875.6,1633.0,1630.3,3591.3,1241.7,,1257.6,2922.0,-1547.0,-1479.2,-2248.0,,-1849.7,-3445.0,,-2104.0,-1751.4,-1994.0,-1996.7,-35.7,-2385.3,,-2369.4,-705.0,True,False,,False,False,,False,False,False,False,True,False,,False,True
Florida,179346,117800.0,139441.8,198833.0,,85330.0,13586.0,,54966.0,92503.6,72067.7,92781.1,68394.0,65300.1,,67814.1,83889.0,-61546.0,-39904.2,19487.0,,-94016.0,-165760.0,,-124380.0,-86842.4,-107278.3,-86564.9,-110952.0,-114045.9,,-111531.9,-95457.0,True,True,,False,False,,False,False,False,False,False,False,,False,False
Georgia,107420,45575.0,61872.8,60440.0,,36942.3,19044.0,,28018.0,42260.4,34701.6,34595.3,25299.4,29757.8,,30079.5,40323.0,-61845.0,-45547.2,-46980.0,,-70477.7,-88376.0,,-79402.0,-65159.6,-72718.4,-72824.7,-82120.6,-77662.2,,-77340.5,-67097.0,True,True,,False,False,,False,False,False,False,False,False,,False,False
Hawaii,3218,2890.0,2962.8,2537.0,,3107.9,511.0,,,4156.5,3420.8,6785.3,2693.9,1972.1,,1562.4,1633.0,-328.0,-255.2,-681.0,,-110.1,-2707.0,,,938.5,202.8,3567.3,-524.1,-1245.9,,-1655.6,-1585.0,True,False,,True,False,,,False,True,False,False,False,,False,False
