,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01001,429,333.0,,344.5,,328.0,375.0,,,,,333.5,,246.0,,247.1,96.7,294.0,,327.0,365.4,,417.0,,,,272.6,,,419.0,,380.2,-96.0,,-84.5,,-101.0,-54.0,,,,,-95.5,,-183.0,,-181.9,-332.3,-135.0,,-102.0,-63.6,,-12.0,,,,-156.4,,,-10.0,,-48.8,,True,,False,True,,,,,True,,False,,False,False,False,,False,True,,True,,,,False,,,True,,True
01003,1176,909.0,,912.0,,907.0,1136.0,,,,,1349.2,,1182.0,,794.0,303.8,649.5,,1159.5,828.0,,1461.0,,,,601.9,904.0,,26.0,,1167.7,-267.0,,-264.0,,-269.0,-40.0,,,,,173.2,,6.0,,-382.0,-872.2,-526.5,,-16.5,-348.0,,285.0,,,,-574.1,-272.0,,-1150.0,,-8.3,,True,,False,True,,,,,True,,True,,False,False,False,,True,False,,False,,,,False,False,,False,,True
01005,98,87.0,,74.0,,93.0,138.0,,,,,134.2,,109.0,,140.2,44.3,,,95.0,89.0,,76.0,,,,78.9,,,57.0,,116.8,-11.0,,-24.0,,-5.0,40.0,,,,,36.2,,11.0,,42.2,-53.7,,,-3.0,-9.0,,-22.0,,,,-19.1,,,-41.0,,18.8,,False,,True,False,,,,,False,,False,,False,False,,,True,True,,False,,,,False,,,False,,False
01007,159,135.0,,130.6,,135.0,189.0,,,,,147.3,,131.0,,170.4,35.7,,,130.0,128.2,,120.0,,,,,,,108.0,,154.8,-24.0,,-28.4,,-24.0,30.0,,,,,-11.7,,-28.0,,11.4,-123.3,,,-29.0,-30.8,,-39.0,,,,,,,-51.0,,-4.2,,False,,False,False,,,,,True,,False,,True,False,,,False,False,,False,,,,,,,False,,True
01009,626,447.0,,444.0,,445.0,747.0,,,,,461.2,,330.0,,355.0,71.1,396.5,,732.0,529.3,,538.0,,,,279.1,,,148.0,,490.0,-179.0,,-182.0,,-181.0,121.0,,,,,-164.8,,-296.0,,-271.0,-554.9,-229.5,,106.0,-96.7,,-88.0,,,,-346.9,,,-478.0,,-136.0,,False,,False,True,,,,,True,,False,,False,False,False,,True,True,,True,,,,False,,,False,,True
01011,35,15.0,,12.9,,15.0,0.0,,,,,44.1,,48.0,,35.9,14.4,,,11.0,26.0,,41.0,,,,,,,2.0,,25.8,-20.0,,-22.1,,-20.0,-35.0,,,,,9.1,,13.0,,0.9,-20.6,,,-24.0,-9.0,,6.0,,,,,,,-33.0,,-9.2,,False,,False,False,,,,,True,,True,,True,False,,,False,True,,True,,,,,,,False,,True
01013,109,45.0,,50.2,,43.0,0.0,,,,,78.5,,91.0,,42.0,23.2,,,14.0,47.3,,29.0,,,,41.5,,,28.0,,58.1,-64.0,,-58.8,,-66.0,-109.0,,,,,-30.5,,-18.0,,-67.0,-85.8,,,-95.0,-61.7,,-80.0,,,,-67.5,,,-81.0,,-50.9,,True,,False,False,,,,,True,,True,,False,False,,,False,True,,False,,,,False,,,False,,True
01015,1041,882.0,,771.7,,835.0,1082.0,,,,,1083.0,,683.0,,1981.6,197.8,1225.0,,851.5,800.4,,1718.0,,,,604.2,,,31.0,,1289.1,-159.0,,-269.3,,-206.0,41.0,,,,,42.0,,-358.0,,940.6,-843.2,184.0,,-189.5,-240.6,,677.0,,,,-436.8,,,-1010.0,,248.1,,False,,False,True,,,,,True,,False,,False,False,False,,False,False,,False,,,,False,,,False,,False
01017,277,117.0,,129.0,,121.0,229.0,,,,,165.1,,158.0,,116.4,51.1,139.5,,125.0,108.7,,105.0,,,,68.3,,,75.0,,156.7,-160.0,,-148.0,,-156.0,-48.0,,,,,-111.9,,-119.0,,-160.6,-225.9,-137.5,,-152.0,-168.3,,-172.0,,,,-208.7,,,-202.0,,-120.3,,True,,True,True,,,,,True,,True,,False,False,True,,True,False,,False,,,,False,,,False,,True
01019,197,150.0,,140.1,,135.0,112.0,,,,,164.2,,171.0,,122.2,40.6,,,132.0,136.5,,137.0,,,,,,,151.0,,154.6,-47.0,,-56.9,,-62.0,-85.0,,,,,-32.8,,-26.0,,-74.8,-156.4,,,-65.0,-60.5,,-60.0,,,,,,,-46.0,,-42.4,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,False,,,,,,,True,,True
