,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,776,378.0,,,244.0,,160.3,306.7,301.2,83.0,-398.0,,,-532.0,,-615.7,-469.3,-474.8,-693.0,,,False,,False,False,False,False
01003,2097,3997.0,,,989.0,,2960.0,759.3,2574.2,32.0,1900.0,,,-1108.0,,863.0,-1337.7,477.2,-2065.0,,,True,,True,True,True,False
01005,240,273.0,,,118.0,,118.9,18.5,93.3,53.0,33.0,,,-122.0,,-121.1,-221.5,-146.7,-187.0,,,False,,False,False,False,False
01007,353,168.0,,,110.0,,107.5,165.5,97.9,75.0,-185.0,,,-243.0,,-245.5,-187.5,-255.1,-278.0,,,False,,False,False,False,False
01009,1076,308.0,,,370.0,,137.7,16.6,200.2,32.0,-768.0,,,-706.0,,-938.3,-1059.4,-875.8,-1044.0,,,True,,False,False,False,False
01011,77,63.0,,,57.0,,5.7,30.5,52.3,3.0,-14.0,,,-20.0,,-71.3,-46.5,-24.7,-74.0,,,False,,False,False,False,False
01013,212,84.0,,,84.0,,13.1,78.7,66.4,9.0,-128.0,,,-128.0,,-198.9,-133.3,-145.6,-203.0,,,False,,False,False,False,False
01015,2277,1015.0,,,856.0,,564.6,333.9,572.4,104.0,-1262.0,,,-1421.0,,-1712.4,-1943.1,-1704.6,-2173.0,,,False,,False,False,False,False
01017,473,280.0,,,157.0,,101.1,11.7,87.6,39.0,-193.0,,,-316.0,,-371.9,-461.3,-385.4,-434.0,,,False,,False,False,False,False
01019,354,217.0,,,179.0,,88.7,13.6,158.8,41.0,-137.0,,,-175.0,,-265.3,-340.4,-195.2,-313.0,,,False,,False,False,False,False
01021,499,385.0,,,231.0,,240.0,65.8,187.7,111.0,-114.0,,,-268.0,,-259.0,-433.2,-311.3,-388.0,,,False,,False,False,False,False
01023,52,98.0,,,73.0,,29.1,207.5,73.2,84.0,46.0,,,21.0,,-22.9,155.5,21.2,32.0,,,True,,True,False,True,True
01025,403,364.0,,,201.0,,256.3,155.1,264.9,96.0,-39.0,,,-202.0,,-146.7,-247.9,-138.1,-307.0,,,False,,False,False,False,False
01027,277,161.0,,,65.0,,35.3,18.4,58.7,41.0,-116.0,,,-212.0,,-241.7,-258.6,-218.3,-236.0,,,False,,False,False,False,False
01029,311,308.0,,,98.0,,106.7,27.2,126.5,237.0,-3.0,,,-213.0,,-204.3,-283.8,-184.5,-74.0,,,False,,False,False,False,False
01031,827,728.0,,,253.0,,504.0,405.4,404.0,575.0,-99.0,,,-574.0,,-323.0,-421.6,-423.0,-252.0,,,False,,False,False,False,False
01033,1196,532.0,,,582.0,,233.0,151.8,493.9,373.0,-664.0,,,-614.0,,-963.0,-1044.2,-702.1,-823.0,,,True,,False,False,False,False
01035,131,35.0,,,42.0,,0.8,2.0,22.3,4.0,-96.0,,,-89.0,,-130.2,-129.1,-108.7,-127.0,,,True,,False,False,False,False
01037,119,56.0,,,28.0,,12.7,32.8,52.4,14.0,-63.0,,,-91.0,,-106.3,-86.2,-66.6,-105.0,,,False,,False,False,False,False
01039,651,532.0,,,233.0,,296.2,24.6,156.9,91.0,-119.0,,,-418.0,,-354.8,-626.4,-494.1,-560.0,,,False,,False,False,False,False
01041,153,63.0,,,60.0,,5.3,59.5,106.5,7.0,-90.0,,,-93.0,,-147.7,-93.5,-46.5,-146.0,,,False,,False,False,True,False
01043,2124,329.0,,,734.0,,81.6,98.9,192.8,47.0,-1795.0,,,-1390.0,,-2042.4,-2025.1,-1931.2,-2077.0,,,True,,False,False,False,False
01045,748,826.0,,,227.0,,576.2,64.2,519.7,727.0,78.0,,,-521.0,,-171.8,-683.8,-228.3,-21.0,,,False,,False,False,False,True
01047,393,112.0,,,204.0,,15.6,53.5,54.9,16.0,-281.0,,,-189.0,,-377.4,-339.5,-338.1,-377.0,,,True,,False,False,False,False
01049,1971,1015.0,,,641.0,,1235.9,4249.9,764.7,790.0,-956.0,,,-1330.0,,-735.1,2278.9,-1206.3,-1181.0,,,False,,True,False,False,False
01051,1076,1050.0,,,306.0,,586.4,102.4,696.7,392.0,-26.0,,,-770.0,,-489.6,-973.6,-379.3,-684.0,,,False,,False,False,False,False
01053,298,294.0,,,296.0,,74.2,192.5,94.8,46.0,-4.0,,,-2.0,,-223.8,-105.5,-203.2,-252.0,,,True,,False,False,False,False
01055,2159,1253.0,,,877.0,,791.0,295.4,627.0,722.0,-906.0,,,-1282.0,,-1368.0,-1863.6,-1532.0,-1437.0,,,False,,False,False,False,False
01057,326,133.0,,,109.0,,75.6,59.8,112.7,43.0,-193.0,,,-217.0,,-250.4,-266.2,-213.3,-283.0,,,False,,False,False,False,False
01059,588,455.0,,,381.0,,163.5,218.8,297.8,611.0,-133.0,,,-207.0,,-424.5,-369.2,-290.2,23.0,,,False,,False,False,False,True
01061,428,735.0,,,138.0,,242.8,38.1,379.4,418.0,307.0,,,-290.0,,-185.2,-389.9,-48.6,-10.0,,,True,,True,False,True,True
01063,87,28.0,,,29.0,,2.8,19.8,17.5,5.0,-59.0,,,-58.0,,-84.2,-67.2,-69.5,-82.0,,,True,,False,False,False,False
01065,238,210.0,,,101.0,,20.0,66.2,132.0,65.0,-28.0,,,-137.0,,-218.0,-171.8,-106.0,-173.0,,,False,,False,False,False,False
01067,270,364.0,,,62.0,,147.9,79.5,263.9,207.0,94.0,,,-208.0,,-122.1,-190.5,-6.1,-63.0,,,False,,False,False,True,True
01069,1650,2996.0,,,547.0,,1851.9,340.9,1887.4,1802.0,1346.0,,,-1103.0,,201.9,-1309.1,237.4,152.0,,,True,,True,True,True,True
