,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,37095,27027.0,19916.4,24674.8,32169.0,29874.0,,34389.9,13170.0,40289.1,27719.0,,27134.0,30876.9,38585.3,34988.0,7468.0,32264.5,35918.4,36674.5,35970.8,33607.6,33622.0,,55856.6,20304.8,13679.4,40679.5,28280.8,27748.0,36453.4,-10068.0,-17178.6,-12420.2,-4926.0,-7221.0,,-2705.1,-23925.0,3194.1,-9376.0,,-9961.0,-6218.1,1490.3,-2107.0,-29627.0,-4830.5,-1176.6,-420.5,-1124.2,-3487.4,-3473.0,,18761.6,-16790.2,-23415.6,3584.5,-8814.2,-9347.0,-641.6,False,False,True,True,,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Alaska,10869,8430.0,590.2,8685.7,8386.0,8257.0,,7535.4,3819.0,7987.3,9385.7,,,8699.3,19393.4,,1981.1,9750.5,11777.2,12294.5,9280.1,9732.2,10713.0,,10167.2,7795.3,7658.7,7121.9,19852.2,1982.0,11254.2,-2439.0,-10278.8,-2183.3,-2483.0,-2612.0,,-3333.6,-7050.0,-2881.7,-1483.3,,,-2169.7,8524.4,,-8887.9,-1118.5,908.2,1425.5,-1588.9,-1136.8,-156.0,,-701.8,-3073.7,-3210.3,-3747.1,8983.2,-8887.0,385.2,False,True,False,False,,False,False,False,True,,,True,False,,False,True,True,True,True,True,True,,True,False,False,False,False,False,True
Arizona,49388,27522.0,23448.4,27121.4,25343.0,62443.0,,23925.7,1659.0,36754.8,30656.6,,21794.0,22668.6,19470.8,26314.0,12038.6,27198.0,34417.3,34804.5,39043.9,34117.5,32607.0,,25025.3,24315.0,17402.2,26402.2,33949.0,33529.0,33270.4,-21866.0,-25939.6,-22266.6,-24045.0,13055.0,,-25462.3,-47729.0,-12633.2,-18731.4,,-27594.0,-26719.4,-29917.2,-23074.0,-37349.4,-22190.0,-14970.7,-14583.5,-10344.1,-15270.5,-16781.0,,-24362.7,-25073.0,-31985.8,-22985.8,-15439.0,-15859.0,-16117.6,False,False,False,True,,False,False,True,True,,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Arkansas,31631,20616.0,15676.0,20414.2,21219.0,19352.0,,21265.2,14813.0,28958.3,19361.3,,21173.0,23804.7,23577.2,21071.0,7562.5,22074.5,22973.4,23911.5,23550.9,23078.8,24250.0,,23320.7,16009.9,10617.3,26102.7,20473.6,20143.0,22675.0,-11015.0,-15955.0,-11216.8,-10412.0,-12279.0,,-10365.8,-16818.0,-2672.7,-12269.7,,-10458.0,-7826.3,-8053.8,-10560.0,-24068.5,-9556.5,-8657.6,-7719.5,-8080.1,-8552.2,-7381.0,,-8310.3,-15621.1,-21013.7,-5528.3,-11157.4,-11488.0,-8956.0,False,False,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,False,False,True
California,178867,85377.0,111204.0,87263.3,90980.0,73893.0,,96600.4,26722.0,112470.0,73277.8,,81743.0,97046.6,83679.4,95731.0,50542.2,87401.0,85857.8,103161.5,103300.3,89746.5,119608.0,,138654.2,23163.7,54222.3,111417.2,99967.4,106074.0,94632.8,-93490.0,-67663.0,-91603.7,-87887.0,-104974.0,,-82266.6,-152145.0,-66397.0,-105589.2,,-97124.0,-81820.4,-95187.6,-83136.0,-128324.8,-91466.0,-93009.2,-75705.5,-75566.7,-89120.5,-59259.0,,-40212.8,-155703.3,-124644.7,-67449.8,-78899.6,-72793.0,-84234.2,True,True,True,False,,True,False,True,False,,False,True,False,True,False,True,True,True,True,True,True,,True,False,False,True,True,True,True
Colorado,87329,41850.0,12395.7,41827.9,41870.0,60719.0,,38292.7,127160.0,68069.0,56320.9,,38580.0,41173.4,35032.2,45285.0,26431.8,48047.5,56898.1,70613.5,66592.1,43384.7,48461.0,,71013.2,42500.4,37893.6,36160.0,91364.4,46957.0,48932.2,-45479.0,-74933.3,-45501.1,-45459.0,-26610.0,,-49036.3,39831.0,-19260.0,-31008.1,,-48749.0,-46155.6,-52296.8,-42044.0,-60897.2,-39281.5,-30430.9,-16715.5,-20736.9,-43944.3,-38868.0,,-16315.8,-44828.6,-49435.4,-51169.0,4035.4,-40372.0,-38396.8,False,False,True,True,,False,True,True,True,,False,False,False,True,False,True,True,True,True,True,True,,True,True,False,False,True,True,True
Connecticut,30262,15465.0,20159.2,15556.5,15527.0,24019.0,,15130.0,12277.0,57005.7,10245.0,,12483.0,12784.0,10824.9,18225.0,20338.3,15809.0,23469.4,23735.5,17002.1,16090.7,13078.0,,26249.6,8965.6,13876.1,14257.5,11066.1,13713.0,17278.2,-14797.0,-10102.8,-14705.5,-14735.0,-6243.0,,-15132.0,-17985.0,26743.7,-20017.0,,-17779.0,-17478.0,-19437.1,-12037.0,-9923.7,-14453.0,-6792.6,-6526.5,-13259.9,-14171.3,-17184.0,,-4012.4,-21296.4,-16385.9,-16004.5,-19195.9,-16549.0,-12983.8,True,True,True,True,,False,False,False,False,,False,False,False,True,True,True,True,True,True,True,False,,True,False,False,False,False,False,True
Delaware,6370,3312.0,3422.8,3312.9,3300.0,3732.0,,3230.8,2048.0,4951.3,3226.8,,2944.0,3356.9,2503.1,3466.0,2084.8,3275.0,3600.2,3345.0,4043.1,4861.4,3801.0,,3376.0,4014.6,2845.9,3507.0,2504.2,3458.0,5170.4,-3058.0,-2947.2,-3057.1,-3070.0,-2638.0,,-3139.2,-4322.0,-1418.7,-3143.2,,-3426.0,-3013.1,-3866.9,-2904.0,-4285.2,-3095.0,-2769.8,-3025.0,-2326.9,-1508.6,-2569.0,,-2994.0,-2355.4,-3524.1,-2863.0,-3865.8,-2912.0,-1199.6,True,True,False,True,,False,False,True,False,,False,True,False,True,False,False,True,True,True,True,True,,True,True,False,True,False,True,True
District of Columbia,2695,1680.0,132.3,1716.9,1535.0,2978.0,,1590.5,183.0,2332.0,2482.0,,1428.0,1339.1,1101.9,2219.0,1079.8,1683.5,1874.7,1596.0,2405.1,,2033.0,,1049.1,624.4,1344.6,1521.2,,2322.0,1914.3,-1015.0,-2562.7,-978.1,-1160.0,283.0,,-1104.5,-2512.0,-363.0,-213.0,,-1267.0,-1355.9,-1593.1,-476.0,-1615.2,-1011.5,-820.3,-1099.0,-289.9,,-662.0,,-1645.9,-2070.6,-1350.4,-1173.8,,-373.0,-780.7,False,True,False,True,,False,False,True,True,,False,False,False,True,False,True,True,False,True,,True,,False,False,False,False,,True,True
Florida,129280,78888.0,50895.5,77894.3,79268.0,79576.0,,74998.8,16666.0,93704.3,49661.8,,72291.0,79544.2,71612.5,85873.0,53560.7,78727.0,115324.4,105175.5,101807.6,88493.3,104415.0,,83416.9,53965.2,49927.8,95270.0,93745.0,76851.0,85757.0,-50392.0,-78384.5,-51385.7,-50012.0,-49704.0,,-54281.2,-112614.0,-35575.7,-79618.2,,-56989.0,-49735.8,-57667.5,-43407.0,-75719.3,-50553.0,-13955.6,-24104.5,-27472.4,-40786.7,-24865.0,,-45863.1,-75314.8,-79352.2,-34010.0,-35535.0,-52429.0,-43523.0,False,False,True,True,,False,False,True,False,,False,True,False,True,False,False,True,True,True,True,True,,True,False,False,True,True,False,True
