,predicted_cases,actual_cases,error,perc_error
RobertWalraven-ESG,2163426.9,2241277,-77850.1,-3.5%
UMich-RidgeTfReg,2161973.6,2241277,-79303.4,-3.5%
Columbia_UNC-SurvCon,2155534.0,2241277,-85743.0,-3.8%
DDS-NBDS,2039239.6,2241277,-202037.4,-9.0%
LANL-GrowthRate,2010081.0,2241277,-231196.0,-10.3%
LNQ-ens1,1998137.4,2241277,-243139.6,-10.8%
UChicagoCHATTOPADHYAY-UnIT,1940559.9,2241277,-300717.1,-13.4%
Karlen-pypm,1882276.6,2241277,-359000.4,-16.0%
OliverWyman-Navigator,1821935.0,2241277,-419342.0,-18.7%
BPagano-RtDriven,1780217.2,2241277,-461059.8,-20.6%
CU-select,1775028.0,2241277,-466249.0,-20.8%
COVIDhub-ensemble,1710205.0,2241277,-531072.0,-23.7%
UCLA-SuEIR,1679101.0,2241277,-562176.0,-25.1%
USC-SI_kJalpha_RF,1634454.8,2241277,-606822.2,-27.1%
IBF-TimeSeries,1621930.0,2241277,-619347.0,-27.6%
MSRA-DeepST,1591755.4,2241277,-649521.6,-29.0%
JHUAPL-Bucky,1574562.7,2241277,-666714.3,-29.7%
QJHong-Encounter,1565815.0,2241277,-675462.0,-30.1%
JHU_CSSE-DECOM,1565605.0,2241277,-675672.0,-30.1%
Covid19Sim-Simulator,1545633.5,2241277,-695643.5,-31.0%
JCB-PRM,1479552.7,2241277,-761724.3,-34.0%
IQVIA_ACOE-STAN,1475695.0,2241277,-765582.0,-34.2%
CEID-Walk,1464241.9,2241277,-777035.1,-34.7%
COVIDhub-baseline,1454308.0,2241277,-786969.0,-35.1%
USC-SI_kJalpha,1439204.0,2241277,-802073.0,-35.8%
IowaStateLW-STEM,1306632.0,2241277,-934645.0,-41.7%
TTU-squider,1035426.1,2241277,-1205850.9,-53.8%
CovidAnalytics-DELPHI,988832.0,2241277,-1252445.0,-55.9%
Google_Harvard-CPF,,2241277,,
JHU_UNC_GAS-StatMechPool,,2241277,,
UCSB-ACTS,,2241277,,
