,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,162,168.0,,171.7,,172.0,189.0,,,,,101.1,,,92.0,,176.0,,100.9,142.5,,189.0,180.8,,191.0,79.0,,,,,153.4,343.4,,,,,195.3,6.0,,9.7,,10.0,27.0,,,,,-60.9,,,-70.0,,14.0,,-61.1,-19.5,,27.0,18.8,,29.0,-83.0,,,,,-8.6,181.4,,,,,33.3,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,,,,,False
01003,535,408.0,,423.5,,398.0,424.0,,,,,508.2,,,281.0,,323.3,,281.5,364.0,,446.0,448.9,,436.0,232.0,,,,,365.6,497.9,350.0,,,,433.6,-127.0,,-111.5,,-137.0,-111.0,,,,,-26.8,,,-254.0,,-211.7,,-253.5,-171.0,,-89.0,-86.1,,-99.0,-303.0,,,,,-169.4,-37.1,-185.0,,,,-101.4,,True,,False,True,,,,,True,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,False,,,,True
01005,34,31.0,,30.2,,32.0,38.0,,,,,28.2,,,40.0,,18.3,,27.2,,,33.0,36.1,,31.0,0.0,,,,,29.9,29.2,,,,,39.8,-3.0,,-3.8,,-2.0,4.0,,,,,-5.8,,,6.0,,-15.7,,-6.8,,,-1.0,2.1,,-3.0,-34.0,,,,,-4.1,-4.8,,,,,5.8,,False,,True,False,,,,,False,,,False,,False,,False,,,True,True,,False,False,,,,,False,False,,,,,False
01007,58,54.0,,54.9,,54.0,53.0,,,,,32.0,,,45.0,,54.2,,38.8,,,68.0,61.6,,58.0,47.0,,,,,,64.3,,,,,90.1,-4.0,,-3.1,,-4.0,-5.0,,,,,-26.0,,,-13.0,,-3.8,,-19.2,,,10.0,3.6,,0.0,-11.0,,,,,,6.3,,,,,32.1,,True,,False,False,,,,,False,,,False,,True,,False,,,False,True,,True,False,,,,,,False,,,,,False
01009,217,232.0,,228.7,,229.0,291.0,,,,,149.9,,,133.0,,154.1,,143.3,233.5,,308.0,265.5,,285.0,170.0,,,,,190.7,242.2,,,,,196.0,15.0,,11.7,,12.0,74.0,,,,,-67.1,,,-84.0,,-62.9,,-73.7,16.5,,91.0,48.5,,68.0,-47.0,,,,,-26.3,25.2,,,,,-21.0,,True,,True,False,,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,,,,,False
01011,13,12.0,,12.3,,12.0,0.0,,,,,10.6,,,20.0,,4.3,,9.9,,,9.0,13.3,,14.0,0.0,,,,,,9.8,,,,,16.8,-1.0,,-0.7,,-1.0,-13.0,,,,,-2.4,,,7.0,,-8.7,,-3.1,,,-4.0,0.3,,1.0,-13.0,,,,,,-3.2,,,,,3.8,,True,,False,False,,,,,False,,,False,,False,,False,,,False,True,,False,False,,,,,,False,,,,,False
01013,57,29.0,,29.0,,29.0,14.0,,,,,25.3,,,29.0,,18.3,,25.3,,,44.0,46.5,,50.0,4.0,,,,,25.1,35.5,,,,,33.5,-28.0,,-28.0,,-28.0,-43.0,,,,,-31.7,,,-28.0,,-38.7,,-31.7,,,-13.0,-10.5,,-7.0,-53.0,,,,,-31.9,-21.5,,,,,-23.5,,True,,False,False,,,,,False,,,False,,False,,False,,,True,True,,True,False,,,,,False,True,,,,,True
01015,454,317.0,,345.2,,327.0,334.0,,,,,349.3,,,263.0,,173.1,,223.5,339.0,,475.0,518.6,,562.0,66.0,,,,,286.1,411.9,,,,,327.2,-137.0,,-108.8,,-127.0,-120.0,,,,,-104.7,,,-191.0,,-280.9,,-230.5,-115.0,,21.0,64.6,,108.0,-388.0,,,,,-167.9,-42.1,,,,,-126.8,,True,,True,True,,,,,True,,,False,,False,,False,True,,True,True,,True,False,,,,,False,True,,,,,True
01017,113,73.0,,75.8,,68.0,84.0,,,,,58.0,,,60.0,,22.7,,55.7,69.0,,105.0,93.4,,102.0,36.0,,,,,66.6,122.9,,,,,66.8,-40.0,,-37.2,,-45.0,-29.0,,,,,-55.0,,,-53.0,,-90.3,,-57.3,-44.0,,-8.0,-19.6,,-11.0,-77.0,,,,,-46.4,9.9,,,,,-46.2,,True,,False,True,,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,False
01019,81,62.0,,63.8,,63.0,63.0,,,,,38.6,,,55.0,,19.7,,37.8,,,75.0,75.7,,75.0,79.0,,,,,,91.2,,,,,105.4,-19.0,,-17.2,,-18.0,-18.0,,,,,-42.4,,,-26.0,,-61.3,,-43.2,,,-6.0,-5.3,,-6.0,-2.0,,,,,,10.2,,,,,24.4,,True,,True,True,,,,,False,,,False,,False,,False,,,True,True,,True,True,,,,,,True,,,,,False
