,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,839,728.0,,,,889.0,,,366.6,583.3,,,-111.0,,,,50.0,,,-472.4,-255.7,,,,,,True,,,False,False,,
01003,2666,3440.0,,,,1474.0,,,914.7,2225.1,,,774.0,,,,-1192.0,,,-1751.3,-440.9,,,,,,False,,,False,True,,
01005,275,416.0,,,,470.0,,,53.5,121.0,,,141.0,,,,195.0,,,-221.5,-154.0,,,,,,False,,,False,False,,
01007,386,208.0,,,,483.0,,,95.9,106.6,,,-178.0,,,,97.0,,,-290.1,-279.4,,,,,,True,,,False,False,,
01009,1112,552.0,,,,1173.0,,,69.7,222.2,,,-560.0,,,,61.0,,,-1042.3,-889.8,,,,,,True,,,False,False,,
01011,83,152.0,,,,286.0,,,36.0,110.3,,,69.0,,,,203.0,,,-47.0,27.3,,,,,,False,,,True,True,,
01013,225,32.0,,,,289.0,,,38.7,49.5,,,-193.0,,,,64.0,,,-186.3,-175.5,,,,,,True,,,True,True,,
01015,2439,1560.0,,,,1880.0,,,561.0,785.7,,,-879.0,,,,-559.0,,,-1878.0,-1653.3,,,,,,True,,,False,False,,
01017,512,328.0,,,,370.0,,,44.3,94.0,,,-184.0,,,,-142.0,,,-467.7,-418.0,,,,,,True,,,False,False,,
01019,383,424.0,,,,407.0,,,33.6,216.7,,,41.0,,,,24.0,,,-349.4,-166.3,,,,,,True,,,False,False,,
01021,565,912.0,,,,1127.0,,,225.6,387.0,,,347.0,,,,562.0,,,-339.4,-178.0,,,,,,False,,,True,True,,
