,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,46877,46456.0,25794.5,43490.5,35505.0,39356.0,,40974.1,15973.0,44663.5,39123.8,,31296.0,36088.6,32248.2,44417.0,9694.8,37831.5,58951.5,30732.5,55317.3,,29351.3,14661.1,25373.6,29353.5,43823.0,60730.7,40918.0,-421.0,-21082.5,-3386.5,-11372.0,-7521.0,,-5902.9,-30904.0,-2213.5,-7753.2,,-15581.0,-10788.4,-14628.8,-2460.0,-37182.2,-9045.5,12074.5,-16144.5,8440.3,,-17525.7,-32215.9,-21503.4,-17523.5,-3054.0,13853.7,-5959.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False
Alaska,13679,6900.0,966.0,6827.8,6874.0,5818.0,,6402.9,4433.0,9092.1,8652.0,,,9486.2,11428.7,7875.0,2424.8,9696.0,10269.8,10176.2,10814.7,,6067.1,2002.1,3608.7,7514.2,11733.2,16265.0,2991.0,-6779.0,-12713.0,-6851.2,-6805.0,-7861.0,,-7276.1,-9246.0,-4586.9,-5027.0,,,-4192.8,-2250.3,-5804.0,-11254.2,-3983.0,-3409.2,-3502.8,-2864.3,,-7611.9,-11676.9,-10070.3,-6164.8,-1945.8,2586.0,-10688.0,False,False,False,False,,False,False,True,True,,,True,True,True,False,True,True,True,True,,False,False,False,True,True,True,False
Arizona,58562,25252.0,34339.5,25341.6,25527.0,34516.0,,25646.3,1531.0,57426.1,25716.5,,20906.0,28814.7,20200.5,30360.0,13008.1,25600.5,30937.0,20918.4,40550.4,,23392.3,19681.4,16145.4,26639.6,38185.8,37616.9,24681.0,-33310.0,-24222.5,-33220.4,-33035.0,-24046.0,,-32915.7,-57031.0,-1135.9,-32845.5,,-37656.0,-29747.3,-38361.5,-28202.0,-45553.9,-32961.5,-27625.0,-37643.6,-18011.6,,-35169.7,-38880.6,-42416.6,-31922.4,-20376.2,-20945.1,-33881.0,True,True,True,True,,True,False,True,True,,False,True,False,True,False,True,True,False,True,,False,False,False,True,True,True,False
Arkansas,38503,27584.0,20329.3,27596.6,27441.0,26821.0,,26750.9,18765.0,38044.5,24570.1,,29855.0,30376.0,32210.1,32443.0,9681.1,28195.5,30232.2,19644.0,32478.1,,19834.0,2671.8,14033.2,33340.9,26281.8,24472.8,23638.0,-10919.0,-18173.7,-10906.4,-11062.0,-11682.0,,-11752.1,-19738.0,-458.5,-13932.9,,-8648.0,-8127.0,-6292.9,-6060.0,-28821.9,-10307.5,-8270.8,-18859.0,-6024.9,,-18669.0,-35831.2,-24469.8,-5162.1,-12221.2,-14030.2,-14865.0,False,True,False,False,,False,False,True,False,,True,True,True,True,False,True,True,False,True,,False,False,False,True,False,False,False
California,207523,120280.0,156072.8,115977.7,98620.0,214233.0,,113747.5,25950.0,133415.3,107807.5,,81790.0,105271.5,78124.2,120829.0,67499.9,101647.0,99939.6,70440.6,153597.3,,66491.9,4009.4,82327.8,75033.8,135131.5,168781.8,134771.0,-87243.0,-51450.2,-91545.3,-108903.0,6710.0,,-93775.5,-181573.0,-74107.7,-99715.5,,-125733.0,-102251.5,-129398.8,-86694.0,-140023.1,-105876.0,-107583.4,-137082.4,-53925.7,,-141031.1,-203513.6,-125195.2,-132489.2,-72391.5,-38741.2,-72752.0,True,False,False,True,,False,False,True,False,,False,False,False,True,False,False,False,False,True,,False,False,False,False,True,True,True
Colorado,101279,36124.0,13891.5,35761.3,37428.0,57935.0,,36281.6,77509.0,71677.3,47080.7,,30958.0,40456.0,37624.0,36500.0,31783.8,40755.0,53613.0,36000.9,54521.2,,41553.3,13896.3,20429.3,35541.6,66812.1,64103.3,46886.0,-65155.0,-87387.5,-65517.7,-63851.0,-43344.0,,-64997.4,-23770.0,-29601.7,-54198.3,,-70321.0,-60823.0,-63655.0,-64779.0,-69495.2,-60524.0,-47666.0,-65278.1,-46757.8,,-59725.7,-87382.7,-80849.7,-65737.4,-34466.9,-37175.7,-54393.0,False,False,True,True,,True,True,True,True,,False,True,True,True,False,True,True,False,True,,True,False,False,False,True,True,True
Connecticut,35417,12888.0,31457.6,13274.8,13616.0,17533.0,,13148.8,16151.0,39193.9,10133.6,,9846.0,12884.9,9171.2,17786.0,23941.7,14265.5,29041.9,4975.7,14772.2,,10856.3,12635.2,8799.0,13819.2,8669.4,8206.8,11915.0,-22529.0,-3959.4,-22142.2,-21801.0,-17884.0,,-22268.2,-19266.0,3776.9,-25283.4,,-25571.0,-22532.1,-26245.8,-17631.0,-11475.3,-21151.5,-6375.1,-30441.3,-20644.8,,-24560.7,-22781.8,-26618.0,-21597.8,-26747.6,-27210.2,-23502.0,True,True,True,True,,True,True,True,False,,False,False,False,True,True,True,True,False,True,,False,False,False,True,False,False,False
Delaware,7474,3620.0,4372.9,3634.4,3619.0,3635.0,,3621.9,3996.0,7485.6,4186.9,,3146.0,4070.6,2637.2,4153.0,2754.9,4060.0,4817.4,2363.9,3513.9,,3166.5,2928.9,2964.5,5178.8,3100.1,3017.1,3899.0,-3854.0,-3101.1,-3839.6,-3855.0,-3839.0,,-3852.1,-3478.0,11.6,-3287.1,,-4328.0,-3403.4,-4836.8,-3321.0,-4719.1,-3414.0,-2656.6,-5110.1,-3960.1,,-4307.5,-4545.1,-4509.5,-2295.2,-4373.9,-4456.9,-3575.0,True,True,False,True,,True,True,True,True,,False,True,False,True,False,True,True,False,False,,False,False,False,True,False,False,True
District of Columbia,3255,1488.0,231.7,1600.8,1414.0,1134.0,,1442.4,215.0,2176.4,2123.7,,1419.0,1687.9,1042.2,1740.0,1163.1,1599.0,2405.5,1184.4,1950.4,,1052.2,559.8,884.2,2130.9,,1623.9,1496.0,-1767.0,-3023.3,-1654.2,-1841.0,-2121.0,,-1812.6,-3040.0,-1078.6,-1131.3,,-1836.0,-1567.1,-2212.8,-1515.0,-2091.9,-1656.0,-849.5,-2070.6,-1304.6,,-2202.8,-2695.2,-2370.8,-1124.1,,-1631.1,-1759.0,False,True,False,False,,False,False,True,True,,False,True,False,True,False,True,True,False,True,,False,False,False,True,,True,True
Florida,155576,95080.0,69247.9,93061.9,90225.0,102414.0,,83579.1,20403.0,124024.5,86370.9,,99834.0,94534.5,68482.1,105932.0,72439.1,82637.5,144235.2,58907.3,117311.1,,86784.5,30690.7,50461.9,120209.0,138786.7,96715.5,97692.0,-60496.0,-86328.1,-62514.1,-65351.0,-53162.0,,-71996.9,-135173.0,-31551.5,-69205.1,,-55742.0,-61041.5,-87093.9,-49644.0,-83136.9,-72938.5,-11340.8,-96668.7,-38264.9,,-68791.5,-124885.3,-105114.1,-35367.0,-16789.3,-58860.5,-57884.0,False,False,False,True,,False,False,True,False,,True,False,False,True,False,False,True,False,True,,False,False,False,True,True,True,True
