,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,207,136.0,,138.2,,138.0,104.0,,,,,126.2,,101.4,,,251.0,,142.2,,91.2,139.0,,176.0,101.4,,,145.0,164.0,153.7,,,,,115.9,,,,60.4,-71.0,,-68.8,,-69.0,-103.0,,,,,-80.8,,-105.6,,,44.0,,-64.8,,-115.8,-68.0,,-31.0,-105.6,,,-62.0,-43.0,-53.3,,,,,-91.1,,,,-146.6,,True,,True,False,,,,,False,,False,,,True,,True,,False,True,,True,False,,,True,True,True,,,,,False,,,,False
01023,6,13.0,,12.7,,18.0,12.0,,,,,20.3,,12.5,,,74.0,,25.5,,13.8,,,18.0,9.7,,,23.0,31.0,19.5,,,,,,,,,19.6,7.0,,6.7,,12.0,6.0,,,,,14.3,,6.5,,,68.0,,19.5,,7.8,,,12.0,3.7,,,17.0,25.0,13.5,,,,,,,,,13.6,,True,,False,True,,,,,False,,True,,,False,,False,,False,,,False,True,,,False,False,False,,,,,,,,,False
01025,155,109.0,,137.7,,116.0,107.0,,,,,114.5,,91.9,,,121.0,,142.3,,87.5,,,145.0,105.9,,,158.0,122.0,131.0,,,,,96.6,,,,0.0,-46.0,,-17.3,,-39.0,-48.0,,,,,-40.5,,-63.1,,,-34.0,,-12.7,,-67.5,,,-10.0,-49.1,,,3.0,-33.0,-24.0,,,,,-58.4,,,,-155.0,,True,,True,False,,,,,True,,False,,,True,,True,,False,,,True,False,,,True,True,True,,,,,False,,,,False
01027,55,51.0,,51.1,,51.0,52.0,,,,,47.4,,42.4,,,72.0,,51.3,,29.9,,,49.0,46.5,,,54.0,59.0,54.4,,,,,,,,,101.9,-4.0,,-3.9,,-4.0,-3.0,,,,,-7.6,,-12.6,,,17.0,,-3.7,,-25.1,,,-6.0,-8.5,,,-1.0,4.0,-0.6,,,,,,,,,46.9,,True,,False,True,,,,,False,,False,,,False,,True,,False,,,False,False,,,True,False,True,,,,,,,,,False
01029,53,50.0,,47.9,,56.0,5.0,,,,,45.7,,34.2,,,89.0,,65.8,,34.3,,,52.0,37.9,,,64.0,60.0,71.7,,,,,,,,,62.5,-3.0,,-5.1,,3.0,-48.0,,,,,-7.3,,-18.8,,,36.0,,12.8,,-18.7,,,-1.0,-15.1,,,11.0,7.0,18.7,,,,,,,,,9.5,,False,,False,False,,,,,False,,False,,,False,,False,,False,,,True,False,,,False,False,False,,,,,,,,,False
01031,284,239.0,,241.2,,235.0,252.0,,,,,166.5,,145.6,,,230.0,,288.4,,158.3,210.5,,296.0,192.3,,,281.0,266.0,230.8,,,,,223.7,,,,188.1,-45.0,,-42.8,,-49.0,-32.0,,,,,-117.5,,-138.4,,,-54.0,,4.4,,-125.7,-73.5,,12.0,-91.7,,,-3.0,-18.0,-53.2,,,,,-60.3,,,,-95.9,,True,,False,True,,,,,False,,False,,,False,,True,,False,False,,True,False,,,True,True,False,,,,,False,,,,False
01033,329,311.0,,331.3,,304.0,265.0,,,,,207.4,,177.3,,,373.0,,236.2,,202.2,273.5,,366.0,237.4,,,333.0,324.0,286.6,,,,,265.1,,,,296.9,-18.0,,2.3,,-25.0,-64.0,,,,,-121.6,,-151.7,,,44.0,,-92.8,,-126.8,-55.5,,37.0,-91.6,,,4.0,-5.0,-42.4,,,,,-63.9,,,,-32.1,,True,,False,False,,,,,False,,False,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,,,,False
01035,41,21.0,,24.7,,22.0,26.0,,,,,33.6,,16.9,,,53.0,,14.7,,21.3,,,22.0,13.9,0.0,,28.0,30.0,43.0,,,,,,,,,20.4,-20.0,,-16.3,,-19.0,-15.0,,,,,-7.4,,-24.1,,,12.0,,-26.3,,-19.7,,,-19.0,-27.1,-41.0,,-13.0,-11.0,2.0,,,,,,,,,-20.6,,True,,True,True,,,,,True,,False,,,True,,False,,True,,,True,False,False,,True,True,True,,,,,,,,,False
01037,46,23.0,,22.7,,18.0,13.0,,,,,19.2,,15.0,,,42.0,,16.1,,21.4,,,18.0,15.7,0.0,,26.0,31.0,38.2,,,,,,,,,11.5,-23.0,,-23.3,,-28.0,-33.0,,,,,-26.8,,-31.0,,,-4.0,,-29.9,,-24.6,,,-28.0,-30.3,-46.0,,-20.0,-15.0,-7.8,,,,,,,,,-34.5,,False,,False,False,,,,,False,,False,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,False
01039,158,93.0,,112.5,,113.0,65.0,,,,,120.0,,52.1,,,175.0,,142.2,,72.9,116.0,,152.0,76.2,51.4,,144.0,141.0,156.9,,,,,92.6,,,,69.8,-65.0,,-45.5,,-45.0,-93.0,,,,,-38.0,,-105.9,,,17.0,,-15.8,,-85.1,-42.0,,-6.0,-81.8,-106.6,,-14.0,-17.0,-1.1,,,,,-65.4,,,,-88.2,,True,,True,False,,,,,True,,False,,,True,,True,,False,True,,True,False,False,,True,True,True,,,,,False,,,,False
