,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,153615,93527.0,133731.7,,28439.0,,104786.0,119139.6,92376.6,,39657.6,94873.7,33015.0,-60088.0,-19883.3,,-125176.0,,-48829.0,-34475.4,-61238.4,,-113957.4,-58741.3,-120600.0,True,,False,,True,True,False,,False,True,False
Alaska,24648,26929.0,28564.1,,11755.0,,,44590.7,50149.5,,29457.9,17882.5,0.0,2281.0,3916.1,,-12893.0,,,19942.7,25501.5,,4809.9,-6765.5,-24648.0,False,,False,,,False,False,,False,False,False
Arizona,266097,109683.0,65701.8,,6688.0,,94866.0,173049.9,202875.6,,40750.4,120496.4,72101.0,-156414.0,-200395.2,,-259409.0,,-171231.0,-93047.1,-63221.4,,-225346.6,-145600.6,-193996.0,False,,False,,False,True,True,,False,True,False
Arkansas,99276,79366.0,52281.6,,30475.0,,99739.0,118783.1,209632.0,,37323.7,40492.2,26797.0,-19910.0,-46994.4,,-68801.0,,463.0,19507.1,110356.0,,-61952.3,-58783.8,-72479.0,False,,False,,True,True,False,,False,False,False
California,1385212,375935.0,620670.8,,33756.0,,363172.0,556972.2,947693.5,,156210.0,798246.3,334649.0,-1009277.0,-764541.2,,-1351456.0,,-1022040.0,-828239.8,-437518.5,,-1229002.0,-586965.7,-1050563.0,True,,False,,False,True,True,,False,True,False
Colorado,179938,218869.0,355334.3,,864705.0,,166772.0,246531.0,305890.8,,136743.3,104281.2,81749.0,38931.0,175396.3,,684767.0,,-13166.0,66593.0,125952.8,,-43194.7,-75656.8,-98189.0,False,,False,,True,False,False,,False,False,False
Connecticut,101475,73640.0,63075.2,,83031.0,,46177.0,105833.9,106498.7,,70346.3,34611.4,29107.0,-27835.0,-38399.8,,-18444.0,,-55298.0,4358.9,5023.7,,-31128.7,-66863.6,-72368.0,False,,True,,False,True,True,,False,False,False
Delaware,30478,14959.0,19202.4,,6570.0,,17322.0,21339.2,36346.6,,6744.9,18699.7,8656.0,-15519.0,-11275.6,,-23908.0,,-13156.0,-9138.8,5868.6,,-23733.1,-11778.3,-21822.0,True,,False,,True,True,True,,False,True,False
District of Columbia,10695,6461.0,5034.9,,3769.0,,6642.0,10078.8,9530.8,,3220.8,10491.1,4096.0,-4234.0,-5660.1,,-6926.0,,-4053.0,-616.2,-1164.2,,-7474.2,-203.9,-6599.0,False,,False,,True,True,True,,False,True,False
Florida,479737,266133.0,445069.5,,35569.0,,212724.0,409902.4,277292.9,,101965.1,317200.7,96740.0,-213604.0,-34667.5,,-444168.0,,-267013.0,-69834.6,-202444.1,,-377771.9,-162536.3,-382997.0,True,,False,,False,True,True,,False,True,False
