,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,138750,89190.0,114707.0,,86174.5,95403.0,,83384.0,144882.4,158335.7,59805.5,100399.5,146401.0,,66762.7,60119.8,73442.0,-49560.0,-24043.0,,-52575.5,-43347.0,,-55366.0,6132.4,19585.7,-78944.5,-38350.5,7651.0,,-71987.3,-78630.2,-65308.0,True,,False,True,,False,True,True,False,True,True,,False,False,False
Alaska,20577,24426.0,18383.0,,25456.0,24294.0,,,42115.7,40107.3,10954.6,21717.0,37965.0,,17389.1,10213.5,20422.0,3849.0,-2194.0,,4879.0,3717.0,,,21538.7,19530.3,-9622.4,1140.0,17388.0,,-3187.9,-10363.5,-155.0,True,,False,True,,,False,False,False,True,False,,True,False,True
Arizona,243816,133686.0,144555.0,,120830.4,430098.0,,158646.0,171115.4,195826.8,167463.2,218529.0,194763.0,,142070.4,120361.1,141353.0,-110130.0,-99261.0,,-122985.6,186282.0,,-85170.0,-72700.6,-47989.2,-76352.8,-25287.0,-49053.0,,-101745.6,-123454.9,-102463.0,True,,False,False,,True,True,True,True,True,True,,True,False,True
Arkansas,87621,69930.0,55279.0,,67802.7,42224.0,,97347.0,119664.2,97421.3,40854.7,84769.0,124602.0,,91204.2,36494.5,48495.0,-17691.0,-32342.0,,-19818.3,-45397.0,,9726.0,32043.2,9800.3,-46766.3,-2852.0,36981.0,,3583.2,-51126.5,-39126.0,False,,False,False,,True,False,True,False,True,False,,True,False,False
California,1300124,494208.0,691661.0,,557883.5,789725.0,,420369.0,630441.5,1555195.9,486123.4,814788.0,737734.0,,572555.2,553732.2,487364.0,-805916.0,-608463.0,,-742240.5,-510399.0,,-879755.0,-669682.5,255071.9,-814000.6,-485336.0,-562390.0,,-727568.8,-746391.8,-812760.0,True,,True,True,,False,True,True,False,True,True,,True,True,False
Colorado,144493,212670.0,177846.0,,175107.3,326683.0,,216302.0,324752.8,374973.4,159786.4,220503.0,299710.0,,285399.4,88023.0,145610.0,68177.0,33353.0,,30614.3,182190.0,,71809.0,180259.8,230480.4,15293.4,76010.0,155217.0,,140906.4,-56470.0,1117.0,True,,True,False,,False,False,False,True,False,False,,False,True,True
Connecticut,88651,76944.0,71844.0,,81831.7,151627.0,,80545.0,111635.2,188459.5,114363.8,118257.0,115783.0,,173859.2,25524.1,57810.0,-11707.0,-16807.0,,-6819.3,62976.0,,-8106.0,22984.2,99808.5,25712.8,29606.0,27132.0,,85208.2,-63126.9,-30841.0,False,,True,False,,True,False,False,False,False,False,,False,False,False
Delaware,27552,17556.0,21065.0,,16245.5,29450.0,,18253.0,22267.2,28489.5,15938.9,26975.0,29257.0,,20539.2,18650.0,17806.0,-9996.0,-6487.0,,-11306.5,1898.0,,-9299.0,-5284.8,937.5,-11613.1,-577.0,1705.0,,-7012.8,-8902.0,-9746.0,True,,False,True,,True,True,True,False,True,True,,True,True,True
District of Columbia,9548,6882.0,6296.0,,7212.7,9985.0,,8117.0,10420.9,18317.3,8235.3,9245.0,3658.0,,5078.6,7367.8,7434.0,-2666.0,-3252.0,,-2335.3,437.0,,-1431.0,872.9,8769.3,-1312.7,-303.0,-5890.0,,-4469.4,-2180.2,-2114.0,False,,True,True,,True,True,False,True,True,False,,False,True,True
Florida,423006,340386.0,482491.0,,297843.4,711041.0,,286393.0,443087.2,420221.6,405932.6,392641.5,569557.0,,319750.4,257420.9,284001.0,-82620.0,59485.0,,-125162.6,288035.0,,-136613.0,20081.2,-2784.4,-17073.4,-30364.5,146551.0,,-103255.6,-165585.1,-139005.0,True,,False,False,,False,True,True,True,True,False,,False,False,False
Georgia,238318,143394.0,183972.0,,103815.6,324138.0,,125088.0,196507.5,53358.0,103467.4,165508.0,214600.0,,97067.0,99693.7,137099.0,-94924.0,-54346.0,,-134502.4,85820.0,,-113230.0,-41810.5,-184960.0,-134850.6,-72810.0,-23718.0,,-141251.0,-138624.3,-101219.0,True,,False,True,,False,True,False,False,True,True,,False,False,False
