,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1010,837.0,,859.2,,806.0,738.0,,,,,767.2,,,,726.0,,1168.6,493.3,654.5,,1322.5,927.7,909.5,1269.0,933.0,923.0,,,,,724.8,,,,1001.9,-173.0,,-150.8,,-204.0,-272.0,,,,,-242.8,,,,-284.0,,158.6,-516.7,-355.5,,312.5,-82.3,-100.5,259.0,-77.0,-87.0,,,,,-285.2,,,,-8.1,,True,,False,False,,,,,False,,,,False,,True,False,False,,False,True,True,False,True,True,,,,,False,,,,True
01003,3290,3117.0,,3118.1,,3016.0,2852.0,,,,,4961.3,,,,2058.0,,3680.3,1809.2,2413.0,,4292.5,3791.8,3401.0,4807.0,3526.0,3410.6,,,,,2601.1,2247.0,,,4100.6,-173.0,,-171.9,,-274.0,-438.0,,,,,1671.3,,,,-1232.0,,390.3,-1480.8,-877.0,,1002.5,501.8,111.0,1517.0,236.0,120.6,,,,,-688.9,-1043.0,,,810.6,,True,,False,False,,,,,False,,,,False,,False,False,False,,False,False,True,False,False,True,,,,,False,False,,,False
01005,259,150.0,,138.5,,154.0,114.0,,,,,144.5,,,,262.0,,210.8,72.3,,,90.5,160.1,165.5,241.0,239.0,230.7,,,,,,,,,165.7,-109.0,,-120.5,,-105.0,-145.0,,,,,-114.5,,,,3.0,,-48.2,-186.7,,,-168.5,-98.9,-93.5,-18.0,-20.0,-28.3,,,,,,,,,-93.3,,False,,True,False,,,,,False,,,,True,,True,False,,,False,True,True,True,True,True,,,,,,,,,True
01007,446,402.0,,385.2,,379.0,210.0,,,,,489.3,,,,325.0,,156.0,166.1,,,498.0,424.1,361.8,570.0,437.0,373.9,,,,,,,,,536.3,-44.0,,-60.8,,-67.0,-236.0,,,,,43.3,,,,-121.0,,-290.0,-279.9,,,52.0,-21.9,-84.2,124.0,-9.0,-72.1,,,,,,,,,90.3,,False,,False,False,,,,,True,,,,False,,False,False,,,False,True,False,False,True,False,,,,,,,,,False
01009,985,1389.0,,1375.9,,1214.0,1222.0,,,,,1447.4,,,,1005.0,,1951.9,569.4,979.5,,1617.0,1400.8,1284.5,1971.0,1296.0,1055.3,,,,,1147.2,,,,1214.8,404.0,,390.9,,229.0,237.0,,,,,462.4,,,,20.0,,966.9,-415.6,-5.5,,632.0,415.8,299.5,986.0,311.0,70.3,,,,,162.2,,,,229.8,,True,,True,True,,,,,False,,,,True,,False,False,True,,False,False,True,False,True,True,,,,,True,,,,True
01011,167,36.0,,33.4,,41.0,0.0,,,,,40.8,,,,100.0,,39.2,36.6,,,29.0,57.5,67.6,13.0,107.0,125.3,,,,,,,,,38.3,-131.0,,-133.6,,-126.0,-167.0,,,,,-126.2,,,,-67.0,,-127.8,-130.4,,,-138.0,-109.5,-99.4,-154.0,-60.0,-41.7,,,,,,,,,-128.7,,False,,True,False,,,,,True,,,,True,,True,True,,,False,True,True,False,True,True,,,,,,,,,True
01013,234,243.0,,251.4,,242.0,21.0,,,,,274.9,,,,201.0,,369.0,149.4,,,284.0,286.5,277.0,180.0,304.0,205.3,,,,,,,,,241.6,9.0,,17.4,,8.0,-213.0,,,,,40.9,,,,-33.0,,135.0,-84.6,,,50.0,52.5,43.0,-54.0,70.0,-28.7,,,,,,,,,7.6,,False,,True,False,,,,,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,,,,True
01015,1932,2199.0,,2091.3,,2053.0,1967.0,,,,,2616.0,,,,1926.0,,3272.6,1119.3,1613.5,,2717.0,2288.7,2054.7,3334.0,2312.0,1788.1,,,,,1688.0,,,,2719.8,267.0,,159.3,,121.0,35.0,,,,,684.0,,,,-6.0,,1340.6,-812.7,-318.5,,785.0,356.7,122.7,1402.0,380.0,-143.9,,,,,-244.0,,,,787.8,,True,,True,True,,,,,False,,,,True,,False,False,False,,False,False,True,False,False,True,,,,,True,,,,False
01017,389,288.0,,298.4,,318.0,392.0,,,,,362.5,,,,395.0,,226.4,199.6,307.5,,280.5,344.3,359.7,305.0,410.0,296.2,,,,,,,,,296.4,-101.0,,-90.6,,-71.0,3.0,,,,,-26.5,,,,6.0,,-162.6,-189.4,-81.5,,-108.5,-44.7,-29.3,-84.0,21.0,-92.8,,,,,,,,,-92.6,,True,,True,True,,,,,True,,,,True,,False,False,True,,False,True,True,True,True,True,,,,,,,,,True
01019,248,291.0,,278.6,,310.0,254.0,,,,,383.3,,,,394.0,,197.4,149.1,,,370.0,329.4,313.7,434.0,384.0,389.3,,,,,,,,,259.8,43.0,,30.6,,62.0,6.0,,,,,135.3,,,,146.0,,-50.6,-98.9,,,122.0,81.4,65.7,186.0,136.0,141.3,,,,,,,,,11.8,,True,,False,True,,,,,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,,,,True
