,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,76617,75756.0,86864.5,72852.6,86551.0,77462.0,,80136.8,94254.0,74573.9,100123.2,,115972.2,81319.0,82598.0,102766.6,92163.5,87140.0,41262.9,58241.5,126564.7,87695.5,87627.5,82359.0,108087.0,71988.0,,101433.3,60691.7,,61156.6,96174.9,,96855.0,99902.4,92418.7,-861.0,10247.5,-3764.4,9934.0,845.0,,3519.8,17637.0,-2043.1,23506.2,,39355.2,4702.0,5981.0,26149.6,15546.5,10523.0,-35354.1,-18375.5,49947.7,11078.5,11010.5,5742.0,31470.0,-4629.0,,24816.3,-15925.3,,-15460.4,19557.9,,20238.0,23285.4,15801.7,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Alaska,7304,12678.0,16298.0,12509.1,13067.0,13114.0,,15303.7,8963.0,12703.2,16424.8,,13400.5,,,16020.1,21541.0,13846.0,6418.8,10293.0,14469.1,11006.0,11465.1,14591.0,13134.0,10563.0,,13626.7,11853.6,,11789.2,21580.1,,12805.0,15454.4,16273.2,5374.0,8994.0,5205.1,5763.0,5810.0,,7999.7,1659.0,5399.2,9120.8,,6096.5,,,8716.1,14237.0,6542.0,-885.2,2989.0,7165.1,3702.0,4161.1,7287.0,5830.0,3259.0,,6322.7,4549.6,,4485.2,14276.1,,5501.0,8150.4,8969.2,False,True,False,False,,False,True,False,False,,False,,,False,False,False,True,True,False,True,True,False,False,True,,False,True,,True,False,,False,False,False
Arizona,136561,131067.0,186363.2,130837.7,148222.0,138746.0,,149385.3,236578.0,140715.2,165968.5,,189313.9,141130.0,141660.0,190971.8,177073.1,133496.0,104847.4,153491.5,222288.6,163194.5,143190.1,147401.3,158489.0,130183.0,,170486.0,77975.0,,125195.5,176557.9,,144889.0,193478.7,209776.5,-5494.0,49802.2,-5723.3,11661.0,2185.0,,12824.3,100017.0,4154.2,29407.5,,52752.9,4569.0,5099.0,54410.8,40512.1,-3065.0,-31713.6,16930.5,85727.6,26633.5,6629.1,10840.3,21928.0,-6378.0,,33925.0,-58586.0,,-11365.5,39996.9,,8328.0,56917.7,73215.5,False,False,False,True,,False,False,True,False,,False,True,True,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Arkansas,47190,44610.0,74310.6,44885.5,45886.0,40013.0,,45793.5,45664.0,41174.4,52734.8,,56465.6,49492.0,54072.0,56963.8,39115.4,50486.0,25775.5,50222.0,39084.5,45149.0,45200.1,47395.6,60333.0,37825.0,,54939.1,39795.1,,45450.2,60823.2,,47426.0,54790.8,46210.8,-2580.0,27120.6,-2304.5,-1304.0,-7177.0,,-1396.5,-1526.0,-6015.6,5544.8,,9275.6,2302.0,6882.0,9773.8,-8074.6,3296.0,-21414.5,3032.0,-8105.5,-2041.0,-1989.9,205.6,13143.0,-9365.0,,7749.1,-7394.9,,-1739.8,13633.2,,236.0,7600.8,-979.2,False,True,True,False,,True,True,False,False,,False,True,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,True,False,,True,False,True
California,839381,633705.0,992062.5,633926.2,798820.0,928379.0,,736204.3,736195.0,687973.2,888851.9,,1352438.1,532407.0,637496.0,833816.5,1215928.2,,427268.4,720646.0,1125364.4,1058893.5,866685.0,657370.6,803166.0,651177.0,,832459.7,644119.5,,727179.5,685986.0,,879707.0,1207704.0,,-205676.0,152681.5,-205454.8,-40561.0,88998.0,,-103176.7,-103186.0,-151407.8,49470.9,,513057.1,-306974.0,-201885.0,-5564.5,376547.2,,-412112.6,-118735.0,285983.4,219512.5,27304.0,-182010.4,-36215.0,-188204.0,,-6921.3,-195261.5,,-112201.5,-153395.0,,40326.0,368323.0,,True,True,True,True,,True,True,True,True,,False,False,True,True,False,,False,True,False,False,True,True,True,True,,True,True,,True,True,,True,False,
Colorado,53538,84861.0,130308.1,85030.6,77129.0,74773.0,,88436.6,70662.0,55333.9,112682.8,,74023.9,101503.0,89691.0,107545.2,60623.4,81232.0,55863.7,77689.0,76244.2,64608.0,68186.2,75212.3,70897.0,54607.0,,79851.5,50037.5,,80578.6,138372.8,,84044.0,108835.7,77821.2,31323.0,76770.1,31492.6,23591.0,21235.0,,34898.6,17124.0,1795.9,59144.8,,20485.9,47965.0,36153.0,54007.2,7085.4,27694.0,2325.7,24151.0,22706.2,11070.0,14648.2,21674.3,17359.0,1069.0,,26313.5,-3500.5,,27040.6,84834.8,,30506.0,55297.7,24283.2,False,False,True,True,,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,,True,False,True
Connecticut,43359,57138.0,53807.3,56608.2,56737.0,71078.0,,59849.4,39103.0,227788.0,52032.6,,81055.4,40490.0,60223.0,62523.9,75470.9,68081.0,52427.5,54610.0,98791.0,49551.0,49970.9,57529.4,43465.0,51262.0,,54797.1,78279.5,,56338.3,68206.0,,53672.0,70513.6,67987.8,13779.0,10448.3,13249.2,13378.0,27719.0,,16490.4,-4256.0,184429.0,8673.6,,37696.4,-2869.0,16864.0,19164.9,32111.9,24722.0,9068.5,11251.0,55432.0,6192.0,6611.9,14170.4,106.0,7903.0,,11438.1,34920.5,,12979.3,24847.0,,10313.0,27154.6,24628.8,True,True,True,False,,False,True,False,True,,False,True,False,False,False,False,True,True,False,True,True,False,True,True,,True,False,,True,False,,True,False,False
Delaware,13997,17340.0,26303.1,17289.8,19256.0,18351.0,,15840.2,22040.0,12095.5,21184.7,,26060.3,14042.0,18758.0,20033.1,25746.7,19167.0,11330.3,19193.5,28574.4,20387.5,17484.5,19990.6,21471.0,17238.0,,22791.1,23252.5,,17481.6,19240.2,,19669.0,21278.5,27813.2,3343.0,12306.1,3292.8,5259.0,4354.0,,1843.2,8043.0,-1901.5,7187.7,,12063.3,45.0,4761.0,6036.1,11749.7,5170.0,-2666.7,5196.5,14577.4,6390.5,3487.5,5993.6,7474.0,3241.0,,8794.1,9255.5,,3484.6,5243.2,,5672.0,7281.5,13816.2,False,True,False,False,,True,False,True,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,,False,False,,False,False,False
District of Columbia,4866,5313.0,6313.0,5320.6,6057.0,4222.0,,6159.4,5144.0,5338.8,8594.8,,8194.0,4316.0,6594.0,6571.3,8852.6,6869.0,3999.8,5650.5,8309.8,6147.5,5741.9,,8150.0,4162.0,,6645.8,7529.8,,4991.2,7198.7,,5677.0,7965.9,8227.6,447.0,1447.0,454.6,1191.0,-644.0,,1293.4,278.0,472.8,3728.8,,3328.0,-550.0,1728.0,1705.3,3986.6,2003.0,-866.2,784.5,3443.8,1281.5,875.9,,3284.0,-704.0,,1779.8,2663.8,,125.2,2332.7,,811.0,3099.9,3361.6,False,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,True,False,,False,False,False
Florida,237860,202005.0,238622.4,201843.0,217810.0,226180.0,,214919.7,323079.0,250641.0,278520.2,,253599.0,200873.0,228950.0,254537.0,203420.2,192996.0,212411.7,194074.0,288808.6,199517.0,222972.6,239722.6,259750.0,197641.0,,248873.9,221922.4,,219793.3,282341.2,,217186.0,249083.4,,-35855.0,762.4,-36017.0,-20050.0,-11680.0,,-22940.3,85219.0,12781.0,40660.2,,15739.0,-36987.0,-8910.0,16677.0,-34439.8,-44864.0,-25448.3,-43786.0,50948.6,-38343.0,-14887.4,1862.6,21890.0,-40219.0,,11013.9,-15937.6,,-18066.7,44481.2,,-20674.0,11223.4,,True,False,True,True,,True,False,True,False,,True,False,True,True,True,False,True,False,False,False,True,True,True,False,,True,True,,True,False,,True,True,
