,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,26000,23554.0,37564.1,22814.3,25103.0,21230.0,,28338.6,33561.0,27309.7,23281.7,13492.4,,25102.9,30829.0,30749.3,26095.3,25288.0,15603.4,26731.5,39285.9,26307.0,19550.3,22693.4,28965.0,24061.0,,22609.3,33233.8,,24245.1,37968.9,24559.5,25759.0,24614.1,-2446.0,11564.1,-3185.7,-897.0,-4770.0,,2338.6,7561.0,1309.7,-2718.3,-12507.6,,-897.1,4829.0,4749.3,95.3,-712.0,-10396.6,731.5,13285.9,307.0,-6449.7,-3306.6,2965.0,-1939.0,,-3390.7,7233.8,,-1754.9,11968.9,-1440.5,-241.0,-1385.9,False,False,True,False,,True,False,True,False,False,,True,False,False,True,True,False,True,False,True,False,False,False,True,,False,False,,True,False,True,True,True
Alaska,2322,1791.0,1767.9,1621.4,1699.0,1245.0,,2107.9,2091.0,1697.8,922.1,2297.3,,1532.9,,2857.3,1310.9,1268.0,1357.6,690.5,2135.8,1813.0,1574.9,1931.0,2232.0,1446.0,,1436.5,3339.9,,1779.5,5095.4,2423.6,1987.0,1346.3,-531.0,-554.1,-700.6,-623.0,-1077.0,,-214.1,-231.0,-624.2,-1399.9,-24.7,,-789.1,,535.3,-1011.1,-1054.0,-964.4,-1631.5,-186.2,-509.0,-747.1,-391.0,-90.0,-876.0,,-885.5,1017.9,,-542.5,2773.4,101.6,-335.0,-975.7,False,False,False,False,,True,True,False,False,True,,False,,False,False,False,False,False,True,True,False,True,True,False,,False,False,,False,False,True,True,False
Arizona,46109,44810.0,57846.3,44670.3,44511.0,42437.0,,45671.6,61224.0,45920.8,56997.1,41942.5,,39862.4,44053.0,50999.7,40299.8,45279.0,35879.1,43801.0,43063.4,40623.0,33496.0,35447.3,50671.0,45698.0,,40684.2,73314.9,,42446.0,63520.3,46603.8,45356.0,165661.2,-1299.0,11737.3,-1438.7,-1598.0,-3672.0,,-437.4,15115.0,-188.2,10888.1,-4166.5,,-6246.6,-2056.0,4890.7,-5809.2,-830.0,-10229.9,-2308.0,-3045.6,-5486.0,-12613.0,-10661.7,4562.0,-411.0,,-5424.8,27205.9,,-3663.0,17411.3,494.8,-753.0,119552.2,False,False,False,False,,True,False,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,,False,False,True,True,False
Arkansas,17473,13855.0,17256.4,13871.2,14845.0,12437.0,,15838.1,15511.0,15323.4,15476.7,7882.6,,14002.6,18038.0,18252.8,13694.8,15379.0,9374.0,14459.0,16322.3,15857.5,10465.2,12365.4,16572.0,13858.0,,13493.8,13336.3,,13666.3,20928.6,15864.4,14477.0,15411.5,-3618.0,-216.6,-3601.8,-2628.0,-5036.0,,-1634.9,-1962.0,-2149.6,-1996.3,-9590.4,,-3470.4,565.0,779.8,-3778.2,-2094.0,-8099.0,-3014.0,-1150.7,-1615.5,-7007.8,-5107.6,-901.0,-3615.0,,-3979.2,-4136.7,,-3806.7,3455.6,-1608.6,-2996.0,-2061.5,True,True,True,False,,True,True,True,True,False,,True,True,True,False,True,False,True,True,True,False,False,True,True,,False,False,,False,True,True,True,True
California,267947,278053.0,402804.8,280561.0,315556.0,307704.0,,323968.5,338433.0,349967.3,290944.1,408819.8,,385189.3,297678.0,356474.8,409991.9,257152.0,184654.7,160901.0,519218.7,459210.0,287355.5,249708.9,333383.0,297181.0,,315556.3,244923.7,,267894.8,419805.8,334438.9,310129.0,719028.4,10106.0,134857.8,12614.0,47609.0,39757.0,,56021.5,70486.0,82020.3,22997.1,140872.8,,117242.3,29731.0,88527.8,142044.9,-10795.0,-83292.3,-107046.0,251271.7,191263.0,19408.5,-18238.1,65436.0,29234.0,,47609.3,-23023.3,,-52.2,151858.8,66491.9,42182.0,451081.4,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False
Colorado,15553,17021.0,13254.1,16949.6,15660.0,13298.0,,17465.9,13467.0,12705.1,12515.3,13702.5,,13344.2,19420.0,18709.0,11197.4,17045.0,10492.8,10239.0,17508.3,13839.5,12891.6,14300.2,18498.0,14481.0,,13098.3,16124.3,,18529.7,28947.3,15834.5,18098.0,20486.2,1468.0,-2298.9,1396.6,107.0,-2255.0,,1912.9,-2086.0,-2847.9,-3037.7,-1850.5,,-2208.8,3867.0,3156.0,-4355.6,1492.0,-5060.2,-5314.0,1955.3,-1713.5,-2661.4,-1252.8,2945.0,-1072.0,,-2454.7,571.3,,2976.7,13394.3,281.5,2545.0,4933.2,False,True,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,True,,False,False,True,False,False
Connecticut,17377,9961.0,12213.6,9667.1,10764.0,7623.0,,12093.8,10561.0,1733324.0,12642.3,6427.9,,11717.5,14078.0,17878.8,10136.3,8402.0,13768.5,5808.5,12854.9,12832.5,7523.5,10816.1,11704.0,7641.0,,8571.5,21148.2,,11120.5,24230.5,13738.5,10186.0,6802.7,-7416.0,-5163.4,-7709.9,-6613.0,-9754.0,,-5283.2,-6816.0,1715947.0,-4734.7,-10949.1,,-5659.5,-3299.0,501.8,-7240.7,-8975.0,-3608.5,-11568.5,-4522.1,-4544.5,-9853.5,-6560.9,-5673.0,-9736.0,,-8805.5,3771.2,,-6256.5,6853.5,-3638.5,-7191.0,-10574.3,True,False,True,False,,True,True,False,True,False,,True,True,True,True,False,True,False,True,True,False,True,True,False,,False,True,,True,True,True,True,False
Delaware,4400,4337.0,6493.3,4568.6,4481.0,3666.0,,4649.8,7596.0,6572.9,3367.0,5019.3,,4663.8,4481.0,6013.9,3533.3,4522.0,3380.2,2071.0,5119.7,3317.0,4245.8,4677.3,5260.0,4126.0,,4088.6,8181.7,,4344.3,7749.1,4567.7,4791.0,1240.4,-63.0,2093.3,168.6,81.0,-734.0,,249.8,3196.0,2172.9,-1033.0,619.3,,263.8,81.0,1613.9,-866.7,122.0,-1019.8,-2329.0,719.7,-1083.0,-154.2,277.3,860.0,-274.0,,-311.4,3781.7,,-55.7,3349.1,167.7,391.0,-3159.6,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False
District of Columbia,1799,1368.0,2550.6,1380.4,1557.0,1188.0,,1596.8,1557.0,1528.2,1323.4,1342.7,,1730.3,1641.0,1805.0,1359.5,1496.0,1380.6,1520.0,2621.8,1853.0,1831.5,,1603.0,1245.0,,1291.0,3082.1,,1463.4,2367.0,,1593.0,2871.7,-431.0,751.6,-418.6,-242.0,-611.0,,-202.2,-242.0,-270.8,-475.6,-456.3,,-68.7,-158.0,6.0,-439.5,-303.0,-418.4,-279.0,822.8,54.0,32.5,,-196.0,-554.0,,-508.0,1283.1,,-335.6,568.0,,-206.0,1072.7,False,True,True,False,,True,True,True,False,False,,True,True,True,False,True,True,True,False,True,True,,True,False,,False,False,,True,False,,True,False
Florida,90245,71423.0,76687.9,70833.5,76142.0,67913.0,,77027.9,92497.0,67682.1,72580.0,98872.4,,75131.9,88306.0,85628.5,69477.8,69840.0,67719.1,66277.5,101672.2,76142.5,66595.9,76585.5,82321.0,78668.0,,74799.6,75232.1,,70500.8,98286.7,79130.4,81814.0,91751.9,-18822.0,-13557.1,-19411.5,-14103.0,-22332.0,,-13217.1,2252.0,-22562.9,-17665.0,8627.4,,-15113.1,-1939.0,-4616.5,-20767.2,-20405.0,-22525.9,-23967.5,11427.2,-14102.5,-23649.1,-13659.5,-7924.0,-11577.0,,-15445.4,-15012.9,,-19744.2,8041.7,-11114.6,-8431.0,1506.9,True,False,True,False,,True,True,False,True,True,,True,True,True,False,False,False,False,True,True,False,True,True,True,,True,True,,False,True,True,True,True
