,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,101869,90384.0,109538.7,85816.1,96241.0,111357.0,,76195.8,87828.0,103677.6,102414.6,,152002.0,95299.0,96169.2,98769.5,101972.0,45937.4,68566.0,159600.6,102287.0,100212.7,87391.1,92864.0,123144.0,,120217.5,79495.0,,71040.0,99278.0,,115592.0,93969.3,17910.4,-11485.0,7669.7,-16052.9,-5628.0,9488.0,,-25673.2,-14041.0,1808.6,545.6,,50133.0,-6570.0,-5699.8,-3099.5,103.0,-55931.6,-33303.0,57731.6,418.0,-1656.3,-14477.9,-9005.0,21275.0,,18348.5,-22374.0,,-30829.0,-2591.0,,13723.0,-7899.7,-83958.6,True,False,True,True,,False,False,True,True,,False,True,True,True,True,False,False,False,True,True,False,True,False,,False,False,,False,True,,False,True,False
Alaska,11530,19308.0,18514.5,19458.0,20923.0,15590.0,,21135.6,12606.0,14794.0,18519.4,,24498.7,,25179.6,42778.2,21978.0,10223.6,22492.0,20043.4,22820.0,21776.6,22247.9,22311.7,21095.0,,24450.7,16529.6,,19786.9,31067.9,,22335.0,32359.0,3031.7,7778.0,6984.5,7928.0,9393.0,4060.0,,9605.6,1076.0,3264.0,6989.4,,12968.7,,13649.6,31248.2,10448.0,-1306.4,10962.0,8513.4,11290.0,10246.6,10717.9,10781.7,9565.0,,12920.7,4999.6,,8256.9,19537.9,,10805.0,20829.0,-8498.3,True,False,False,True,,False,True,True,True,,False,,False,False,False,True,False,False,False,False,False,False,False,,False,True,,False,False,,False,False,False
Arizona,180250,144504.0,201743.2,142433.7,166143.0,162447.0,,146372.7,290945.0,214476.3,277272.7,,254111.7,151390.0,185292.7,235863.1,165314.0,126017.3,192140.5,270009.9,171787.5,169148.7,162792.3,175102.1,174651.0,,143046.9,96930.0,,150117.4,217881.1,,151669.0,110530.0,33040.0,-35746.0,21493.2,-37816.3,-14107.0,-17803.0,,-33877.3,110695.0,34226.3,97022.7,,73861.7,-28860.0,5042.7,55613.1,-14936.0,-54232.7,11890.5,89759.9,-8462.5,-11101.3,-17457.7,-5147.9,-5599.0,,-37203.1,-83320.0,,-30132.6,37631.1,,-28581.0,-69720.0,-147210.0,True,False,True,True,,True,False,True,False,,False,True,True,False,True,False,True,False,True,True,True,True,True,,False,False,,True,False,,True,False,False
Arkansas,62060,57424.0,51210.1,56483.1,59183.0,56081.0,,50843.6,60330.0,52836.0,75267.0,,63290.7,64916.0,72196.7,52626.7,67907.0,34024.1,64217.5,76475.9,57546.5,63992.1,59470.6,60387.6,70684.0,,70976.2,53644.7,,69116.1,82714.8,,58654.0,56137.7,7809.6,-4636.0,-10849.9,-5576.9,-2877.0,-5979.0,,-11216.4,-1730.0,-9224.0,13207.0,,1230.7,2856.0,10136.7,-9433.3,5847.0,-28035.9,2157.5,14415.9,-4513.5,1932.1,-2589.4,-1672.4,8624.0,,8916.2,-8415.3,,7056.1,20654.8,,-3406.0,-5922.3,-54250.4,False,False,True,False,,False,True,False,False,,True,True,False,False,False,False,True,False,True,True,True,True,False,,False,False,,False,False,,True,False,False
California,1058983,549268.0,859065.6,554753.0,759199.0,817941.0,,640665.8,695173.0,868401.0,684733.9,,1285204.9,531139.0,663344.6,869983.5,299350.0,538140.5,720599.5,1023513.0,909462.0,904091.3,484256.4,541848.1,709713.0,,477502.0,6441.9,,627810.8,784301.9,,849018.0,866476.3,,-509715.0,-199917.4,-504230.0,-299784.0,-241042.0,,-418317.2,-363810.0,-190582.0,-374249.1,,226221.9,-527844.0,-395638.4,-188999.5,-759633.0,-520842.5,-338383.5,-35470.0,-149521.0,-154891.7,-574726.6,-517134.9,-349270.0,,-581481.0,-1052541.1,,-431172.2,-274681.1,,-209965.0,-192506.7,,True,True,True,True,,True,True,True,True,,True,False,True,True,False,False,True,True,True,True,False,False,True,,False,False,,True,True,,True,True,
Colorado,81825,128256.0,165644.2,130879.7,122839.0,128563.0,,138397.2,122872.0,147457.5,114406.6,,121476.8,119829.0,165535.6,96633.3,104169.0,77035.4,140874.0,94526.6,112626.0,115570.1,116562.9,117879.1,130373.0,,116205.8,74887.0,,137516.3,230959.0,,113208.0,151767.3,21059.3,46431.0,83819.2,49054.7,41014.0,46738.0,,56572.2,41047.0,65632.5,32581.6,,39651.8,38004.0,83710.6,14808.3,22344.0,-4789.6,59049.0,12701.6,30801.0,33745.1,34737.9,36054.1,48548.0,,34380.8,-6938.0,,55691.3,149134.0,,31383.0,69942.3,-60765.7,False,False,True,False,,False,True,False,True,,True,True,False,True,True,True,False,True,True,True,True,True,False,,True,True,,False,False,,True,False,False
Connecticut,62405,60536.0,71342.4,59178.6,60036.0,80577.0,,53455.0,45813.0,299999.1,131120.5,,38283.4,56506.0,77436.4,64136.7,73066.0,66996.6,63117.5,130941.0,47250.0,52321.1,60947.3,62493.6,75610.0,,54300.9,98847.0,,70703.0,93329.9,,55495.0,76461.3,8587.5,-1869.0,8937.4,-3226.4,-2369.0,18172.0,,-8950.0,-16592.0,237594.1,68715.5,,-24121.6,-5899.0,15031.4,1731.7,10661.0,4591.6,712.5,68536.0,-15155.0,-10083.9,-1457.7,88.6,13205.0,,-8104.1,36442.0,,8298.0,30924.9,,-6910.0,14056.3,-53817.5,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,True,False,False,False,True,True,False,,False,False,,False,False,,False,False,False
Delaware,19777,17704.0,29780.2,17362.3,22174.0,23545.0,,18611.9,26381.0,18460.9,21048.8,,35063.3,17374.0,24191.4,26624.0,21820.0,14065.0,18691.5,33636.7,22838.5,22448.4,20519.7,21909.2,22551.0,,23761.8,28845.3,,18548.6,23304.6,,24588.0,25249.9,5285.3,-2073.0,10003.2,-2414.7,2397.0,3768.0,,-1165.1,6604.0,-1316.1,1271.8,,15286.3,-2403.0,4414.4,6847.0,2043.0,-5712.0,-1085.5,13859.7,3061.5,2671.4,742.7,2132.2,2774.0,,3984.8,9068.3,,-1228.4,3527.6,,4811.0,5472.9,-14491.7,False,False,False,False,,True,False,True,True,,False,False,False,False,True,False,True,False,False,False,True,False,False,,False,False,,True,False,,False,False,False
District of Columbia,6637,6256.0,7866.2,6232.8,7798.0,8755.0,,6013.7,6919.0,8535.2,11527.8,,11178.8,7657.0,9667.9,6658.9,10031.0,6161.3,6802.0,10860.0,8407.0,9039.5,,,5630.0,,8788.5,9257.9,,5620.7,9728.4,,8055.0,8496.6,1255.0,-381.0,1229.2,-404.2,1161.0,2118.0,,-623.3,282.0,1898.2,4890.8,,4541.8,1020.0,3030.9,21.9,3394.0,-475.7,165.0,4223.0,1770.0,2402.5,,,-1007.0,,2151.5,2620.9,,-1016.3,3091.4,,1418.0,1859.6,-5382.0,False,False,False,False,,False,True,False,False,,False,False,False,True,False,False,True,False,False,False,,,False,,False,False,,False,False,,False,False,False
Florida,305195,257364.0,322772.7,261580.4,297785.0,281049.0,,248427.2,458748.0,439987.5,216330.1,,369642.2,228380.0,361858.1,259221.0,225545.0,238270.5,282596.5,431411.6,279827.0,302649.8,359828.5,353304.4,363440.0,,268879.7,261453.0,,308498.9,378664.2,,308154.0,210940.6,,-47831.0,17577.7,-43614.6,-7410.0,-24146.0,,-56767.8,153553.0,134792.5,-88864.9,,64447.2,-76815.0,56663.1,-45974.0,-79650.0,-66924.5,-22598.5,126216.6,-25368.0,-2545.2,54633.5,48109.4,58245.0,,-36315.3,-43742.0,,3303.9,73469.2,,2959.0,-94254.4,,True,True,True,True,,False,False,False,False,,False,False,False,True,False,False,True,False,True,True,False,False,False,,True,True,,True,False,,True,False,
