,mean_rank
Covid19Sim-Simulator,9.2
COVIDhub-ensemble,10.5
OliverWyman-Navigator,10.8
USC-SI_kJalpha,11.6
CEID-Walk,11.7
COVIDhub-baseline,11.7
OneQuietNight-ML,12.0
IowaStateLW-STEM,12.2
UMich-RidgeTfReg,12.4
JHU_CSSE-DECOM,12.5
IEM_MED-CovidProject,12.7
Microsoft-DeepSTIA,12.9
UCLA-SuEIR,13.1
JCB-PRM,13.6
BPagano-RtDriven,14.3
Karlen-pypm,14.5
LANL-GrowthRate,15.4
Geneva-DetGrowth,16.8
JHUAPL-Bucky,17.1
CovidAnalytics-DELPHI,17.1
RobertWalraven-ESG,17.4
DDS-NBDS,17.6
LNQ-ens1,19.5
CU-select,19.9
JHU_IDD-CovidSP,20.1
Google_Harvard-CPF,20.5
JHU_UNC_GAS-StatMechPool,20.5
TTU-squider,20.7
UVA-Ensemble,21.9
UCSB-ACTS,24.7
