,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1833,1176.0,,,,,503.0,,1704.2,,665.5,,,-657.0,,,,,-1330.0,,-128.8,,-1167.5,,,,,,,False,,True,,False,,
01003,6359,2856.0,,,,,1558.0,,2195.8,,1494.5,,,-3503.0,,,,,-4801.0,,-4163.2,,-4864.5,,,,,,,False,,False,,False,,
01005,405,217.0,,,,,223.0,,72.9,,166.8,,,-188.0,,,,,-182.0,,-332.1,,-238.2,,,,,,,True,,False,,False,,
01007,885,378.0,,,,,250.0,,397.1,,,,,-507.0,,,,,-635.0,,-487.9,,,,,,,,,False,,True,,,,
01009,2211,1624.0,,,,,801.0,,804.7,,559.7,,,-587.0,,,,,-1410.0,,-1406.3,,-1651.3,,,,,,,False,,False,,False,,
01011,218,84.0,,,,,108.0,,13.9,,,,,-134.0,,,,,-110.0,,-204.1,,,,,,,,,True,,False,,,,
01013,465,203.0,,,,,157.0,,121.0,,86.2,,,-262.0,,,,,-308.0,,-344.0,,-378.8,,,,,,,False,,False,,False,,
01015,4222,2219.0,,,,,1633.0,,618.7,,1279.1,,,-2003.0,,,,,-2589.0,,-3603.3,,-2942.9,,,,,,,False,,False,,False,,
01017,830,511.0,,,,,328.0,,65.9,,393.2,,,-319.0,,,,,-502.0,,-764.1,,-436.8,,,,,,,False,,False,,False,,
01019,537,434.0,,,,,360.0,,56.5,,,,,-103.0,,,,,-177.0,,-480.5,,,,,,,,,False,,False,,,,
