,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,165940,81576.0,151934.2,,76520.2,,66844.0,71522.4,83299.8,30902.0,52949.0,-84364.0,-14005.8,,-89419.8,,-99096.0,-94417.6,-82640.2,-135038.0,-112991.0,True,,False,,False,False,True,False,False
Alaska,28495,23608.0,5166.0,,22857.6,,,18074.3,60296.8,20036.5,76.0,-4887.0,-23329.0,,-5637.4,,,-10420.7,31801.8,-8458.5,-28419.0,False,,False,,,False,False,False,False
Arizona,281766,91504.0,141773.7,,99111.2,,53040.0,68668.8,68463.3,34455.3,96895.0,-190262.0,-139992.3,,-182654.8,,-228726.0,-213097.2,-213302.7,-247310.7,-184871.0,True,,True,,False,False,False,False,True
Arkansas,110614,69104.0,64987.3,,65138.1,,66345.0,55284.3,76461.8,24554.1,38991.0,-41510.0,-45626.7,,-45475.9,,-44269.0,-55329.7,-34152.2,-86059.9,-71623.0,False,,False,,False,False,True,False,False
California,1440853,297752.0,376467.3,,312283.1,,177524.0,182049.1,249511.3,139966.8,360673.0,-1143101.0,-1064385.7,,-1128569.9,,-1263329.0,-1258803.9,-1191341.7,-1300886.2,-1080180.0,True,,True,,False,False,False,False,True
Colorado,211205,164936.0,417944.3,,167107.4,,123827.0,129721.5,135399.4,137494.7,93932.0,-46269.0,206739.3,,-44097.6,,-87378.0,-81483.5,-75805.6,-73710.3,-117273.0,False,,True,,False,False,False,False,False
Connecticut,111995,55344.0,64518.3,,70902.2,,36470.0,64870.1,39069.3,53974.1,55883.0,-56651.0,-47476.7,,-41092.8,,-75525.0,-47124.9,-72925.7,-58020.9,-56112.0,True,,True,,False,True,False,False,True
Delaware,32615,10456.0,3877.7,,13205.1,,7728.0,7163.3,8595.7,5930.9,12902.0,-22159.0,-28737.3,,-19409.9,,-24887.0,-25451.7,-24019.3,-26684.1,-19713.0,False,,True,,False,False,False,False,True
District of Columbia,11618,5000.0,29970.2,,5370.2,,3029.0,3770.0,3041.6,3416.1,6747.0,-6618.0,18352.2,,-6247.8,,-8589.0,-7848.0,-8576.4,-8201.9,-4871.0,False,,True,,False,False,False,False,True
Florida,517756,276240.0,314603.2,,319547.3,,163324.0,237972.5,227083.5,108406.5,154199.0,-241516.0,-203152.8,,-198208.7,,-354432.0,-279783.5,-290672.5,-409349.5,-363557.0,True,,True,,False,False,False,False,False
Georgia,280085,88280.0,160541.6,,96093.8,,76479.0,122881.7,86992.9,32590.7,81837.0,-191805.0,-119543.4,,-183991.2,,-203606.0,-157203.3,-193092.1,-247494.3,-198248.0,True,,True,,False,True,False,False,False
Hawaii,6130,5984.0,297.3,,4941.4,,,3386.1,5333.7,2547.4,2665.0,-146.0,-5832.7,,-1188.6,,,-2743.9,-796.3,-3582.6,-3465.0,False,,False,,,False,False,False,False
Idaho,69887,61632.0,38051.9,,50949.1,,62421.0,57632.0,89419.4,24361.0,15971.0,-8255.0,-31835.1,,-18937.9,,-7466.0,-12255.0,19532.4,-45526.0,-53916.0,False,,False,,True,False,False,False,False
Illinois,497374,491448.0,773830.8,,596535.3,,347635.0,388346.8,427700.9,208814.1,230546.0,-5926.0,276456.8,,99161.3,,-149739.0,-109027.2,-69673.1,-288559.9,-266828.0,False,,False,,False,False,False,False,False
Indiana,317368,210912.0,259991.1,,192472.3,,177344.0,158704.8,379017.1,179881.3,348167.0,-106456.0,-57376.9,,-124895.7,,-140024.0,-158663.2,61649.1,-137486.7,30799.0,True,,False,,False,False,True,False,True
Iowa,133641,173952.0,282270.2,,198965.0,,158310.0,94446.8,307657.3,71086.0,480766.0,40311.0,148629.2,,65324.0,,24669.0,-39194.2,174016.3,-62555.0,347125.0,False,,False,,True,True,False,False,False
Kansas,130500,95456.0,154937.5,,91773.9,,67241.0,43381.5,167345.2,43044.0,37511.0,-35044.0,24437.5,,-38726.1,,-63259.0,-87118.5,36845.2,-87456.0,-92989.0,True,,False,,False,False,False,False,False
Kentucky,154309,99536.0,115257.4,,88144.9,,82486.0,87706.3,202684.6,117883.3,108663.0,-54773.0,-39051.6,,-66164.1,,-71823.0,-66602.7,48375.6,-36425.7,-45646.0,True,,False,,False,False,True,True,True
Louisiana,123560,35400.0,27309.8,,35386.4,,36538.0,55954.0,32867.8,27733.6,19401.0,-88160.0,-96250.2,,-88173.6,,-87022.0,-67606.0,-90692.2,-95826.4,-104159.0,False,,False,,True,True,False,False,False
Maine,17645,7504.0,111372.2,,8549.2,,9362.0,3786.7,19782.6,4577.1,30388.0,-10141.0,93727.2,,-9095.8,,-8283.0,-13858.3,2137.6,-13067.9,12743.0,False,,True,,True,False,True,False,False
Maryland,130256,61072.0,67228.3,,69173.6,,39603.0,35217.4,49458.4,34010.7,54182.0,-69184.0,-63027.7,,-61082.4,,-90653.0,-95038.6,-80797.6,-96245.3,-76074.0,True,,True,,False,False,False,False,False
Massachusetts,214605,88000.0,66969.8,,91867.5,,97425.0,61058.9,55720.5,62529.5,64733.0,-126605.0,-147635.2,,-122737.5,,-117180.0,-153546.1,-158884.5,-152075.5,-149872.0,False,,True,,True,False,False,False,False
Michigan,309048,253336.0,358558.5,,338858.3,,252852.0,180363.0,344441.3,192039.9,446074.0,-55712.0,49510.5,,29810.3,,-56196.0,-128685.0,35393.3,-117008.1,137026.0,True,,True,,False,False,True,False,False
Minnesota,242878,211856.0,426519.4,,234341.6,,260179.0,122037.9,420561.1,79659.7,84000.0,-31022.0,183641.4,,-8536.4,,17301.0,-120840.1,177683.1,-163218.3,-158878.0,False,,True,,True,False,False,False,False
Mississippi,94392,45800.0,39991.4,,29131.3,,44590.0,54731.8,47722.3,38607.7,27649.0,-48592.0,-54400.6,,-65260.7,,-49802.0,-39660.2,-46669.7,-55784.3,-66743.0,False,,False,,False,True,True,False,False
Missouri,230661,183592.0,137950.6,,202053.5,,158932.0,124496.9,274476.0,89473.5,40868.0,-47069.0,-92710.4,,-28607.5,,-71729.0,-106164.1,43815.0,-141187.5,-189793.0,False,,True,,False,False,True,False,False
Montana,42996,49176.0,33163.0,,51767.9,,45715.0,57166.5,136104.9,13047.8,17434.0,6180.0,-9833.0,,8771.9,,2719.0,14170.5,93108.9,-29948.2,-25562.0,False,,False,,True,False,False,False,False
Nebraska,85867,93304.0,84899.0,,98049.9,,104212.0,70723.1,174932.0,92025.3,21966.0,7437.0,-968.0,,12182.9,,18345.0,-15143.9,89065.0,6158.3,-63901.0,True,,False,,False,False,False,True,False
Nevada,120125,63880.0,161831.5,,56362.3,,52635.0,42144.1,45224.2,22667.6,43203.0,-56245.0,41706.5,,-63762.7,,-67490.0,-77980.9,-74900.8,-97457.4,-76922.0,True,,False,,False,False,False,False,False
New Hampshire,34400,9256.0,12457.2,,10336.7,,12806.0,7399.6,22338.3,10115.3,13853.0,-25144.0,-21942.8,,-24063.3,,-21594.0,-27000.4,-12061.7,-24284.7,-20547.0,True,,True,,True,False,True,True,True
New Jersey,272464,117568.0,68545.8,,106587.5,,76895.0,80201.3,63592.9,93461.3,82833.0,-154896.0,-203918.2,,-165876.5,,-195569.0,-192262.7,-208871.1,-179002.7,-189631.0,False,,False,,False,False,False,False,False
New Mexico,91708,57448.0,61321.1,,48340.9,,54297.0,59639.4,95516.3,45248.9,25457.0,-34260.0,-30386.9,,-43367.1,,-37411.0,-32068.6,3808.3,-46459.1,-66251.0,True,,False,,False,True,True,False,False
New York,481447,144520.0,254757.3,,582974.4,,109662.0,80560.5,107081.1,73851.1,136897.0,-336927.0,-226689.7,,101527.4,,-371785.0,-400886.5,-374365.9,-407595.9,-344550.0,True,,True,,False,False,False,False,False
North Carolina,267192,132880.0,162099.0,,120292.3,,123762.0,133281.9,173903.4,144251.0,102835.0,-134312.0,-105093.0,,-146899.7,,-143430.0,-133910.1,-93288.6,-122941.0,-164357.0,True,,False,,False,True,True,True,False
North Dakota,39687,74304.0,72201.6,,65045.3,,71916.0,41494.1,139412.6,46750.7,42774.0,34617.0,32514.6,,25358.3,,32229.0,1807.1,99725.6,7063.7,3087.0,True,,True,,True,True,False,True,True
Ohio,468946,240240.0,489514.4,,224963.7,,251825.0,190944.9,274540.5,86021.5,157800.0,-228706.0,20568.4,,-243982.3,,-217121.0,-278001.1,-194405.5,-382924.5,-311146.0,True,,False,,True,False,True,False,False
Oklahoma,164304,71912.0,99704.8,,67255.6,,95146.0,81704.2,114126.5,40063.3,36452.0,-92392.0,-64599.2,,-97048.4,,-69158.0,-82599.8,-50177.5,-124240.7,-127852.0,True,,False,,True,True,True,False,False
Oregon,66761,37328.0,69429.9,,41767.3,,32291.0,21289.4,68597.1,14198.0,44177.0,-29433.0,2668.9,,-24993.7,,-34470.0,-45471.6,1836.1,-52563.0,-22584.0,True,,True,,False,False,True,False,True
Pennsylvania,428087,157616.0,235390.7,,166682.1,,149379.0,134242.5,199625.5,124159.1,123185.0,-270471.0,-192696.3,,-261404.9,,-278708.0,-293844.5,-228461.5,-303927.9,-304902.0,True,,True,,False,False,True,False,False
Rhode Island,51569,28048.0,23001.6,,33413.0,,28570.0,35270.9,21010.2,12994.0,8951.0,-23521.0,-28567.4,,-18156.0,,-22999.0,-16298.1,-30558.8,-38575.0,-42618.0,False,,True,,True,True,False,False,False
South Carolina,127976,65040.0,26263.1,,58117.5,,61468.0,59943.0,64635.2,24149.1,39366.0,-62936.0,-101712.9,,-69858.5,,-66508.0,-68033.0,-63340.8,-103826.9,-88610.0,False,,False,,False,False,False,False,False
South Dakota,45853,63872.0,73987.0,,61836.8,,78294.0,48490.9,127387.1,31641.6,4045.0,18019.0,28134.0,,15983.8,,32441.0,2637.9,81534.1,-14211.4,-41808.0,False,,True,,False,True,False,True,False
Tennessee,325917,140344.0,89997.8,,124180.5,,169140.0,187910.4,164626.7,121740.9,60798.0,-185573.0,-235919.2,,-201736.5,,-156777.0,-138006.6,-161290.3,-204176.1,-265119.0,False,,False,,True,True,True,False,False
Texas,769728,422400.0,600382.4,,423932.8,,427078.0,315702.3,617648.0,162604.6,384958.0,-347328.0,-169345.6,,-345795.2,,-342650.0,-454025.7,-152080.0,-607123.4,-384770.0,True,,True,,True,False,True,False,False
Utah,151419,124632.0,212426.7,,116045.7,,136055.0,96290.5,79307.8,136703.3,49903.0,-26787.0,61007.7,,-35373.3,,-15364.0,-55128.5,-72111.2,-14715.7,-101516.0,False,,False,,True,False,False,True,False
Vermont,5342,1344.0,44488.6,,152.8,,1275.0,985.6,13526.3,1047.1,1964.0,-3998.0,39146.6,,-5189.2,,-4067.0,-4356.4,8184.3,-4294.9,-3378.0,False,,False,,False,False,False,False,True
Virginia,167882,77464.0,18394.8,,80851.7,,56260.0,70080.8,147118.2,45384.9,77347.0,-90418.0,-149487.2,,-87030.3,,-111622.0,-97801.2,-20763.8,-122497.1,-90535.0,False,,True,,False,False,True,False,False
Washington,126531,68080.0,105904.6,,113349.2,,51012.0,32549.1,73926.2,49440.5,88749.0,-58451.0,-20626.4,,-13181.8,,-75519.0,-93981.9,-52604.8,-77090.5,-37782.0,True,,True,,False,False,True,False,True
West Virginia,61718,25192.0,46578.9,,26599.1,,27823.0,20202.5,115939.1,9496.2,11278.0,-36526.0,-15139.1,,-35118.9,,-33895.0,-41515.5,54221.1,-52221.8,-50440.0,True,,True,,True,False,False,False,False
Wisconsin,246149,302088.0,315089.7,,279572.6,,328304.0,324953.0,618477.7,451525.5,97516.0,55939.0,68940.7,,33423.6,,82155.0,78804.0,372328.7,205376.5,-148633.0,False,,True,,False,False,False,False,False
Wyoming,27976,26392.0,21008.3,,25025.9,,27374.0,19016.1,93691.8,35188.8,7938.0,-1584.0,-6967.7,,-2950.1,,-602.0,-8959.9,65715.8,7212.8,-20038.0,False,,False,,True,False,False,False,False
US,10580570,5817232.0,7960654.7,23187993.0,9802538.0,6439322.0,4750500.0,4674365.2,7681530.7,7907379.2,4090738.0,-4763338.0,-2619915.3,12607423.0,-778032.0,-4141248.0,-5830070.0,-5906204.8,-2899039.3,-2673190.8,-6489832.0,True,False,True,True,False,False,True,True,False
