,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,8370145.1,8339293,30852.1,0.4%
UCF-AEM,8082486.0,8339293,-256807.0,-3.1%
IowaStateLW-STEM,7771390.0,8339293,-567903.0,-6.8%
IBF-TimeSeries,7364874.0,8339293,-974419.0,-11.7%
COVIDhub-baseline,7107120.0,8339293,-1232173.0,-14.8%
LANL-GrowthRate,6928659.5,8339293,-1410633.5,-16.9%
CU-select,6903351.0,8339293,-1435942.0,-17.2%
JHU_IDD-CovidSP,6547748.7,8339293,-1791544.3,-21.5%
UCLA-SuEIR,10683428.6,8339293,2344135.6,28.1%
JCB-PRM,10841487.9,8339293,2502194.9,30.0%
USC-SI_kJalpha,5718644.0,8339293,-2620649.0,-31.4%
USACE-ERDC_SEIR,4328070.9,8339293,-4011222.1,-48.1%
OneQuietNight-ML,12464011.0,8339293,4124718.0,49.5%
CovidAnalytics-DELPHI,12576019.0,8339293,4236726.0,50.8%
JHUAPL-Bucky,15327778.9,8339293,6988485.9,83.8%
Columbia_UNC-SurvCon,16176002.0,8339293,7836709.0,94.0%
