,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1982,864.0,,,,,372.0,,769.1,459.5,1250.0,-1118.0,,,,,-1610.0,,-1212.9,-1522.5,-732.0,,,,,False,,False,False,True
01003,6729,1984.0,,,,,1121.0,,1908.3,865.4,0.0,-4745.0,,,,,-5608.0,,-4820.7,-5863.6,-6729.0,,,,,False,,False,False,False
01005,433,256.0,,,,,162.0,,181.1,351.0,90.0,-177.0,,,,,-271.0,,-251.9,-82.0,-343.0,,,,,False,,False,True,False
01007,929,408.0,,,,,167.0,,388.7,,480.0,-521.0,,,,,-762.0,,-540.3,,-449.0,,,,,False,,False,,True
01009,2427,1696.0,,,,,636.0,,2253.0,622.6,0.0,-731.0,,,,,-1791.0,,-174.0,-1804.4,-2427.0,,,,,False,,True,False,False
01011,229,80.0,,,,,74.0,,66.9,,0.0,-149.0,,,,,-155.0,,-162.1,,-229.0,,,,,False,,False,,False
01013,489,192.0,,,,,126.0,,116.3,172.6,69.0,-297.0,,,,,-363.0,,-372.7,-316.4,-420.0,,,,,False,,False,False,False
01015,4513,2336.0,,,,,1266.0,,2135.7,1387.2,0.0,-2177.0,,,,,-3247.0,,-2377.3,-3125.8,-4513.0,,,,,False,,False,False,False
01017,901,752.0,,,,,242.0,,647.6,567.9,2245.0,-149.0,,,,,-659.0,,-253.4,-333.1,1344.0,,,,,False,,False,False,False
01019,594,424.0,,,,,277.0,,645.0,,445.0,-170.0,,,,,-317.0,,51.0,,-149.0,,,,,False,,True,,True
01021,1010,504.0,,,,,374.0,,408.3,385.9,209.0,-506.0,,,,,-636.0,,-601.7,-624.1,-801.0,,,,,False,,False,False,False
01023,85,96.0,,,,,96.0,,39.3,,135.0,11.0,,,,,11.0,,-45.7,,50.0,,,,,False,,False,,False
01025,996,328.0,,,,,195.0,,219.8,265.3,9.0,-668.0,,,,,-801.0,,-776.2,-730.7,-987.0,,,,,False,,False,False,False
01027,344,320.0,,,,,118.0,,250.7,,299.0,-24.0,,,,,-226.0,,-93.3,,-45.0,,,,,False,,False,,False
01029,420,312.0,,,,,162.0,,279.1,,107.0,-108.0,,,,,-258.0,,-140.9,,-313.0,,,,,False,,False,,False
01031,1694,840.0,,,,,360.0,,577.9,552.2,309.0,-854.0,,,,,-1334.0,,-1116.1,-1141.8,-1385.0,,,,,False,,False,False,False
01033,2271,2392.0,,,,,858.0,,3418.7,1072.4,794.0,121.0,,,,,-1413.0,,1147.7,-1198.6,-1477.0,,,,,False,,False,False,False
01035,262,216.0,,,,,72.0,,146.0,,64.0,-46.0,,,,,-190.0,,-116.0,,-198.0,,,,,False,,False,,False
01037,285,104.0,,,,,69.0,,141.8,,44.0,-181.0,,,,,-216.0,,-143.2,,-241.0,,,,,False,,True,,False
01039,1011,440.0,,,,,315.0,,917.3,210.0,259.0,-571.0,,,,,-696.0,,-93.7,-801.0,-752.0,,,,,False,,True,False,False
01041,320,168.0,,,,,84.0,,148.0,,87.0,-152.0,,,,,-236.0,,-172.0,,-233.0,,,,,False,,False,,False
01043,4052,2872.0,,,,,1210.0,,4334.5,1072.2,634.0,-1180.0,,,,,-2842.0,,282.5,-2979.8,-3418.0,,,,,False,,True,False,False
01045,1363,968.0,,,,,364.0,,1169.2,423.4,396.0,-395.0,,,,,-999.0,,-193.8,-939.6,-967.0,,,,,False,,True,False,False
01047,848,600.0,,,,,244.0,,391.5,299.9,624.0,-248.0,,,,,-604.0,,-456.5,-548.1,-224.0,,,,,False,,False,False,True
01049,3115,1592.0,,,,,941.0,,1746.1,501.2,411.0,-1523.0,,,,,-2174.0,,-1368.9,-2613.8,-2704.0,,,,,False,,True,False,False
01051,3177,1032.0,,,,,519.0,,658.3,781.3,1110.0,-2145.0,,,,,-2658.0,,-2518.7,-2395.7,-2067.0,,,,,False,,False,False,True
01053,887,456.0,,,,,340.0,,325.9,256.4,631.0,-431.0,,,,,-547.0,,-561.1,-630.6,-256.0,,,,,False,,False,False,True
01055,5382,2728.0,,,,,1256.0,,2682.2,1495.4,679.0,-2654.0,,,,,-4126.0,,-2699.8,-3886.6,-4703.0,,,,,False,,False,False,False
01057,790,400.0,,,,,165.0,,263.1,,408.0,-390.0,,,,,-625.0,,-526.9,,-382.0,,,,,False,,False,,True
01059,1070,1000.0,,,,,551.0,,856.6,542.6,1959.0,-70.0,,,,,-519.0,,-213.4,-527.4,889.0,,,,,False,,False,False,False
01061,694,360.0,,,,,225.0,,459.7,,100.0,-334.0,,,,,-469.0,,-234.3,,-594.0,,,,,False,,True,,False
01063,322,56.0,,,,,52.0,,56.1,,67.0,-266.0,,,,,-270.0,,-265.9,,-255.0,,,,,False,,True,,True
01065,673,240.0,,,,,110.0,,240.3,,55.0,-433.0,,,,,-563.0,,-432.7,,-618.0,,,,,False,,True,,False
01067,507,256.0,,,,,105.0,,245.1,,66.0,-251.0,,,,,-402.0,,-261.9,,-441.0,,,,,False,,False,,False
01069,2969,1376.0,,,,,849.0,,1078.3,1076.9,321.0,-1593.0,,,,,-2120.0,,-1890.7,-1892.1,-2648.0,,,,,False,,False,False,False
01071,2744,1152.0,,,,,746.0,,1367.9,455.2,393.0,-1592.0,,,,,-1998.0,,-1376.1,-2288.8,-2351.0,,,,,False,,True,False,False
01073,27836,10736.0,,,,,5777.0,,8842.8,4741.6,5561.0,-17100.0,,,,,-22059.0,,-18993.2,-23094.4,-22275.0,,,,,False,,False,False,False
01075,517,184.0,,,,,163.0,,157.8,,54.0,-333.0,,,,,-354.0,,-359.2,,-463.0,,,,,False,,False,,False
01077,3691,3568.0,,,,,1491.0,,7694.2,1243.5,1404.0,-123.0,,,,,-2200.0,,4003.2,-2447.5,-2287.0,,,,,False,,False,False,False
01079,1100,632.0,,,,,454.0,,1024.3,,0.0,-468.0,,,,,-646.0,,-75.7,,-1100.0,,,,,False,,True,,False
01081,3608,1408.0,,,,,1098.0,,994.1,1210.7,1620.0,-2200.0,,,,,-2510.0,,-2613.9,-2397.3,-1988.0,,,,,False,,False,False,True
01083,3637,2240.0,,,,,1200.0,,2400.2,1001.6,1518.0,-1397.0,,,,,-2437.0,,-1236.8,-2635.4,-2119.0,,,,,False,,True,False,False
01085,212,152.0,,,,,52.0,,117.9,,0.0,-60.0,,,,,-160.0,,-94.1,,-212.0,,,,,False,,False,,False
01087,401,320.0,,,,,82.0,,420.5,,207.0,-81.0,,,,,-319.0,,19.5,,-194.0,,,,,False,,True,,False
01089,12773,4832.0,,,,,3321.0,,3993.4,2676.0,643.0,-7941.0,,,,,-9452.0,,-8779.6,-10097.0,-12130.0,,,,,False,,False,False,False
01091,727,232.0,,,,,173.0,,199.5,137.0,36.0,-495.0,,,,,-554.0,,-527.5,-590.0,-691.0,,,,,False,,False,False,False
01093,925,656.0,,,,,385.0,,640.7,325.3,385.0,-269.0,,,,,-540.0,,-284.3,-599.7,-540.0,,,,,False,,False,False,False
01095,4442,2176.0,,,,,1361.0,,1848.3,756.1,3184.0,-2266.0,,,,,-3081.0,,-2593.7,-3685.9,-1258.0,,,,,False,,False,False,True
01097,8653,3744.0,,,,,3348.0,,2785.4,1694.2,547.0,-4909.0,,,,,-5305.0,,-5867.6,-6958.8,-8106.0,,,,,False,,False,False,False
01099,539,192.0,,,,,130.0,,159.2,,117.0,-347.0,,,,,-409.0,,-379.8,,-422.0,,,,,False,,False,,False
01101,5238,3408.0,,,,,1378.0,,2812.2,1625.3,2265.0,-1830.0,,,,,-3860.0,,-2425.8,-3612.7,-2973.0,,,,,False,,False,False,False
01103,6040,2752.0,,,,,1552.0,,3397.5,943.8,814.0,-3288.0,,,,,-4488.0,,-2642.5,-5096.2,-5226.0,,,,,False,,True,False,False
01105,265,112.0,,,,,54.0,,85.0,,58.0,-153.0,,,,,-211.0,,-180.0,,-207.0,,,,,False,,False,,False
01107,769,600.0,,,,,179.0,,773.4,,135.0,-169.0,,,,,-590.0,,4.4,,-634.0,,,,,False,,True,,False
01109,608,368.0,,,,,233.0,,321.8,150.3,418.0,-240.0,,,,,-375.0,,-286.2,-457.7,-190.0,,,,,False,,False,False,True
01111,376,232.0,,,,,211.0,,221.4,,116.0,-144.0,,,,,-165.0,,-154.6,,-260.0,,,,,False,,False,,False
01113,825,144.0,,,,,383.0,,137.1,80.9,30.0,-681.0,,,,,-442.0,,-687.9,-744.1,-795.0,,,,,True,,False,False,False
01115,3233,1928.0,,,,,745.0,,2555.3,677.4,19.0,-1305.0,,,,,-2488.0,,-677.7,-2555.6,-3214.0,,,,,False,,True,False,False
