,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,OneQuietNight-ML,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-OneQuietNight-ML,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,124465,71425.0,66114.0,,76050.3,80929.0,,68383.0,105120.8,81743.4,48095.1,93137.0,81742.5,116241.0,,,54372.7,38751.9,59414.0,-53040.0,-58351.0,,-48414.7,-43536.0,,-56082.0,-19344.2,-42721.6,-76369.9,-31328.0,-42722.5,-8224.0,,,-70092.3,-85713.1,-65051.0,False,,True,True,,False,True,True,False,True,True,True,,,False,False,False
Alaska,16357,21100.0,12886.0,,18907.9,17779.0,,,30649.0,14037.6,5148.2,24621.6,19551.5,28024.0,,,26165.7,11293.0,17873.0,4743.0,-3471.0,,2550.9,1422.0,,,14292.0,-2319.4,-11208.8,8264.6,3194.5,11667.0,,,9808.7,-5064.0,1516.0,True,,True,True,,,False,True,False,False,True,False,,,False,False,True
Arizona,216376,137200.0,137521.0,,132618.7,373596.0,,127623.0,194935.0,300988.7,149653.1,306918.5,177510.0,174351.0,,,123750.0,79023.9,112902.0,-79176.0,-78855.0,,-83757.3,157220.0,,-88753.0,-21441.0,84612.7,-66722.9,90542.5,-38866.0,-42025.0,,,-92626.0,-137352.1,-103474.0,True,,False,False,,False,True,False,True,False,True,True,,,False,False,False
Arkansas,76416,56025.0,49575.0,,54757.9,75913.0,,72296.0,95358.0,52746.7,38898.8,110366.1,51808.0,83482.0,,,62188.9,22299.5,42153.0,-20391.0,-26841.0,,-21658.1,-503.0,,-4120.0,18942.0,-23669.3,-37517.2,33950.1,-24608.0,7066.0,,,-14227.1,-54116.5,-34263.0,False,,False,True,,True,True,False,False,False,False,True,,,True,False,False
California,1187933,475945.0,493275.0,,500118.8,854323.0,,471342.0,725976.1,1073802.7,542254.8,1156500.3,619775.5,649114.0,,,635247.0,451492.1,350553.0,-711988.0,-694658.0,,-687814.2,-333610.0,,-716591.0,-461956.9,-114130.3,-645678.2,-31432.7,-568157.5,-538819.0,,,-552686.0,-736440.9,-837380.0,True,,True,True,,False,True,True,True,True,True,True,,,True,False,False
Colorado,113889,153020.0,98468.0,,141907.4,213509.0,,145631.0,278310.3,152486.4,111048.5,114612.6,130260.5,175228.0,,,168567.0,61926.3,102952.0,39131.0,-15421.0,,28018.4,99620.0,,31742.0,164421.3,38597.4,-2840.5,723.6,16371.5,61339.0,,,54678.0,-51962.7,-10937.0,True,,True,False,,True,False,True,True,True,True,False,,,False,False,True
Connecticut,77539,55560.0,35670.0,,55099.4,84623.0,,55282.0,95416.4,57562.2,73438.3,177115.0,72294.5,73441.0,,,70715.5,13764.3,25294.0,-21979.0,-41869.0,,-22439.6,7084.0,,-22257.0,17877.4,-19976.8,-4100.7,99576.0,-5244.5,-4098.0,,,-6823.5,-63774.7,-52245.0,False,,False,True,,False,True,True,True,False,True,True,,,True,False,False
Delaware,24203,16745.0,17722.0,,15100.4,29447.0,,16767.0,22974.7,22272.7,13877.0,39818.5,20609.5,23862.0,,,19257.8,14194.9,16411.0,-7458.0,-6481.0,,-9102.6,5244.0,,-7436.0,-1228.3,-1930.3,-10326.0,15615.5,-3593.5,-341.0,,,-4945.2,-10008.1,-7792.0,True,,False,True,,True,True,True,False,False,True,True,,,True,False,False
District of Columbia,8201,5385.0,4662.0,,5125.3,8531.0,,6524.0,8711.1,6172.6,8144.4,12798.0,7754.0,3301.0,,,3541.6,10113.9,3775.0,-2816.0,-3539.0,,-3075.7,330.0,,-1677.0,510.1,-2028.4,-56.6,4597.0,-447.0,-4900.0,,,-4659.4,1912.9,-4426.0,False,,False,True,,True,True,True,True,False,True,False,,,False,True,False
Florida,369536,267350.0,262914.0,,238374.2,582802.0,,248473.0,379870.9,355231.4,318431.8,547656.9,363783.0,369181.0,,,322646.7,205529.5,156706.0,-102186.0,-106622.0,,-131161.8,213266.0,,-121063.0,10334.9,-14304.6,-51104.2,178120.9,-5753.0,-355.0,,,-46889.3,-164006.5,-212830.0,False,,False,False,,False,True,True,True,False,True,True,,,True,False,False
