,mean_rank
OneQuietNight-ML,9.9
LNQ-ens1,10.6
CU-select,10.7
COVIDhub-ensemble,11.3
LANL-GrowthRate,11.5
DDS-NBDS,12.2
COVIDhub-baseline,12.5
CEID-Walk,12.6
Microsoft-DeepSTIA,13.4
USC-SI_kJalpha,13.6
JHU_IDD-CovidSP,13.8
JHU_UNC_GAS-StatMechPool,14.0
UCLA-SuEIR,14.2
Covid19Sim-Simulator,14.4
RobertWalraven-ESG,14.7
OliverWyman-Navigator,14.8
JHU_CSSE-DECOM,14.9
Wadhwani_AI-BayesOpt,15.6
IowaStateLW-STEM,16.8
JHUAPL-Bucky,17.2
IQVIA_ACOE-STAN,17.8
Google_Harvard-CPF,17.9
CovidAnalytics-DELPHI,18.1
Karlen-pypm,19.1
BPagano-RtDriven,19.1
TTU-squider,19.3
JCB-PRM,19.6
IEM_MED-CovidProject,19.6
UVA-Ensemble,21.7
UCSB-ACTS,24.0
