,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1671,972.0,984.0,,,,,953.0,,1268.4,634.8,1155.0,1580.0,,493.4,,,-699.0,-687.0,,,,,-718.0,,-402.6,-1036.2,-516.0,-91.0,,-1177.6,,,True,,,,,False,,True,False,True,True,,False,,
01003,5824,3210.0,5337.0,,,,,2513.0,,3863.1,2180.4,4505.0,5394.0,,1519.7,,,-2614.0,-487.0,,,,,-3311.0,,-1960.9,-3643.6,-1319.0,-430.0,,-4304.3,,,True,,,,,False,,True,False,True,True,,False,,
01005,371,204.0,129.0,,,,,360.0,,39.0,163.4,167.0,549.0,,113.8,,,-167.0,-242.0,,,,,-11.0,,-332.0,-207.6,-204.0,178.0,,-257.2,,,False,,,,,True,,False,False,False,False,,False,,
01007,827,348.0,295.0,,,,,428.0,,135.0,242.4,542.5,639.0,,,,,-479.0,-532.0,,,,,-399.0,,-692.0,-584.6,-284.5,-188.0,,,,,False,,,,,True,,False,False,True,True,,,,
01009,1994,1302.0,1659.0,,,,,1199.0,,1422.7,726.7,1255.0,1868.0,,388.1,,,-692.0,-335.0,,,,,-795.0,,-571.3,-1267.3,-739.0,-126.0,,-1605.9,,,True,,,,,False,,True,False,False,True,,False,,
01011,205,78.0,0.0,,,,,148.0,,31.0,58.4,49.0,221.0,,,,,-127.0,-205.0,,,,,-57.0,,-174.0,-146.6,-156.0,16.0,,,,,False,,,,,True,,False,False,False,True,,,,
01013,408,342.0,13.0,,,,,274.0,,513.3,173.0,339.0,594.0,,178.8,,,-66.0,-395.0,,,,,-134.0,,105.3,-235.0,-69.0,186.0,,-229.2,,,False,,,,,False,,False,False,False,False,,False,,
01015,3768,2724.0,7774.0,,,,,2231.0,,7164.6,1587.4,2345.5,4058.0,,1494.3,,,-1044.0,4006.0,,,,,-1537.0,,3396.6,-2180.6,-1422.5,290.0,,-2273.7,,,False,,,,,False,,False,False,False,True,,False,,
01017,717,678.0,730.0,,,,,495.0,,1589.0,363.1,1045.5,1166.0,,289.5,,,-39.0,13.0,,,,,-222.0,,872.0,-353.9,328.5,449.0,,-427.5,,,True,,,,,False,,False,False,False,False,,False,,
01019,456,486.0,424.0,,,,,524.0,,533.9,264.8,435.0,851.0,,,,,30.0,-32.0,,,,,68.0,,77.9,-191.2,-21.0,395.0,,,,,False,,,,,False,,False,False,True,False,,,,
