,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,570,880.0,,899.7,,756.0,589.0,,,,,597.1,667.2,,,585.0,,1027.9,404.5,744.0,,980.0,817.4,,1024.0,813.0,686.9,,,,,742.0,848.9,,,,928.8,310.0,,329.7,,186.0,19.0,,,,,27.1,97.2,,,15.0,,457.9,-165.5,174.0,,410.0,247.4,,454.0,243.0,116.9,,,,,172.0,278.9,,,,358.8,,False,,True,True,,,,,True,True,,,True,,False,True,True,,False,True,,False,True,True,,,,,True,True,,,,False
01003,2233,2114.0,,2112.9,,2038.0,1962.0,,,,,1800.9,2096.4,,,1509.0,,2286.8,1253.5,2325.0,,2105.0,2013.1,,2866.0,2254.0,2058.6,,,,,1856.6,1651.0,1438.0,,,3227.0,-119.0,,-120.1,,-195.0,-271.0,,,,,-432.1,-136.6,,,-724.0,,53.8,-979.5,92.0,,-128.0,-219.9,,633.0,21.0,-174.4,,,,,-376.4,-582.0,-795.0,,,994.0,,False,,False,False,,,,,False,False,,,False,,True,False,True,,False,False,,False,True,False,,,,,False,False,False,,,False
01005,198,122.0,,115.4,,125.0,91.0,,,,,130.1,136.0,,,199.0,,101.7,70.0,,,131.0,132.8,,144.0,159.0,115.0,,,,,,154.7,,,,122.7,-76.0,,-82.6,,-73.0,-107.0,,,,,-67.9,-62.0,,,1.0,,-96.3,-128.0,,,-67.0,-65.2,,-54.0,-39.0,-83.0,,,,,,-43.3,,,,-75.3,,False,,True,False,,,,,True,True,,,True,,False,False,,,True,True,,True,True,False,,,,,,True,,,,True
01007,262,368.0,,352.7,,301.0,175.0,,,,,255.4,273.9,,,233.0,,716.4,167.3,,,350.0,288.0,,435.0,338.0,280.3,,,,,,319.7,,,,693.2,106.0,,90.7,,39.0,-87.0,,,,,-6.6,11.9,,,-29.0,,454.4,-94.7,,,88.0,26.0,,173.0,76.0,18.3,,,,,,57.7,,,,431.2,,True,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,False,True,True,,,,,,True,,,,False
01009,538,894.0,,891.9,,840.0,740.0,,,,,611.9,814.4,,,750.0,,970.0,475.2,915.0,,1026.0,862.2,,1169.0,862.0,737.7,,,,,768.4,542.3,,,,1474.1,356.0,,353.9,,302.0,202.0,,,,,73.9,276.4,,,212.0,,432.0,-62.8,377.0,,488.0,324.2,,631.0,324.0,199.7,,,,,230.4,4.3,,,,936.1,,True,,True,True,,,,,True,True,,,True,,False,True,False,,False,True,,False,True,True,,,,,True,True,,,,False
01011,140,54.0,,52.2,,50.0,0.0,,,,,66.9,54.4,,,80.0,,25.4,26.9,,,46.0,52.6,,65.0,74.0,61.4,,,,,,61.6,,,,42.7,-86.0,,-87.8,,-90.0,-140.0,,,,,-73.1,-85.6,,,-60.0,,-114.6,-113.1,,,-94.0,-87.4,,-75.0,-66.0,-78.6,,,,,,-78.4,,,,-97.3,,False,,False,False,,,,,True,True,,,True,,False,False,,,False,False,,True,True,True,,,,,,True,,,,False
01013,139,174.0,,180.6,,164.0,17.0,,,,,164.6,129.9,,,158.0,,179.7,116.4,,,166.0,154.1,,220.0,198.0,163.8,,,,,,166.1,,,,217.4,35.0,,41.6,,25.0,-122.0,,,,,25.6,-9.1,,,19.0,,40.7,-22.6,,,27.0,15.1,,81.0,59.0,24.8,,,,,,27.1,,,,78.4,,False,,True,False,,,,,True,True,,,True,,False,True,,,True,True,,False,False,True,,,,,,True,,,,False
01015,1098,1668.0,,1645.5,,1481.0,1401.0,,,,,1203.7,1763.8,,,1341.0,,893.9,829.1,1528.0,,1853.0,1613.6,,2031.0,1620.0,1349.7,,,,,1430.8,1379.2,,,,1302.4,570.0,,547.5,,383.0,303.0,,,,,105.7,665.8,,,243.0,,-204.1,-268.9,430.0,,755.0,515.6,,933.0,522.0,251.7,,,,,332.8,281.2,,,,204.4,,True,,True,True,,,,,True,False,,,True,,True,True,True,,False,True,,False,True,True,,,,,True,True,,,,True
01017,270,238.0,,235.5,,238.0,269.0,,,,,223.4,268.5,,,299.0,,119.2,150.6,234.0,,197.5,224.7,,251.0,269.0,194.1,,,,,,215.8,,,,199.9,-32.0,,-34.5,,-32.0,-1.0,,,,,-46.6,-1.5,,,29.0,,-150.8,-119.4,-36.0,,-72.5,-45.3,,-19.0,-1.0,-75.9,,,,,,-54.2,,,,-70.1,,False,,False,True,,,,,False,True,,,True,,False,False,False,,False,False,,True,True,False,,,,,,False,,,,False
01019,157,182.0,,177.4,,191.0,168.0,,,,,165.1,170.0,,,299.0,,159.7,106.8,,,199.0,206.9,,237.0,233.0,216.0,,,,,,157.3,,,,168.8,25.0,,20.4,,34.0,11.0,,,,,8.1,13.0,,,142.0,,2.7,-50.2,,,42.0,49.9,,80.0,76.0,59.0,,,,,,0.3,,,,11.8,,True,,False,True,,,,,True,True,,,False,,True,False,,,False,False,,False,False,False,,,,,,True,,,,True
