,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,9811754.8,9544671,267083.8,2.8%
JCB-PRM,9859937.9,9544671,315266.9,3.3%
BPagano-RtDriven,10083805.6,9544671,539134.6,5.6%
IBF-TimeSeries,7575903.0,9544671,-1968768.0,-20.6%
COVIDhub-baseline,7124670.0,9544671,-2420001.0,-25.4%
IowaStateLW-STEM,7118174.0,9544671,-2426497.0,-25.4%
CovidAnalytics-DELPHI,6557066.0,9544671,-2987605.0,-31.3%
UCF-AEM,6491700.0,9544671,-3052971.0,-32.0%
USACE-ERDC_SEIR,5505274.0,9544671,-4039397.0,-42.3%
USC-SI_kJalpha,3577192.0,9544671,-5967479.0,-62.5%
JHUAPL-Bucky,18769561.1,9544671,9224890.1,96.6%
Columbia_UNC-SurvCon,34656089.0,9544671,25111418.0,263.1%
