,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,49554,54126.0,45228.5,52476.7,57279.0,49523.0,,56827.9,61327.0,52688.4,72981.2,,63128.6,57581.0,65458.7,55145.2,54045.0,30959.8,56267.5,80175.7,58197.0,55678.8,59330.9,66282.0,57571.0,,63659.1,64072.8,,57253.8,60039.5,44208.3,64013.8,56594.0,72418.2,83216.5,4572.0,-4325.5,2922.7,7725.0,-31.0,,7273.9,11773.0,3134.4,23427.2,,13574.6,8027.0,15904.7,5591.2,4491.0,-18594.2,6713.5,30621.7,8643.0,6124.8,9776.9,16728.0,8017.0,,14105.1,14518.8,,7699.8,10485.5,-5345.7,14459.8,7040.0,22864.2,33662.5,True,True,False,True,,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Alaska,4113,6382.0,5796.1,6158.6,5447.0,5408.0,,7039.8,5713.0,5812.0,7948.6,,4523.8,,9048.6,5444.1,6265.0,4116.0,2592.0,5185.5,3155.5,4362.5,7225.0,7074.0,5573.0,,4101.8,7374.4,,4479.4,10444.9,5234.7,6769.4,5277.0,7499.3,9110.1,2269.0,1683.1,2045.6,1334.0,1295.0,,2926.8,1600.0,1699.0,3835.6,,410.8,,4935.6,1331.1,2152.0,3.0,-1521.0,1072.5,-957.5,249.5,3112.0,2961.0,1460.0,,-11.2,3261.4,,366.4,6331.9,1121.7,2656.4,1164.0,3386.3,4997.1,True,True,True,True,,False,True,True,False,,True,,False,True,True,True,True,True,True,True,False,False,True,,True,False,,True,False,True,False,True,False,False
Arizona,90919,91284.0,134452.5,90542.5,96034.0,95484.0,,106378.5,98786.0,95558.8,121646.6,,106152.8,92708.0,105766.6,118042.9,91678.0,85583.0,98509.0,111682.5,74919.0,82343.8,94658.3,107881.0,97450.0,,94444.8,138424.2,,77007.0,105406.0,69886.8,92583.6,97255.0,131455.3,154757.6,365.0,43533.5,-376.5,5115.0,4565.0,,15459.5,7867.0,4639.8,30727.6,,15233.8,1789.0,14847.6,27123.9,759.0,-5336.0,7590.0,20763.5,-16000.0,-8575.2,3739.3,16962.0,6531.0,,3525.8,47505.2,,-13912.0,14487.0,-21032.2,1664.6,6336.0,40536.3,63838.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Arkansas,31328,31724.0,39207.5,31857.8,32198.0,28001.0,,31902.4,30452.0,27836.3,42209.0,,36406.3,36747.0,38512.5,25014.3,33593.0,19212.2,31412.5,33153.9,30249.5,30691.3,31295.3,37524.0,32194.0,,34669.8,27534.5,,32077.5,33725.3,26393.1,36502.4,34242.0,39519.9,37955.8,396.0,7879.5,529.8,870.0,-3327.0,,574.4,-876.0,-3491.7,10881.0,,5078.3,5419.0,7184.5,-6313.7,2265.0,-12115.8,84.5,1825.9,-1078.5,-636.7,-32.7,6196.0,866.0,,3341.8,-3793.5,,749.5,2397.3,-4934.9,5174.4,2914.0,8191.9,6627.8,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,False,False,False,False,False,False
California,545365,586762.0,787723.9,588408.6,684608.0,637279.0,,640892.2,897430.0,565366.3,945172.0,,942927.3,549825.0,741512.1,916964.3,,365162.0,414500.5,885052.1,886788.5,701903.1,598772.8,658011.0,648235.0,,698634.1,461500.7,,601426.3,532139.8,490367.2,952039.6,681397.0,1178096.5,,41397.0,242358.9,43043.6,139243.0,91914.0,,95527.2,352065.0,20001.3,399807.0,,397562.3,4460.0,196147.1,371599.3,,-180203.0,-130864.5,339687.1,341423.5,156538.1,53407.8,112646.0,102870.0,,153269.1,-83864.3,,56061.3,-13225.2,-54997.8,406674.6,136032.0,632731.5,,False,False,False,False,,False,False,True,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False,
Colorado,32574,41928.0,55435.8,41822.2,35816.0,30373.0,,43386.1,27174.0,34827.0,55298.4,,34230.1,44451.0,60716.0,24731.9,40819.0,35538.3,34850.5,39193.1,29681.5,34607.4,41558.0,47952.0,30828.0,,32467.1,35911.6,,36718.1,63034.5,39685.9,19246.9,37284.0,55957.1,46002.5,9354.0,22861.8,9248.2,3242.0,-2201.0,,10812.1,-5400.0,2253.0,22724.4,,1656.1,11877.0,28142.0,-7842.1,8245.0,2964.3,2276.5,6619.1,-2892.5,2033.4,8984.0,15378.0,-1746.0,,-106.9,3337.6,,4144.1,30460.5,7111.9,-13327.1,4710.0,23383.1,13428.5,False,True,True,True,,False,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,True,False,True,False,True,False,False
Connecticut,27338,32042.0,28146.6,29458.5,31229.0,30885.0,,34986.1,33974.0,130383.0,42231.2,,36435.5,31743.0,41382.5,30280.2,37018.0,35242.3,29880.5,31668.1,30034.0,28861.1,40624.9,31329.0,30716.0,,24060.2,45006.6,,29311.4,42240.4,27709.6,45901.5,22720.0,40152.9,57559.0,4704.0,808.6,2120.5,3891.0,3547.0,,7648.1,6636.0,103045.0,14893.2,,9097.5,4405.0,14044.5,2942.2,9680.0,7904.3,2542.5,4330.1,2696.0,1523.1,13286.9,3991.0,3378.0,,-3277.8,17668.6,,1973.4,14902.4,371.6,18563.5,-4618.0,12814.9,30221.0,True,True,True,True,,False,False,False,False,,False,True,False,True,False,False,True,True,True,True,False,True,True,,True,False,,True,False,True,False,True,False,False
Delaware,8737,10520.0,15888.7,10173.9,11721.0,8893.0,,12059.9,12185.0,11594.1,15363.3,,11278.9,11688.0,14728.6,11253.2,12320.0,7786.2,11538.5,17745.4,11652.0,9301.9,13953.0,12996.0,10749.0,,10371.1,15671.8,,11623.6,12555.0,9445.3,11931.8,10399.0,12516.0,19294.8,1783.0,7151.7,1436.9,2984.0,156.0,,3322.9,3448.0,2857.1,6626.3,,2541.9,2951.0,5991.6,2516.2,3583.0,-950.8,2801.5,9008.4,2915.0,564.9,5216.0,4259.0,2012.0,,1634.1,6934.8,,2886.6,3818.0,708.3,3194.8,1662.0,3779.0,10557.8,False,True,False,True,,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,,True,False,,False,False,True,False,True,False,False
District of Columbia,3167,3398.0,3559.8,3408.1,3534.0,3030.0,,3645.1,4628.0,3610.8,4989.6,,3738.2,3404.0,4334.4,3085.7,3990.0,4059.2,3448.5,5097.2,3859.0,3339.4,,4077.0,2902.0,,3646.3,5673.9,,3441.0,4079.8,2758.4,,3327.0,4970.0,5607.6,231.0,392.8,241.1,367.0,-137.0,,478.1,1461.0,443.8,1822.6,,571.2,237.0,1167.4,-81.3,823.0,892.2,281.5,1930.2,692.0,172.4,,910.0,-265.0,,479.3,2506.9,,274.0,912.8,-408.6,,160.0,1803.0,2440.6,False,False,False,True,,False,False,False,False,,False,False,False,True,False,False,False,False,False,True,,False,False,,False,False,,False,False,False,,True,False,False
Florida,161668,152384.0,137076.6,152107.6,153714.0,158505.0,,152816.8,170583.0,153467.5,212554.9,,172197.5,142616.0,162101.3,127766.6,140087.0,135655.2,145771.0,197683.0,148199.0,154017.1,158642.1,178650.0,176469.0,,162247.2,150101.3,,158238.4,148954.1,145500.2,157212.1,147831.0,191684.8,,-9284.0,-24591.4,-9560.4,-7954.0,-3163.0,,-8851.2,8915.0,-8200.5,50886.9,,10529.5,-19052.0,433.3,-33901.4,-21581.0,-26012.8,-15897.0,36015.0,-13469.0,-7650.9,-3025.9,16982.0,14801.0,,579.2,-11566.7,,-3429.6,-12713.9,-16167.8,-4455.9,-13837.0,30016.8,,False,False,True,True,,True,True,True,False,,False,False,True,False,False,False,False,False,False,True,True,False,False,,True,False,,True,False,False,True,False,False,
