,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,OneQuietNight-ML,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-OneQuietNight-ML,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1533,690.0,493.0,,,,,700.0,,424.6,449.6,,551.0,1134.0,,,773.4,,,-843.0,-1040.0,,,,,-833.0,,-1108.4,-1083.4,,-982.0,-399.0,,,-759.6,,,False,,,,,True,,False,False,,False,True,,,True,,
01003,5222,3010.0,3616.0,,,,,1857.0,,5361.3,2077.9,,4278.0,4771.0,,,2569.9,,,-2212.0,-1606.0,,,,,-3365.0,,139.3,-3144.1,,-944.0,-451.0,,,-2652.1,,,True,,,,,False,,True,False,,True,True,,,False,,
01005,355,80.0,86.0,,,,,265.0,,100.4,125.1,,39.0,199.0,,,,,,-275.0,-269.0,,,,,-90.0,,-254.6,-229.9,,-316.0,-156.0,,,,,,True,,,,,True,,True,True,,False,True,,,,,
01007,684,715.0,558.0,,,,,343.0,,2687.9,243.3,,226.0,717.0,,,,,,31.0,-126.0,,,,,-341.0,,2003.9,-440.7,,-458.0,33.0,,,,,,False,,,,,False,,False,False,,False,False,,,,,
01009,1807,935.0,736.0,,,,,984.0,,561.1,670.2,,827.0,1430.0,,,1047.5,,,-872.0,-1071.0,,,,,-823.0,,-1245.9,-1136.8,,-980.0,-377.0,,,-759.5,,,False,,,,,True,,False,False,,False,True,,,True,,
01011,197,40.0,28.0,,,,,100.0,,35.7,42.7,,26.0,143.0,,,,,,-157.0,-169.0,,,,,-97.0,,-161.3,-154.3,,-171.0,-54.0,,,,,,False,,,,,True,,False,True,,False,True,,,,,
01013,375,165.0,77.0,,,,,189.0,,279.4,150.6,,233.0,305.0,,,,,,-210.0,-298.0,,,,,-186.0,,-95.6,-224.4,,-142.0,-70.0,,,,,,False,,,,,True,,True,False,,True,True,,,,,
01015,3391,1885.0,2050.0,,,,,1817.0,,996.5,977.3,,2061.0,2768.0,,,1808.3,,,-1506.0,-1341.0,,,,,-1574.0,,-2394.5,-2413.7,,-1330.0,-623.0,,,-1582.7,,,True,,,,,False,,False,False,,True,True,,,False,,
01017,618,495.0,524.0,,,,,381.0,,868.9,319.1,,381.0,601.0,,,,,,-123.0,-94.0,,,,,-237.0,,250.9,-298.9,,-237.0,-17.0,,,,,,True,,,,,False,,False,False,,False,True,,,,,
01019,413,215.0,326.0,,,,,391.0,,358.6,231.8,,211.0,468.0,,,,,,-198.0,-87.0,,,,,-22.0,,-54.4,-181.2,,-202.0,55.0,,,,,,True,,,,,True,,True,True,,False,True,,,,,
01021,785,450.0,382.0,,,,,591.0,,534.9,352.1,,478.0,912.0,,,334.2,,,-335.0,-403.0,,,,,-194.0,,-250.1,-432.9,,-307.0,127.0,,,-450.8,,,False,,,,,True,,True,False,,True,True,,,False,,
01023,70,30.0,18.0,,,,,140.0,,23.8,29.6,,38.0,199.0,,,,,,-40.0,-52.0,,,,,70.0,,-46.2,-40.4,,-32.0,129.0,,,,,,False,,,,,False,,False,False,,True,False,,,,,
