,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1289,976.0,,1014.4,,775.0,744.0,,,,,520.9,,,733.0,,860.7,,497.4,616.0,,839.0,1067.3,,,1259.0,61.3,,,,,608.2,,,,1217.7,-313.0,,-274.6,,-514.0,-545.0,,,,,-768.1,,,-556.0,,-428.3,,-791.6,-673.0,,-450.0,-221.7,,,-30.0,-1227.7,,,,,-680.8,,,,-71.3,,True,,False,False,,,,,False,,,False,,False,,False,False,,False,True,,,True,False,,,,,False,,,,True
01003,4329,3572.0,,3581.9,,3708.0,4903.0,,,,,4305.2,,,1947.0,,5727.8,,1702.9,2606.0,,4896.5,3852.8,,,4857.0,353.1,,,,,2833.1,4276.0,,,4945.6,-757.0,,-747.1,,-621.0,574.0,,,,,-23.8,,,-2382.0,,1398.8,,-2626.1,-1723.0,,567.5,-476.2,,,528.0,-3975.9,,,,,-1495.9,-53.0,,,616.6,,True,,True,True,,,,,True,,,False,,False,,False,False,,True,True,,,True,False,,,,,False,True,,,True
01005,309,184.0,,168.9,,174.0,97.0,,,,,96.4,,,262.0,,227.2,,114.3,,,127.0,191.4,,,327.0,21.6,,,,,,,,,204.3,-125.0,,-140.1,,-135.0,-212.0,,,,,-212.6,,,-47.0,,-81.8,,-194.7,,,-182.0,-117.6,,,18.0,-287.4,,,,,,,,,-104.7,,False,,False,False,,,,,False,,,True,,True,,False,,,False,True,,,True,False,,,,,,,,,True
01007,580,416.0,,402.9,,352.0,258.0,,,,,197.8,,,312.0,,575.5,,219.6,,,286.0,384.9,,,599.0,45.0,,,,,,,,,407.8,-164.0,,-177.1,,-228.0,-322.0,,,,,-382.2,,,-268.0,,-4.5,,-360.4,,,-294.0,-195.1,,,19.0,-535.0,,,,,,,,,-172.2,,False,,False,False,,,,,False,,,False,,True,,False,,,False,False,,,True,False,,,,,,,,,False
01009,1448,1436.0,,1391.3,,1191.0,1199.0,,,,,800.4,,,998.0,,1283.6,,603.7,939.5,,1142.0,1351.5,,,1609.0,110.4,,,,,914.8,,,,1364.0,-12.0,,-56.7,,-257.0,-249.0,,,,,-647.6,,,-450.0,,-164.4,,-844.3,-508.5,,-306.0,-96.5,,,161.0,-1337.6,,,,,-533.2,,,,-84.0,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,,,False,False,,,,,False,,,,False
01011,179,68.0,,65.8,,68.0,0.0,,,,,40.6,,,106.0,,76.7,,31.9,,,31.0,73.5,,,164.0,6.8,,,,,,,,,105.5,-111.0,,-113.2,,-111.0,-179.0,,,,,-138.4,,,-73.0,,-102.3,,-147.2,,,-148.0,-105.5,,,-15.0,-172.2,,,,,,,,,-73.5,,False,,False,False,,,,,False,,,True,,True,,False,,,False,True,,,True,False,,,,,,,,,True
01013,315,240.0,,259.9,,230.0,20.0,,,,,174.1,,,215.0,,172.3,,113.5,,,236.0,291.8,,,384.0,13.9,,,,,,,,,240.8,-75.0,,-55.1,,-85.0,-295.0,,,,,-140.9,,,-100.0,,-142.7,,-201.5,,,-79.0,-23.2,,,69.0,-301.1,,,,,,,,,-74.2,,True,,False,False,,,,,False,,,False,,False,,False,,,False,True,,,True,False,,,,,,,,,True
01015,2665,2904.0,,2753.5,,2810.0,4242.0,,,,,1386.5,,,1841.0,,3358.8,,1082.5,1556.0,,3023.0,2888.4,,,3349.0,261.1,,,,,2058.6,,,,3876.0,239.0,,88.5,,145.0,1577.0,,,,,-1278.5,,,-824.0,,693.8,,-1582.5,-1109.0,,358.0,223.4,,,684.0,-2403.9,,,,,-606.4,,,,1211.0,,True,,True,False,,,,,False,,,False,,False,,False,False,,False,True,,,False,False,,,,,False,,,,False
01017,485,532.0,,540.7,,459.0,541.0,,,,,271.0,,,403.0,,523.6,,303.4,381.0,,359.0,473.1,,,670.0,38.6,,,,,,,,,474.1,47.0,,55.7,,-26.0,56.0,,,,,-214.0,,,-82.0,,38.6,,-181.6,-104.0,,-126.0,-11.9,,,185.0,-446.4,,,,,,,,,-10.9,,False,,True,False,,,,,False,,,False,,True,,False,False,,False,True,,,False,False,,,,,,,,,True
01019,345,272.0,,242.8,,222.0,207.0,,,,,180.0,,,399.0,,155.9,,153.1,,,208.0,295.0,,,506.0,15.5,,,,,,,,,158.3,-73.0,,-102.2,,-123.0,-138.0,,,,,-165.0,,,54.0,,-189.1,,-191.9,,,-137.0,-50.0,,,161.0,-329.5,,,,,,,,,-186.7,,False,,False,False,,,,,False,,,True,,False,,False,,,False,True,,,False,False,,,,,,,,,False
