,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,9802538.0,10580570,-778032.0,-7.4%
BPagano-RtDriven,7960654.7,10580570,-2619915.3,-24.8%
UCLA-SuEIR,7907379.2,10580570,-2673190.8,-25.3%
JHUAPL-Bucky,7681530.7,10580570,-2899039.3,-27.4%
IBF-TimeSeries,6439322.0,10580570,-4141248.0,-39.1%
COVIDhub-baseline,5817232.0,10580570,-4763338.0,-45.0%
IowaStateLW-STEM,4750500.0,10580570,-5830070.0,-55.1%
JCB-PRM,4674365.2,10580570,-5906204.8,-55.8%
USC-SI_kJalpha,4090738.0,10580570,-6489832.0,-61.3%
Columbia_UNC-SurvCon,23187993.0,10580570,12607423.0,119.2%
