,mean_rank
LANL-GrowthRate,9.4
LNQ-ens1,10.0
COVIDhub-ensemble,10.3
USC-SI_kJalpha,10.4
Microsoft-DeepSTIA,12.5
CU-select,12.7
MSRA-DeepST,13.0
CEID-Walk,13.0
COVIDhub-baseline,13.1
JHU_UNC_GAS-StatMechPool,13.6
IowaStateLW-STEM,13.9
JHUAPL-Bucky,14.0
JHU_CSSE-DECOM,14.3
JHU_IDD-CovidSP,14.7
Covid19Sim-Simulator,14.9
UCLA-SuEIR,15.1
IEM_MED-CovidProject,15.5
Karlen-pypm,15.6
OneQuietNight-ML,15.6
RobertWalraven-ESG,15.7
Google_Harvard-CPF,15.7
DDS-NBDS,16.6
UVA-Ensemble,17.2
TTU-squider,17.6
BPagano-RtDriven,18.0
CovidAnalytics-DELPHI,18.3
JCB-PRM,18.9
UCSB-ACTS,21.4
Wadhwani_AI-BayesOpt,23.9
