,mean_rank
CU-select,9.2
LNQ-ens1,9.3
USC-SI_kJalpha,10.4
COVIDhub-ensemble,10.6
OneQuietNight-ML,11.5
CEID-Walk,12.1
RobertWalraven-ESG,12.2
COVIDhub-baseline,12.2
LANL-GrowthRate,12.6
UCLA-SuEIR,13.2
JHU_UNC_GAS-StatMechPool,13.6
JHUAPL-Bucky,13.8
Covid19Sim-Simulator,14.1
IEM_MED-CovidProject,14.2
UChicagoCHATTOPADHYAY-UnIT,14.6
DDS-NBDS,14.7
JHU_CSSE-DECOM,14.9
JHU_IDD-CovidSP,15.9
CovidAnalytics-DELPHI,16.3
Microsoft-DeepSTIA,17.0
IowaStateLW-STEM,17.3
Karlen-pypm,17.8
UMich-RidgeTfReg,18.4
BPagano-RtDriven,19.0
TTU-squider,21.5
OliverWyman-Navigator,22.0
UCSB-ACTS,22.6
Wadhwani_AI-BayesOpt,23.1
JCB-PRM,23.3
Google_Harvard-CPF,24.1
UVA-Ensemble,24.4
