,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9590,6144.1,5447.1,6888.4,6549.0,5141.6,-3445.9,-4142.9,-2701.6,-3041.0,-4448.4,False,True,True,False
Alaska,289,167.3,611.2,279.6,,327.8,-121.7,322.2,-9.4,,38.8,False,True,,True
Arizona,15480,8546.9,12646.8,13803.1,8574.0,7907.7,-6933.1,-2833.2,-1676.9,-6906.0,-7572.3,True,True,True,False
Arkansas,5348,4594.1,5002.8,3752.4,4785.0,6082.5,-753.9,-345.2,-1595.6,-563.0,734.5,True,False,True,True
California,49120,24691.7,30632.7,34293.6,24205.0,24682.7,-24427.3,-18486.3,-14825.4,-24914.0,-24436.3,True,True,False,False
Colorado,5887,6148.9,7974.2,8013.0,6247.0,6770.2,261.9,2087.2,2126.0,360.0,883.2,False,False,False,False
Connecticut,7523,5998.0,8449.2,7637.2,6539.0,6475.7,-1525.0,926.2,114.2,-984.0,-1047.3,True,True,True,True
Delaware,1366,902.3,1357.2,1231.9,1008.0,914.8,-421.7,33.2,-92.1,-316.0,-409.2,True,True,True,True
District of Columbia,994,798.6,890.3,1038.1,725.0,796.5,-195.4,-103.7,44.1,-269.0,-197.5,True,True,False,False
Florida,29813,24072.4,24782.3,25218.5,23886.0,23743.8,-5740.6,-5030.7,-4594.5,-5927.0,-6069.2,True,True,False,False
Georgia,16742,12296.6,22786.6,16149.6,12548.0,11231.6,-4445.4,6044.6,-592.4,-4194.0,-5510.4,False,True,True,False
Hawaii,429,374.4,354.6,280.3,,288.2,-54.6,-74.4,-148.7,,-140.8,False,False,,False
Idaho,1826,2006.1,2334.2,2257.1,2054.0,1811.3,180.1,508.2,431.1,228.0,-14.7,False,False,False,True
Illinois,22426,23467.1,28463.3,22926.2,22738.0,28820.9,1042.1,6038.3,501.2,313.0,6395.9,False,True,True,False
Indiana,12336,10383.6,14810.3,9679.3,11075.0,12411.8,-1483.4,2943.3,-2187.7,-792.0,544.8,False,False,True,True
Iowa,5336,4940.6,6957.6,4909.9,5021.0,5471.8,-395.4,1621.6,-426.1,-315.0,135.8,False,False,True,True
Kansas,4573,3151.7,3886.9,2925.2,3405.0,4085.4,-1337.3,-602.1,-1563.8,-1084.0,-403.6,True,False,True,True
Kentucky,4426,3407.0,4132.8,4358.0,3527.5,4206.1,-1019.0,-293.2,-68.0,-898.5,-219.9,True,True,True,True
Louisiana,9440,8047.1,9762.3,11159.9,9373.0,8183.8,-1392.9,322.3,1719.9,-67.0,-1256.2,True,False,True,True
Maine,658,317.4,863.6,507.7,380.0,241.4,-340.6,205.6,-150.3,-278.0,-416.6,True,True,True,False
Maryland,7697,6131.1,7497.1,8557.7,6354.0,5734.4,-1565.9,-199.9,860.7,-1343.0,-1962.6,True,True,True,False
Massachusetts,15779,12864.9,16227.0,14264.6,13614.0,12998.9,-2914.1,448.0,-1514.4,-2165.0,-2780.1,True,True,True,True
Michigan,16342,15290.7,24801.8,17286.6,17820.0,11534.9,-1051.3,8459.8,944.6,1478.0,-4807.1,False,True,False,False
Minnesota,6491,7617.0,13078.8,7729.0,9470.0,8520.0,1126.0,6587.8,1238.0,2979.0,2029.0,False,False,False,False
Mississippi,6553,5386.0,5012.5,5563.3,5403.0,5580.6,-1167.0,-1540.5,-989.7,-1150.0,-972.4,False,True,True,True
Missouri,8059,6033.7,10457.8,7295.2,6792.0,5665.0,-2002.3,2421.8,-740.8,-1244.0,-2371.0,False,True,True,False
Montana,1341,1670.1,2064.4,1054.9,1999.0,1531.2,329.1,723.4,-286.1,658.0,190.2,False,True,False,True
Nebraska,2047,2580.4,3107.0,2272.3,2496.0,2050.0,533.4,1060.0,225.3,449.0,3.0,False,True,True,True
Nevada,4868,3405.6,3918.0,4112.2,2761.0,3437.8,-1462.4,-950.0,-755.8,-2107.0,-1430.2,True,True,False,True
New Hampshire,1153,679.1,1013.0,784.4,829.0,626.2,-473.9,-140.0,-368.6,-324.0,-526.8,True,True,True,False
New Jersey,22834,19268.1,25376.2,22513.3,19533.0,24494.6,-3565.9,2542.2,-320.7,-3301.0,1660.6,True,True,True,True
New Mexico,3610,3543.0,5576.7,3935.8,3600.0,2575.6,-67.0,1966.7,325.8,-10.0,-1034.4,False,False,True,False
New York,46703,38009.0,45437.6,45808.9,37862.0,47251.3,-8694.0,-1265.4,-894.1,-8841.0,548.3,True,True,False,True
North Carolina,10896,7965.4,9207.5,13520.5,8330.0,8390.6,-2930.6,-1688.5,2624.5,-2566.0,-2505.4,True,True,True,True
North Dakota,1467,2260.3,2628.3,1498.7,2689.0,1182.2,793.3,1161.3,31.7,1222.0,-284.8,False,True,False,True
Ohio,18015,9518.9,15103.6,14750.8,11284.0,14247.7,-7566.1,-1981.4,-2334.2,-5801.0,-2837.3,True,True,True,True
Oklahoma,4155,2996.9,4249.4,3841.5,3570.0,3809.6,-1158.1,94.4,-313.5,-585.0,-345.4,True,True,True,True
