,mean_rank
COVIDhub-trained_ensemble,11.3
UMass-MechBayes,11.7
USC-SI_kJalpha,13.7
RobertWalraven-ESG,13.7
COVIDhub-ensemble,14.2
OliverWyman-Navigator,14.5
Karlen-pypm,14.9
LNQ-ens1,15.0
GT-DeepCOVID,15.3
SteveMcConnell-CovidComplete,15.5
Google_Harvard-CPF,16.6
LANL-GrowthRate,17.6
DDS-NBDS,17.7
Covid19Sim-Simulator,17.8
UA-EpiCovDA,18.1
CU-select,19.1
MOBS-GLEAM_COVID,19.7
Caltech-CS156,19.8
Microsoft-DeepSTIA,20.0
CovidAnalytics-DELPHI,20.0
IHME-CurveFit,20.5
UCLA-SuEIR,21.5
MIT_ISOLAT-Mixtures,21.5
epiforecasts-ensemble1,21.6
BPagano-RtDriven,22.0
CMU-TimeSeries,22.1
SigSci-TS,22.2
WalmartLabsML-LogForecasting,22.4
AIpert-pwllnod,23.9
UCSD_NEU-DeepGLEAM,24.0
CEID-Walk,24.4
MIT_CritData-GBCF,24.7
COVIDhub-baseline,25.0
JHU_IDD-CovidSP,25.4
UMich-RidgeTfReg,25.4
PSI-DRAFT,26.5
JHU_CSSE-DECOM,27.3
TTU-squider,30.4
IowaStateLW-STEM,31.4
JHUAPL-Bucky,31.6
