,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-WalmartLabsML-LogForecasting
Missouri,8059,8095.1,8204.0,8155.8,8504.0,7958.9,7388.0,,8404.9,8572.0,7695.3,7638.1,7647.0,7861.0,,7020.2,,6931.6,94.1,203.0,154.8,503.0,-42.1,-613.0,,403.9,571.0,-305.7,-362.9,-354.0,-140.0,,-980.8,,-1069.4,False,False,False,True,False,,False,False,False,False,False,False,,False,,False
Montana,1341,1266.9,1255.2,1258.0,1393.0,1256.1,1167.0,,1460.2,1406.0,1365.5,1236.8,1268.0,1265.0,,1311.5,,1227.7,-74.1,-85.8,-83.0,52.0,-84.9,-174.0,,119.2,65.0,24.5,-104.2,-73.0,-76.0,,-29.5,,-113.3,False,False,True,False,False,,False,True,True,False,True,False,,True,,False
Nebraska,2047,2211.0,2072.9,2336.9,2231.0,2146.1,2002.0,,2212.1,2285.0,2332.1,2077.0,2205.0,2086.0,,2077.6,,2063.3,164.0,25.9,289.9,184.0,99.1,-45.0,,165.1,238.0,285.1,30.0,158.0,39.0,,30.6,,16.3,True,False,False,True,True,,False,False,False,True,True,True,,True,,True
Nevada,4868,5294.4,5178.4,5316.0,4877.0,4613.6,4893.0,,5247.9,5229.0,4575.9,4743.9,5646.0,5351.0,,5093.2,,4305.8,426.4,310.4,448.0,9.0,-254.4,25.0,,379.9,361.0,-292.1,-124.1,778.0,483.0,,225.2,,-562.2,True,False,True,True,True,,True,True,True,True,False,False,,True,,False
New Hampshire,1153,1243.9,1194.9,1252.1,1260.0,1290.2,1336.0,,1439.6,1375.0,1455.8,1253.6,1208.0,1671.5,,1058.2,,1025.1,90.9,41.9,99.1,107.0,137.2,183.0,,286.6,222.0,302.8,100.6,55.0,518.5,,-94.8,,-127.9,True,False,False,False,False,,False,False,False,False,True,False,,False,,False
New Jersey,22834,23280.4,24766.4,23216.1,24178.0,23003.8,23821.0,,23810.2,23275.0,23097.0,23289.0,26494.5,22035.0,,22953.6,,21102.6,446.4,1932.4,382.1,1344.0,169.8,987.0,,976.2,441.0,263.0,455.0,3660.5,-799.0,,119.6,,-1731.4,False,True,False,True,False,,False,True,True,False,False,False,,True,,False
New Mexico,3610,3820.9,3612.0,3800.0,3788.0,3589.6,3595.0,,3856.3,3828.0,3474.2,3536.9,3797.0,3587.0,,3461.3,,3386.1,210.9,2.0,190.0,178.0,-20.4,-15.0,,246.3,218.0,-135.8,-73.1,187.0,-23.0,,-148.7,,-223.9,True,True,True,True,True,,False,False,True,True,True,True,,True,,False
New York,46703,47603.6,48864.3,47488.3,50732.0,47738.7,51873.0,,46390.6,46970.0,49023.8,49217.6,48830.0,45514.5,,47935.2,,41838.0,900.6,2161.3,785.3,4029.0,1035.7,5170.0,,-312.4,267.0,2320.8,2514.6,2127.0,-1188.5,,1232.2,,-4865.0,False,True,False,False,False,,True,True,False,False,False,False,,False,,False
North Carolina,10896,10589.3,10115.8,10971.8,11737.0,10431.7,9787.0,,11291.4,11214.0,11831.6,11547.9,11021.5,10255.0,,9944.7,,9086.1,-306.7,-780.2,75.8,841.0,-464.3,-1109.0,,395.4,318.0,935.6,651.9,125.5,-641.0,,-951.3,,-1809.9,False,True,False,False,False,,False,False,False,False,True,False,,False,,False
North Dakota,1467,1629.4,1536.5,1618.2,1507.0,1498.8,1523.0,,1343.6,1588.0,1515.1,1483.9,1550.0,1465.0,,1414.6,,1522.4,162.4,69.5,151.2,40.0,31.8,56.0,,-123.4,121.0,48.1,16.9,83.0,-2.0,,-52.4,,55.4,True,True,True,True,True,,True,True,True,True,True,True,,True,,True
Ohio,18015,12983.1,13214.8,12815.9,12079.0,11897.8,12120.0,,13103.4,12772.0,13893.3,12189.7,13134.5,12138.5,,13312.7,,11494.8,500.1,731.8,332.9,-404.0,-585.2,-363.0,,620.4,289.0,1410.3,-293.3,651.5,-344.5,,829.7,,-988.2,False,True,True,False,True,,False,True,False,True,False,True,,False,,False
Oklahoma,4155,4084.7,4465.3,4022.2,4545.0,3875.8,3943.0,,3932.4,4245.0,4436.8,3945.1,3870.5,4048.0,,4140.2,,3422.7,-70.3,310.3,-132.8,390.0,-279.2,-212.0,,-222.6,90.0,281.8,-209.9,-284.5,-107.0,,-14.8,,-732.3,False,False,False,False,False,,False,False,False,False,False,False,,True,,False
Oregon,2154,2752.0,5861.2,2779.2,2250.0,2113.9,2168.0,,2200.6,2601.0,2720.8,2346.0,2650.0,2909.0,,2817.5,,2103.6,598.0,3707.2,625.2,96.0,-40.1,14.0,,46.6,447.0,566.8,192.0,496.0,755.0,,663.5,,-50.4,False,False,True,True,True,,True,True,True,True,True,False,,False,,True
Pennsylvania,23540,26725.3,28218.3,26728.2,24027.0,23619.2,23686.0,,24823.2,27088.0,23864.8,24291.3,27139.0,22675.5,,25331.2,,21592.1,3185.3,4678.3,3188.2,487.0,79.2,146.0,,1283.2,3548.0,324.8,751.3,3599.0,-864.5,,1791.2,,-1947.9,False,False,True,True,True,,True,False,True,True,False,True,,True,,True
Rhode Island,2485,2437.3,2808.6,2449.3,2586.0,2525.6,2373.0,,2656.5,2586.0,2367.4,2408.9,2733.0,2259.0,,2203.5,,2067.9,116.3,487.6,128.3,265.0,204.6,52.0,,335.5,265.0,46.4,87.9,412.0,-62.0,,-117.5,,-253.1,False,False,False,False,True,,False,False,True,True,False,True,,False,,False
South Carolina,8256,8306.1,9041.6,7857.8,8851.0,8106.0,9443.0,,8447.4,7826.0,8137.4,8856.9,8245.5,7330.5,,8120.9,,6856.2,50.1,785.6,-398.2,595.0,-150.0,1187.0,,191.4,-430.0,-118.6,600.9,-10.5,-925.5,,-135.1,,-1399.8,False,False,False,False,False,,False,False,False,False,True,False,,False,,False
South Dakota,1859,2000.9,2039.3,1948.0,1869.0,1772.2,1934.0,,1845.1,1945.0,1829.7,1819.5,1834.0,1824.0,,1821.4,,1842.4,141.9,180.3,89.0,10.0,-86.8,75.0,,-13.9,86.0,-29.3,-39.5,-25.0,-35.0,,-37.6,,-16.6,False,True,True,True,True,,True,True,True,True,True,True,,True,,True
Tennessee,11115,11334.4,11849.3,11610.6,10431.0,10177.4,10126.0,,11569.2,12026.0,10693.7,10846.8,10656.0,11286.5,,10925.3,,9479.4,219.4,734.3,495.6,-684.0,-937.6,-989.0,,454.2,911.0,-421.3,-268.2,-459.0,171.5,,-189.7,,-1635.6,False,False,False,False,False,,False,False,False,False,False,True,,True,,False
Texas,42041,42902.0,46979.8,43002.0,49494.0,39797.8,40495.0,,39264.1,44527.0,42076.3,43616.1,47130.5,40627.5,,40360.8,,36360.2,861.0,4938.8,961.0,7453.0,-2243.2,-1546.0,,-2776.9,2486.0,35.3,1575.1,5089.5,-1413.5,,-1680.2,,-5680.8,False,False,False,False,False,,False,False,True,False,False,False,,False,,False
Utah,1842,1983.6,2271.7,1959.7,2256.0,1850.9,2078.0,,2143.6,2101.0,1629.4,1871.2,1794.0,1861.0,,1959.2,,1189.7,141.6,429.7,117.7,414.0,8.9,236.0,,301.6,259.0,-212.6,29.2,-48.0,19.0,,117.2,,-652.3,False,True,False,True,False,,False,False,False,True,True,True,,True,,False
Vermont,196,197.0,208.7,198.0,307.0,293.8,293.0,,270.9,264.0,347.7,323.6,222.0,253.0,,170.5,,183.3,1.0,12.7,2.0,111.0,97.8,97.0,,74.9,68.0,151.7,127.6,26.0,57.0,,-25.5,,-12.7,False,False,False,False,False,,False,False,False,False,False,False,,False,,False
Virginia,7197,7409.6,7921.7,7329.9,7519.0,7241.7,6745.0,,7269.8,7491.0,8388.9,8034.6,8471.0,7331.0,,6958.1,,6289.2,212.6,724.7,132.9,322.0,44.7,-452.0,,72.8,294.0,1191.9,837.6,1274.0,134.0,,-238.9,,-907.8,False,True,False,True,False,,True,False,False,False,False,True,,False,,False
Washington,4822,4898.7,5413.0,4926.8,5610.0,5129.7,4560.0,,6397.1,5029.5,5249.1,4675.5,5131.0,5354.5,,4797.7,,4310.9,76.7,591.0,104.8,788.0,307.7,-262.0,,1575.1,207.5,427.1,-146.5,309.0,532.5,,-24.3,,-511.1,False,False,False,False,False,,False,False,False,False,False,False,,True,,False
West Virginia,2254,2718.3,2987.9,2715.7,2783.0,2485.1,2563.0,,2734.3,2588.0,2684.8,2629.5,3218.0,2843.0,,2570.4,,2147.0,464.3,733.9,461.7,529.0,231.1,309.0,,480.3,334.0,430.8,375.5,964.0,589.0,,316.4,,-107.0,False,True,False,True,True,,False,True,True,True,False,False,,True,,True
Wisconsin,6871,7538.0,7034.1,7594.7,7348.0,6797.4,6552.0,,6764.6,7111.0,7263.5,6732.9,7003.0,6797.0,,7330.7,,6693.0,667.0,163.1,723.7,477.0,-73.6,-319.0,,-106.4,240.0,392.5,-138.1,132.0,-74.0,,459.7,,-178.0,True,False,True,True,True,,True,True,True,True,True,True,,True,,True
Wyoming,662,682.3,675.8,687.0,1005.0,656.8,650.0,,797.2,699.0,665.7,615.4,728.5,724.0,,578.7,,609.6,20.3,13.8,25.0,343.0,-5.2,-12.0,,135.2,37.0,3.7,-46.6,66.5,62.0,,-83.3,,-52.4,True,False,False,True,True,,False,False,True,False,False,False,,False,,False
US,499023,510591.7,555047.5,512524.2,520005.0,475143.1,519142.0,523567.0,504271.9,512267.0,503463.0,501420.7,528554.0,492591.5,503533.5,464235.7,510872.0,441766.5,18798.7,63254.5,20731.2,28212.0,-16649.9,27349.0,31774.0,12478.9,20474.0,11670.0,9627.7,36761.0,798.5,11740.5,-27557.3,19079.0,-50026.5,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False
