,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9590,8742.9,9409.6,8946.6,8932.6,8917.0,8809.0,8455.0,7881.0,8327.0,7937.0,7496.0,11071.0,,8119.6,8634.2,,7585.6,9245.0,7490.4,8537.0,7888.9,7923.6,8986.5,9048.4,9169.0,9762.0,8829.3,9101.8,8812.8,8669.0,,10097.0,9014.4,,8321.0,7186.9,8098.0,7704.6,,8266.7,8890.5,8130.0,11055.5,8524.0,8985.0,,7511.8,8682.0,-847.1,-180.4,-643.4,-657.4,-673.0,-781.0,-1135.0,-1709.0,-1263.0,-1653.0,-2094.0,1481.0,,-1470.4,-955.8,,-2004.4,-345.0,-2099.6,-1053.0,-1701.1,-1666.4,-603.5,-541.6,-421.0,172.0,-760.7,-488.2,-777.2,-921.0,,507.0,-575.6,,-1269.0,-2403.1,-1492.0,-1885.4,,-1323.3,-699.5,-1460.0,1465.5,-1066.0,-605.0,,-2078.2,-908.0,True,True,True,True,True,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False,True,True,True,True,True,True,True,False,,True,True,,False,False,False,False,,False,True,False,False,False,True,,False,False
Alaska,289,374.7,281.3,290.1,391.6,359.0,379.0,304.0,259.0,284.0,265.7,321.0,336.9,,306.1,314.4,,246.8,,292.1,335.0,331.7,285.7,277.0,312.1,398.0,321.9,318.5,313.3,347.0,301.0,,,284.7,,302.0,336.9,283.0,355.2,,260.3,328.6,283.0,313.1,289.0,298.0,,292.2,329.0,85.7,-7.7,1.1,102.6,70.0,90.0,15.0,-30.0,-5.0,-23.3,32.0,47.9,,17.1,25.4,,-42.2,,3.1,46.0,42.7,-3.3,-12.0,23.1,109.0,32.9,29.5,24.3,58.0,12.0,,,-4.3,,13.0,47.9,-6.0,66.2,,-28.7,39.6,-6.0,24.1,0.0,9.0,,3.2,40.0,True,True,False,True,False,True,True,True,True,True,True,,True,True,,True,,True,True,True,True,True,True,False,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,,True,True
Arizona,15480,15987.1,18800.1,15594.0,15832.7,16439.0,15857.4,16083.0,16566.0,16589.0,17185.8,16349.0,27818.4,,15477.5,15557.6,,16142.1,16624.0,14948.5,16112.0,15163.5,15236.2,15335.0,16711.4,16709.0,14805.8,16034.6,16977.9,15551.1,16826.0,,18585.1,16443.5,,15931.0,15474.2,15189.0,14046.7,,16184.5,16082.9,15477.0,17094.3,16157.0,16674.5,,13451.4,16054.0,507.1,3320.1,114.0,352.7,959.0,377.4,603.0,1086.0,1109.0,1705.8,869.0,12338.4,,-2.5,77.6,,662.1,1144.0,-531.5,632.0,-316.5,-243.8,-145.0,1231.4,1229.0,-674.2,554.6,1497.9,71.1,1346.0,,3105.1,963.5,,451.0,-5.8,-291.0,-1433.3,,704.5,602.9,-3.0,1614.3,677.0,1194.5,,-2028.6,574.0,False,True,True,False,True,False,False,False,False,False,False,,True,True,,False,False,False,False,True,True,True,False,False,False,False,False,True,False,,False,False,,True,True,True,False,,False,False,True,False,False,False,,False,False
Arkansas,5348,5743.9,5932.6,5447.5,5648.4,5579.0,5643.1,5511.0,5181.0,5580.0,5794.9,5511.0,6415.6,,5542.3,5368.0,,5453.8,5716.0,5303.9,5636.0,5480.8,5579.0,5376.0,5618.5,5624.0,5285.9,5569.6,5784.3,5411.7,5523.0,,6022.9,5544.2,,5633.0,5938.9,5242.0,5649.4,,5300.6,5590.1,5404.0,5738.4,5411.0,5375.0,,5145.3,5642.0,395.9,584.6,99.5,300.4,231.0,295.1,163.0,-167.0,232.0,446.9,163.0,1067.6,,194.3,20.0,,105.8,368.0,-44.1,288.0,132.8,231.0,28.0,270.5,276.0,-62.1,221.6,436.3,63.7,175.0,,674.9,196.2,,285.0,590.9,-106.0,301.4,,-47.4,242.1,56.0,390.4,63.0,27.0,,-202.7,294.0,False,True,True,True,True,True,True,True,False,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,,True,False,True,True,,True,True,True,True,True,True,,True,True
California,49120,50644.1,57413.5,49293.8,51086.7,52724.0,50597.7,49018.0,44371.0,47416.0,49105.5,48147.0,81002.4,,48209.7,48349.0,,53188.8,51918.0,46996.5,48232.0,47830.9,47204.8,49325.5,51776.1,52226.0,51707.0,50139.2,52607.1,48931.2,60360.5,,52681.1,51131.1,,48926.0,52523.7,47881.0,45780.7,,58118.7,50289.0,46402.0,55183.2,47943.0,53005.0,,41204.7,49500.0,1524.1,8293.5,173.8,1966.7,3604.0,1477.7,-102.0,-4749.0,-1704.0,-14.5,-973.0,31882.4,,-910.3,-771.0,,4068.8,2798.0,-2123.5,-888.0,-1289.1,-1915.2,205.5,2656.1,3106.0,2587.0,1019.2,3487.1,-188.8,11240.5,,3561.1,2011.1,,-194.0,3403.7,-1239.0,-3339.3,,8998.7,1169.0,-2718.0,6063.2,-1177.0,3885.0,,-7915.3,380.0,False,True,False,False,True,True,False,False,True,True,False,,True,True,,False,False,False,True,True,False,True,False,False,False,True,False,True,False,,False,False,,True,False,True,False,,False,True,False,False,True,False,,False,True
Colorado,5887,5991.0,6013.8,5880.1,5953.5,6141.0,5958.3,6076.0,6025.0,6073.0,6183.3,6226.0,6401.5,,6062.5,6298.6,,6353.4,6366.0,5936.7,6307.0,6245.8,6027.6,5727.0,6012.8,6297.0,5496.4,5902.9,6112.2,5785.0,5982.5,,6307.1,5936.6,,6056.0,5800.4,5997.0,6150.9,,6137.0,5928.8,5961.0,6720.9,5884.0,5848.5,,6096.7,6156.0,104.0,126.8,-6.9,66.5,254.0,71.3,189.0,138.0,186.0,296.3,339.0,514.5,,175.5,411.6,,466.4,479.0,49.7,420.0,358.8,140.6,-160.0,125.8,410.0,-390.6,15.9,225.2,-102.0,95.5,,420.1,49.6,,169.0,-86.6,110.0,263.9,,250.0,41.8,74.0,833.9,-3.0,-38.5,,209.7,269.0,False,True,True,False,True,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False,False,False,False,True,False,True,True,,False,True,,False,True,False,False,,False,True,True,False,True,True,,False,False
Connecticut,7523,7686.9,7783.5,7621.8,7766.4,7872.0,7718.6,7796.0,8151.0,7987.0,8073.9,8350.0,7760.7,,7838.7,8021.7,,7893.5,7794.0,7564.9,7864.0,7814.5,7796.2,7715.5,7501.8,7809.0,7500.9,7887.2,7950.5,7623.8,7916.5,,7765.8,7558.0,,7556.0,7123.7,7033.0,7299.1,,7573.5,7890.0,7648.0,7910.0,7771.0,7384.0,,7074.5,7959.0,163.9,260.5,98.8,243.4,349.0,195.6,273.0,628.0,464.0,550.9,827.0,237.7,,315.7,498.7,,370.5,271.0,41.9,341.0,291.5,273.2,192.5,-21.2,286.0,-22.1,364.2,427.5,100.8,393.5,,242.8,35.0,,33.0,-399.3,-490.0,-223.9,,50.5,367.0,125.0,387.0,248.0,-139.0,,-448.5,436.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False,True,False,True,False,False,True,False,,False,True,,True,False,False,False,,True,False,True,False,False,True,,False,False
Delaware,1366,1137.4,1188.3,1165.5,1111.3,1211.0,1117.3,1178.0,1180.0,1160.0,1228.4,1171.0,1157.5,,1205.7,1198.7,,1153.1,1178.5,1157.4,1201.0,1296.9,1180.7,1124.0,1149.4,1276.0,,1175.2,1210.4,1144.2,1230.0,,,1143.7,,1289.0,1251.2,1161.0,1133.6,,1233.3,1216.3,1184.0,1157.4,1159.0,1145.0,,1113.8,1206.0,-2.6,48.3,25.5,-28.7,71.0,-22.7,38.0,40.0,20.0,88.4,31.0,17.5,,65.7,58.7,,13.1,38.5,17.4,61.0,156.9,40.7,-16.0,9.4,136.0,,35.2,70.4,4.2,90.0,,,3.7,,149.0,111.2,21.0,-6.4,,93.3,76.3,44.0,17.4,19.0,5.0,,-26.2,66.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
District of Columbia,994,956.9,947.9,976.7,945.8,973.0,962.0,971.0,977.0,1000.0,1012.2,1080.0,968.8,,972.0,996.0,,1020.0,962.0,1009.4,981.0,975.6,983.8,928.0,950.5,983.0,,,,963.4,1024.0,,,949.6,,971.0,939.0,932.0,915.1,,1022.8,,948.0,,961.0,945.0,,913.0,979.0,-37.1,-46.1,-17.3,-48.2,-21.0,-32.0,-23.0,-17.0,6.0,18.2,86.0,-25.2,,-22.0,2.0,,26.0,-32.0,15.4,-13.0,-18.4,-10.2,-66.0,-43.5,-11.0,,,,-30.6,30.0,,,-44.4,,-23.0,-55.0,-62.0,-78.9,,28.8,,-46.0,,-33.0,-49.0,,-81.0,-15.0,False,True,False,True,True,True,True,True,True,False,True,,True,True,,True,True,True,True,True,True,False,False,True,,,,True,True,,,False,,True,False,False,False,,True,,False,,True,False,,False,True
Florida,29813,29751.9,30747.7,29207.0,29733.9,30594.0,29802.7,29668.0,28935.0,29911.0,29046.4,38047.0,35897.3,,29138.0,29758.3,,29814.1,29091.0,28402.8,30688.0,32335.6,29055.4,29260.0,30558.5,30498.0,32594.1,29150.7,30569.8,29553.0,30112.5,,32348.4,29787.7,,29529.0,32637.0,30999.0,28708.5,,29831.2,29231.8,29462.0,29470.2,29733.0,31176.0,,27104.7,29704.0,-61.1,934.7,-606.0,-79.1,781.0,-10.3,-145.0,-878.0,98.0,-766.6,8234.0,6084.3,,-675.0,-54.7,,1.1,-722.0,-1410.2,875.0,2522.6,-757.6,-553.0,745.5,685.0,2781.1,-662.3,756.8,-260.0,299.5,,2535.4,-25.3,,-284.0,2824.0,1186.0,-1104.5,,18.2,-581.2,-351.0,-342.8,-80.0,1363.0,,-2708.3,-109.0,False,False,False,False,True,False,False,False,False,False,False,,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,,True,False,False,False,False,False,,False,False
