,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9590,7276.4,7396.3,7917.8,7338.0,6752.6,-2313.6,-2193.7,-1672.2,-2252.0,-2837.4,True,True,True,False
Alaska,289,381.9,543.5,258.1,,443.6,92.9,254.5,-30.9,,154.6,False,True,,False
Arizona,15480,10380.9,12965.3,11202.8,9346.0,9756.9,-5099.1,-2514.7,-4277.2,-6134.0,-5723.1,True,True,False,False
Arkansas,5348,4722.9,4639.3,4292.0,4673.0,5530.3,-625.1,-708.7,-1056.0,-675.0,182.3,False,False,False,True
California,49120,28364.0,38980.1,43897.8,27336.0,28121.5,-20745.0,-10128.9,-5211.2,-21773.0,-20987.5,True,True,False,False
Colorado,5887,7188.6,8356.2,9297.0,7037.0,7341.4,1301.6,2469.2,3410.0,1150.0,1454.4,False,False,True,False
Connecticut,7523,7154.6,7512.1,7553.9,6859.0,6498.7,-368.4,-10.9,30.9,-664.0,-1024.3,True,True,False,False
Delaware,1366,1042.7,1235.2,1085.3,1025.0,1018.0,-267.3,-74.8,-224.7,-285.0,-292.0,True,True,False,False
District of Columbia,994,881.6,957.0,1062.5,838.0,837.9,-112.4,-37.0,68.5,-156.0,-156.1,True,True,False,False
Florida,29813,26527.3,26936.2,29494.5,23706.0,26046.8,-3285.7,-2876.8,-318.5,-6107.0,-3766.2,True,True,False,False
Georgia,16742,13758.0,12056.3,14130.4,12582.0,13942.8,-2984.0,-4685.7,-2611.6,-4160.0,-2799.2,False,True,False,True
Hawaii,429,457.4,298.4,558.2,,310.4,28.4,-130.6,129.2,,-118.6,False,False,,False
Idaho,1826,2283.6,2220.7,2258.8,2238.0,2252.6,457.6,394.7,432.8,412.0,426.6,True,True,True,True
Illinois,22426,27513.7,24062.2,25022.3,22611.0,25688.1,5087.7,1636.2,2596.3,185.0,3262.1,True,True,True,True
Indiana,12336,12289.4,13050.3,9865.1,11584.0,13280.4,698.4,1459.3,-1725.9,-7.0,1689.4,False,False,True,False
Iowa,5336,6169.6,4325.3,4608.0,6345.0,6035.1,833.6,-1010.7,-728.0,1009.0,699.1,False,True,False,True
Kansas,4573,4576.3,3945.6,4116.1,4365.0,4046.8,3.3,-627.4,-456.9,-208.0,-526.2,False,False,False,False
Kentucky,4426,3982.9,4235.3,4388.2,3680.0,5071.5,-443.1,-190.7,-37.8,-746.0,645.5,True,True,False,False
Louisiana,9440,8505.7,10984.0,9318.0,8446.0,8536.7,-934.3,1544.0,-122.0,-994.0,-903.3,False,True,False,True
Maine,658,617.9,581.5,595.9,714.0,308.9,-40.1,-76.5,-62.1,56.0,-349.1,False,False,False,False
Maryland,7697,7245.4,8731.1,9460.8,6976.0,6719.4,-451.6,1034.1,1763.8,-721.0,-977.6,False,False,False,False
Massachusetts,15779,14065.7,15739.2,14520.7,14108.0,13490.4,-1713.3,-39.8,-1258.3,-1671.0,-2288.6,True,True,True,False
Michigan,16342,19593.0,20785.0,16013.1,18189.0,17993.0,3251.0,4443.0,-328.9,1847.0,1651.0,False,True,True,True
Minnesota,6491,8451.0,9744.5,7327.1,9842.0,9765.1,1960.0,3253.5,836.1,3351.0,3274.1,False,True,False,False
Mississippi,6553,5643.9,6293.1,5525.6,5543.0,5854.5,-909.1,-259.9,-1027.4,-1010.0,-698.5,True,False,False,True
Missouri,8059,8996.0,7143.3,7395.0,7388.0,7804.3,966.0,-886.7,-635.0,-642.0,-225.7,True,True,True,True
Montana,1341,1441.7,1606.9,2072.9,1728.0,1504.9,100.7,265.9,731.9,387.0,163.9,False,False,False,False
Nebraska,2047,3550.1,2699.7,3124.8,3662.0,2855.9,1503.1,652.7,1077.8,1615.0,808.9,True,True,False,True
Nevada,4868,4258.4,4862.5,4314.1,3977.0,4498.3,-609.6,-5.5,-553.9,-891.0,-369.7,True,True,False,True
New Hampshire,1153,976.6,904.3,852.2,1060.0,911.5,-176.4,-248.7,-300.8,-93.0,-241.5,False,False,True,False
New Jersey,22834,21045.0,22341.4,24305.3,20220.0,23833.3,-1789.0,-492.6,1471.3,-2614.0,999.3,True,True,False,True
New Mexico,3610,4018.1,5004.3,5089.2,3532.0,3046.4,408.1,1394.3,1479.2,-78.0,-563.6,False,False,True,False
New York,46703,39268.3,53340.7,45560.7,39130.0,41927.5,-7395.7,6676.7,-1103.3,-7534.0,-4736.5,True,True,False,True
North Carolina,10896,8832.7,9317.0,11406.7,8451.0,8708.5,-2063.3,-1579.0,510.7,-2445.0,-2187.5,True,True,False,False
North Dakota,1467,2028.7,1830.8,1517.8,2120.0,1295.6,561.7,363.8,50.8,653.0,-171.4,True,True,False,True
Ohio,18015,13039.0,15568.4,14002.8,13256.0,14929.0,-2943.0,-413.6,-1979.2,-2726.0,-1053.0,True,True,True,True
Oklahoma,4155,3633.1,3844.4,3760.9,3865.0,4394.6,-521.9,-310.6,-394.1,-290.0,239.6,True,True,True,True
Oregon,2154,2422.7,2544.4,3859.5,2250.0,2956.2,268.7,390.4,1705.5,96.0,802.2,False,False,True,False
Pennsylvania,23540,21656.1,27243.7,24157.6,21810.0,21699.5,-1883.9,3703.7,617.6,-1730.0,-1840.5,False,True,True,True
Rhode Island,2485,2140.4,2352.2,2077.0,1820.0,1886.5,-260.6,-48.8,-324.0,-581.0,-514.5,True,False,False,False
South Carolina,8256,6878.6,6247.6,7214.3,5769.0,6924.0,-1377.4,-2008.4,-1041.7,-2487.0,-1332.0,False,True,False,True
South Dakota,1859,2923.1,2419.0,2025.6,3254.0,1563.7,1064.1,560.0,166.6,1395.0,-295.3,True,True,False,True
Tennessee,11115,9166.4,10987.9,9620.6,9430.0,9794.0,-1948.6,-127.1,-1494.4,-1685.0,-1321.0,True,True,True,True
Texas,42041,37186.1,39384.2,37657.4,37436.0,34824.2,-4558.9,-2360.8,-4087.6,-4309.0,-6920.8,True,True,True,False
Utah,1842,1709.9,2709.0,2556.0,1991.0,1630.6,-132.1,867.0,714.0,149.0,-211.4,False,False,False,False
Vermont,196,209.3,178.7,116.0,81.5,228.6,13.3,-17.3,-80.0,-114.5,32.6,False,False,False,False
Virginia,7197,5741.7,7025.4,10340.7,5885.0,5589.1,-1455.3,-171.6,3143.7,-1312.0,-1607.9,True,False,True,False
Washington,4822,5335.3,4896.3,5295.3,4723.0,6773.0,471.3,32.3,431.3,-141.0,1909.0,True,True,True,False
West Virginia,2254,2021.4,2749.3,2522.6,1868.0,2871.9,-232.6,495.3,268.6,-386.0,617.9,False,False,False,False
Wisconsin,6871,9000.6,6807.1,7810.2,8563.0,8454.5,2129.6,-63.9,939.2,1692.0,1583.5,True,True,True,True
Wyoming,662,819.7,802.9,735.1,794.5,471.0,157.7,140.9,73.1,132.5,-191.0,True,True,True,False
US,499023,449781.3,534482.7,483160.1,437716.0,453452.5,-45990.7,38710.7,-12611.9,-58056.0,-42319.5,True,True,False,True
