,mean_rank
UMass-MechBayes,12.5
BPagano-RtDriven,13.2
RobertWalraven-ESG,14.4
OliverWyman-Navigator,14.4
COVIDhub-ensemble,15.4
Karlen-pypm,16.5
SteveMcConnell-CovidComplete,16.7
MOBS-GLEAM_COVID,16.7
LANL-GrowthRate,16.9
USC-SI_kJalpha,17.5
Google_Harvard-CPF,17.6
LNQ-ens1,18.2
JHUAPL-Bucky,18.6
UT-Mobility,18.8
COVIDhub-baseline,19.3
CEID-Walk,19.6
UCSD_NEU-DeepGLEAM,19.7
UCSB-ACTS,20.0
GT-DeepCOVID,20.1
UCLA-SuEIR,20.3
UA-EpiCovDA,20.5
CovidAnalytics-DELPHI,20.7
IHME-CurveFit,21.3
CU-select,21.5
Covid19Sim-Simulator,21.5
MIT_ISOLAT-Mixtures,22.0
Columbia_UNC-SurvCon,22.1
PSI-DRAFT,22.3
JHU_CSSE-DECOM,22.4
IowaStateLW-STEM,22.4
JHU_IDD-CovidSP,22.7
epiforecasts-ensemble1,22.7
AIpert-pwllnod,23.4
Microsoft-DeepSTIA,24.0
CMU-TimeSeries,24.4
WalmartLabsML-LogForecasting,25.0
UMich-RidgeTfReg,26.5
MIT_CritData-GBCF,27.2
TTU-squider,30.6
DDS-NBDS,30.8
