,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9590,6201.6,7685.1,7173.3,7078.0,4998.7,-3388.4,-1904.9,-2416.7,-2512.0,-4591.3,True,True,True,False
Alaska,289,501.3,492.8,330.3,,444.7,212.3,203.8,41.3,,155.7,True,True,,True
Arizona,15480,11368.9,13091.7,11344.2,11656.0,10063.9,-4111.1,-2388.3,-4135.8,-3824.0,-5416.1,True,False,True,False
Arkansas,5348,5754.3,4485.0,4053.0,5881.0,6213.6,406.3,-863.0,-1295.0,533.0,865.6,False,False,False,False
California,49120,32001.1,40834.6,43897.8,32084.0,30985.7,-17112.9,-8279.4,-5216.2,-17030.0,-18128.3,True,True,True,False
Colorado,5887,9892.0,7152.1,6487.4,9980.0,5872.9,4005.0,1265.1,600.4,4093.0,-14.1,True,True,False,True
Connecticut,7523,7502.0,7928.5,7950.3,7608.0,6458.2,-21.0,405.5,427.3,85.0,-1064.8,False,False,False,False
Delaware,1366,1042.7,1196.8,1101.3,1246.0,1167.4,-239.3,-85.2,-180.7,-36.0,-114.6,True,True,True,True
District of Columbia,994,892.4,984.9,953.4,884.0,805.1,-101.6,-9.1,-40.6,-110.0,-188.9,True,True,False,False
Florida,29813,26657.6,28699.0,27762.4,26530.0,25784.7,-3155.4,-1114.0,-2050.6,-3283.0,-4028.3,True,True,False,False
Georgia,16742,12737.4,13623.7,14880.5,13976.0,12250.7,-4004.6,-3118.3,-1861.5,-2766.0,-4491.3,True,True,True,False
Hawaii,429,392.3,348.4,461.5,,302.4,-36.7,-80.6,32.5,,-126.6,False,True,,False
Idaho,1826,2555.0,2109.9,2000.4,2608.0,2116.8,729.0,283.9,174.4,782.0,290.8,True,True,False,True
Illinois,22426,27394.3,22307.3,23086.5,26716.0,23939.6,4968.3,-118.7,660.5,4290.0,1513.6,True,True,True,True
