,mean_rank
COVIDhub-trained_ensemble,11.9
UMass-MechBayes,12.1
RobertWalraven-ESG,12.3
OliverWyman-Navigator,13.0
USC-SI_kJalpha,13.7
LNQ-ens1,14.4
Karlen-pypm,14.5
LANL-GrowthRate,15.5
CU-select,15.8
SteveMcConnell-CovidComplete,15.8
GT-DeepCOVID,15.8
COVIDhub-ensemble,16.5
UA-EpiCovDA,17.0
Google_Harvard-CPF,18.3
CovidAnalytics-DELPHI,18.4
UCLA-SuEIR,18.7
Caltech-CS156,18.8
IHME-CurveFit,19.0
MOBS-GLEAM_COVID,19.5
BPagano-RtDriven,20.3
UMich-RidgeTfReg,20.6
WalmartLabsML-LogForecasting,20.6
Columbia_UNC-SurvCon,21.6
Covid19Sim-Simulator,23.1
CMU-TimeSeries,24.5
JHU_CSSE-DECOM,24.6
JHU_IDD-CovidSP,24.7
epiforecasts-ensemble1,24.8
UCSD_NEU-DeepGLEAM,25.2
MIT_ISOLAT-Mixtures,25.3
AIpert-pwllnod,25.4
COVIDhub-baseline,25.7
Microsoft-DeepSTIA,25.9
PSI-DRAFT,26.1
CEID-Walk,26.9
MIT_CritData-GBCF,27.0
DDS-NBDS,27.1
UChicagoCHATTOPADHYAY-UnIT,28.2
IowaStateLW-STEM,28.6
JHUAPL-Bucky,30.6
TTU-squider,33.4
