,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,9590,4733.1,5793.9,4478.0,-4856.9,-3796.1,-5112.0,True,False
Alaska,289,98.9,453.4,,-190.1,164.4,,True,
Arizona,15480,8912.6,8615.6,7525.0,-6567.4,-6864.4,-7955.0,False,False
Arkansas,5348,3971.9,4769.0,4248.0,-1376.1,-579.0,-1100.0,True,True
California,49120,22459.9,26861.3,21670.0,-26656.1,-22254.7,-27446.0,True,False
Colorado,5887,3968.9,6058.4,3687.0,-1918.1,171.4,-2200.0,True,False
Connecticut,7523,5488.1,7550.0,5333.0,-2034.9,27.0,-2190.0,True,False
Delaware,1366,836.9,1241.6,912.0,-494.1,-89.4,-419.0,True,True
District of Columbia,994,772.9,733.1,684.0,-221.1,-260.9,-310.0,False,False
Florida,29813,22053.6,31708.5,21926.0,-7759.4,1895.5,-7887.0,True,False
Georgia,16742,11358.6,12083.2,10847.0,-4929.4,-4204.8,-5441.0,True,False
Hawaii,429,250.7,445.5,,-178.3,16.5,,True,
Idaho,1826,1518.0,2005.2,1523.0,-308.0,179.2,-303.0,True,True
Illinois,22426,17416.9,29649.2,14877.0,-5009.1,7223.2,-7549.0,False,False
Indiana,12336,8566.1,12364.3,7810.0,-3510.9,287.3,-4267.0,True,False
Iowa,5336,3509.0,6638.0,3619.0,-1827.0,1302.0,-1717.0,True,True
Kansas,4573,2198.4,4316.0,2459.0,-2307.6,-190.0,-2047.0,True,True
Kentucky,4426,2694.1,3563.6,2794.0,-1731.9,-862.4,-1632.0,True,True
Louisiana,9440,7670.3,7811.6,7027.0,-1769.7,-1628.4,-2413.0,True,False
Maine,658,226.3,327.5,284.5,-431.7,-330.5,-373.5,True,True
Maryland,7697,5103.4,5990.3,4955.0,-2593.6,-1706.7,-2742.0,True,False
Massachusetts,15779,12169.6,15905.2,11854.0,-3609.4,126.2,-3925.0,True,False
Michigan,16342,11599.9,22775.0,11430.0,-4742.1,6433.0,-4912.0,False,False
Minnesota,6491,5399.1,8730.0,6624.0,-1091.9,2239.0,133.0,False,True
Mississippi,6553,4854.4,4364.8,4498.0,-1698.6,-2188.2,-2055.0,False,False
Missouri,8059,5051.9,9293.1,5844.0,-2987.1,1254.1,-2195.0,True,True
Montana,1341,1644.6,2350.5,1805.0,303.6,1009.5,464.0,False,False
Nebraska,2047,1431.0,2808.0,1581.0,-616.0,761.0,-466.0,False,True
Nevada,4868,2891.0,2938.8,2413.0,-1977.0,-1929.2,-2455.0,True,False
New Hampshire,1153,578.1,902.5,727.0,-574.9,-250.5,-426.0,True,True
New Jersey,22834,17543.3,18898.6,17795.0,-5290.7,-3935.4,-5039.0,True,True
New Mexico,3610,2484.9,2927.4,2171.0,-1125.1,-682.6,-1439.0,True,False
New York,46703,36146.4,53151.8,35845.0,-10556.6,6448.8,-10858.0,True,False
North Carolina,10896,7935.0,8273.0,7595.0,-2961.0,-2623.0,-3301.0,True,False
North Dakota,1467,2243.6,2418.3,2145.0,776.6,951.3,678.0,False,True
Ohio,18015,8696.4,9732.7,9058.0,-9123.6,-8087.3,-8762.0,True,True
Oklahoma,4155,2819.7,2851.5,3335.0,-1335.3,-1303.5,-820.0,True,True
Oregon,2154,1309.4,1804.5,1251.0,-844.6,-349.5,-903.0,True,False
Pennsylvania,23540,12006.1,15290.9,12014.0,-11533.9,-8249.1,-11526.0,True,True
Rhode Island,2485,1565.7,2857.2,1615.0,-896.3,395.2,-847.0,True,True
South Carolina,8256,5521.7,6593.9,5528.0,-2734.3,-1662.1,-2728.0,True,True
South Dakota,1859,2006.9,2074.8,1825.0,147.9,215.8,-34.0,False,True
Tennessee,11115,7190.4,8293.9,6610.0,-3924.6,-2821.1,-4505.0,True,False
Texas,42041,29316.6,32121.0,28455.0,-12373.4,-9569.0,-13235.0,True,False
Utah,1842,1327.6,2482.1,1624.0,-514.4,640.1,-218.0,False,True
Vermont,196,73.9,61.8,73.0,-122.1,-134.2,-123.0,False,False
Virginia,7197,4479.6,5784.7,4938.0,-2717.4,-1412.3,-2259.0,True,True
Washington,4822,3523.6,6520.9,3375.0,-1315.4,1681.9,-1464.0,False,False
West Virginia,2254,1157.7,1265.7,1410.0,-1096.3,-988.3,-844.0,True,True
Wisconsin,6871,6249.1,9156.3,6268.0,-363.9,2543.3,-345.0,False,True
Wyoming,662,515.1,858.0,491.0,-146.9,196.0,-171.0,False,False
US,499023,335286.4,548968.8,325006.0,-162086.6,51595.8,-172367.0,True,False
