,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9590,10625.1,9985.9,9724.8,10300.2,10234.0,10292.8,9643.0,9195.0,8506.0,8927.8,,8527.0,9180.0,9756.4,,9817.2,9166.0,,8208.0,10614.0,7752.5,9779.0,8467.8,8563.0,9665.0,9995.7,9771.0,9192.7,9531.3,9585.6,9854.9,10960.0,,9083.1,9313.9,8638.0,9172.0,7092.6,9737.0,10080.9,,9642.5,9715.0,10493.3,9814.0,,8499.8,9091.0,1035.1,395.9,134.8,710.2,644.0,702.8,53.0,-395.0,-1084.0,-662.2,,-1063.0,-410.0,166.4,,227.2,-424.0,,-1382.0,1024.0,-1837.5,189.0,-1122.2,-1027.0,75.0,405.7,181.0,-397.3,-58.7,-4.4,264.9,1370.0,,-506.9,-276.1,-952.0,-418.0,-2497.4,147.0,490.9,,52.5,125.0,903.3,224.0,,-1090.2,-499.0,True,True,True,True,True,True,True,False,True,,False,True,True,,True,True,,False,True,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,True,False,True,True,,True,True,True,True,,False,True
Alaska,289,270.6,273.4,303.9,295.9,303.0,272.0,289.0,282.0,264.0,279.9,,265.3,289.0,290.0,,282.4,320.3,,334.8,,386.9,332.0,316.7,281.5,272.0,281.7,333.0,291.8,272.2,291.3,282.2,298.0,,,280.4,283.0,288.0,336.9,277.0,332.1,,281.7,276.0,305.9,273.0,,284.6,295.0,-18.4,-15.6,14.9,6.9,14.0,-17.0,0.0,-7.0,-25.0,-9.1,,-23.7,0.0,1.0,,-6.6,31.3,,45.8,,97.9,43.0,27.7,-7.5,-17.0,-7.3,44.0,2.8,-16.8,2.3,-6.8,9.0,,,-8.6,-6.0,-1.0,47.9,-12.0,43.1,,-7.3,-13.0,16.9,-16.0,,-4.4,6.0,True,True,True,True,True,True,True,False,True,,False,True,True,,True,False,,False,,False,False,False,True,True,True,False,True,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,,True,True
Arizona,15480,15640.0,15709.4,15992.9,15977.1,15859.0,15882.9,15708.0,15254.0,15848.0,15744.3,,16095.0,16119.0,16410.7,,15086.1,15286.2,,15828.0,16842.0,14881.5,15871.0,15001.9,15225.6,14592.0,15232.9,16163.0,15513.2,15708.2,15844.2,15280.4,16506.0,,16346.5,15670.5,15719.0,15362.0,15474.2,14777.0,15188.1,,15686.8,15144.0,16012.9,15608.0,,14166.2,15750.0,160.0,229.4,512.9,497.1,379.0,402.9,228.0,-226.0,368.0,264.3,,615.0,639.0,930.7,,-393.9,-193.8,,348.0,1362.0,-598.5,391.0,-478.1,-254.4,-888.0,-247.1,683.0,33.2,228.2,364.2,-199.6,1026.0,,866.5,190.5,239.0,-118.0,-5.8,-703.0,-291.9,,206.8,-336.0,532.9,128.0,,-1313.8,270.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,True,True,False,False,,False,False,False,True,,False,False
Arkansas,5348,5616.6,5870.2,5589.4,5667.2,5527.0,5663.0,5512.0,5438.0,5268.0,5559.3,,5389.5,5520.0,5716.3,,5371.1,5427.0,,5587.7,5813.0,5424.5,5623.0,5478.8,5471.3,5464.0,5487.1,5560.0,5848.7,5543.3,5583.0,5445.3,5512.0,,5753.5,5507.7,5594.0,5557.0,5939.4,5340.0,5679.3,,5567.5,5374.0,5671.2,5483.0,,5302.4,5478.0,268.6,522.2,241.4,319.2,179.0,315.0,164.0,90.0,-80.0,211.3,,41.5,172.0,368.3,,23.1,79.0,,239.7,465.0,76.5,275.0,130.8,123.3,116.0,139.1,212.0,500.7,195.3,235.0,97.3,164.0,,405.5,159.7,246.0,209.0,591.4,-8.0,331.3,,219.5,26.0,323.2,135.0,,-45.6,130.0,False,True,False,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,True,False,True,False,,True,True,False,True,,True,True
California,49120,51805.1,51803.1,51598.7,52744.0,51021.0,52270.0,49800.0,49045.0,46772.0,49329.3,,49027.3,49067.0,54133.4,,49094.6,48595.2,,48295.7,54227.0,40922.7,49939.0,48146.8,48388.3,48948.0,49893.6,51584.0,51782.5,50959.7,50840.3,50285.4,57909.5,,50929.9,50204.4,48235.0,48933.0,52136.8,47989.0,49920.2,,51065.0,47666.0,52981.3,48818.0,,44600.2,49680.0,2685.1,2683.1,2478.7,3624.0,1901.0,3150.0,680.0,-75.0,-2348.0,209.3,,-92.7,-53.0,5013.4,,-25.4,-524.8,,-824.3,5107.0,-8197.3,819.0,-973.2,-731.7,-172.0,773.6,2464.0,2662.5,1839.7,1720.3,1165.4,8789.5,,1809.9,1084.4,-885.0,-187.0,3016.8,-1131.0,800.2,,1945.0,-1454.0,3861.3,-302.0,,-4519.8,560.0,True,True,False,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,False,True,True,,True,True,False,True,,False,True
Colorado,5887,6025.7,5960.7,5833.2,6022.7,6023.0,6034.5,5988.0,5961.0,5998.0,6007.2,,5861.2,6108.0,5916.4,,5956.2,6139.4,,5929.7,6247.0,8444.6,6166.0,6192.5,5983.8,5879.0,5955.2,6026.0,5853.7,5982.8,5995.5,5960.8,5952.0,,5942.6,5915.9,6117.0,5935.0,5899.6,5988.0,6156.9,,6017.2,5968.0,6308.2,5926.0,,6039.6,6058.0,138.7,73.7,-53.8,135.7,136.0,147.5,101.0,74.0,111.0,120.2,,-25.8,221.0,29.4,,69.2,252.4,,42.7,360.0,2557.6,279.0,305.5,96.8,-8.0,68.2,139.0,-33.3,95.8,108.5,73.8,65.0,,55.6,28.9,230.0,48.0,12.6,101.0,269.9,,130.2,81.0,421.2,39.0,,152.6,171.0,True,True,True,True,False,True,True,True,True,,True,False,True,,True,False,,True,False,False,False,False,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,True,False,,True,True,False,True,,False,False
Connecticut,7523,7694.6,7737.3,7692.2,7686.2,7692.0,7727.0,7681.0,7634.0,7747.0,7674.0,,7680.6,7765.0,7545.8,,7589.0,7841.3,,7817.0,7791.0,8326.6,7824.0,7728.9,7683.1,7619.0,7561.8,7680.0,7567.0,7907.2,7759.5,7577.2,7423.0,,7583.2,7529.4,7912.0,7632.0,7337.4,7242.0,7559.0,,7922.2,7528.0,7753.1,7593.0,,7272.9,7873.0,171.6,214.3,169.2,163.2,169.0,204.0,158.0,111.0,224.0,151.0,,157.6,242.0,22.8,,66.0,318.3,,294.0,268.0,803.6,301.0,205.9,160.1,96.0,38.8,157.0,44.0,384.2,236.5,54.2,-100.0,,60.2,6.4,389.0,109.0,-185.6,-281.0,36.0,,399.2,5.0,230.1,70.0,,-250.1,350.0,False,True,True,True,False,True,True,False,True,,True,False,True,,True,False,,False,False,False,False,False,True,True,True,True,True,False,False,True,True,,True,True,False,True,False,False,True,,False,True,False,True,,False,False
Delaware,1366,1230.0,1244.0,1188.8,1209.2,1217.0,1216.0,1188.0,1170.0,1169.0,1201.1,,1174.2,1173.0,1172.7,,1176.2,1186.2,,1163.1,1200.0,1305.8,1206.0,1267.7,1162.6,1164.0,1182.0,1226.0,1088.5,1184.6,1207.6,1175.2,1200.0,,,1179.6,1192.0,1231.0,1223.4,1200.0,1233.5,,1222.7,1190.0,1168.9,1175.0,,1151.0,1187.0,79.0,93.0,37.8,58.2,66.0,65.0,37.0,19.0,18.0,50.1,,23.2,22.0,21.7,,25.2,35.2,,12.1,49.0,154.8,55.0,116.7,11.6,13.0,31.0,75.0,-62.5,33.6,56.6,24.2,49.0,,,28.6,41.0,80.0,72.4,49.0,82.5,,71.7,39.0,17.9,24.0,,0.0,36.0,False,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,True,True,,,True,True,False,True,True,False,,True,True,True,True,,True,True
District of Columbia,994,1030.1,1006.2,1002.4,1015.5,1004.0,1026.0,998.0,990.0,1001.0,996.7,,982.2,1013.0,982.0,,992.6,1016.8,,944.2,1015.0,1242.2,1004.0,977.6,991.5,1013.0,987.2,986.0,,,,986.4,1035.0,,,1002.7,1024.0,989.0,940.3,994.0,1016.6,,,987.0,,997.0,,940.1,993.0,36.1,12.2,8.4,21.5,10.0,32.0,4.0,-4.0,7.0,2.7,,-11.8,19.0,-12.0,,-1.4,22.8,,-49.8,21.0,248.2,10.0,-16.4,-2.5,19.0,-6.8,-8.0,,,,-7.6,41.0,,,8.7,30.0,-5.0,-53.7,0.0,22.6,,,-7.0,,3.0,,-53.9,-1.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,False,True,False,True,True,True,True,True,True,,,,True,False,,,True,True,True,False,True,True,,,True,,True,,False,True
Florida,29813,29867.6,30670.6,30008.5,29830.0,29905.0,29948.8,29444.0,29260.0,29181.0,29502.5,,28705.1,28563.0,30602.4,,29161.0,29431.2,,29563.0,30437.0,27889.2,30545.0,31474.2,29077.0,29444.0,29812.9,30042.0,30350.1,29314.3,29918.6,29627.9,29974.5,,31022.5,29469.3,29675.0,29455.0,31919.0,28971.0,29244.9,,29342.1,29580.0,28946.9,29293.0,,28010.4,29434.0,54.6,857.6,195.5,17.0,92.0,135.8,-369.0,-553.0,-632.0,-310.5,,-1107.9,-1250.0,789.4,,-652.0,-381.8,,-250.0,624.0,-1923.8,732.0,1661.2,-736.0,-369.0,-0.1,229.0,537.1,-498.7,105.6,-185.1,161.5,,1209.5,-343.7,-138.0,-358.0,2106.0,-842.0,-568.1,,-470.9,-233.0,-866.1,-520.0,,-1802.6,-379.0,False,False,True,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,,False,False
