location,actual_deaths,Baseline,error-Baseline
Alabama,9590,3835.9,-5754.1
Alaska,289,285.4,-3.6
Arizona,15480,8668.1,-6811.9
Arkansas,5348,3956.9,-1391.1
California,49120,27911.7,-21208.3
Colorado,5887,2604.1,-3282.9
Connecticut,7523,4688.7,-2834.3
Delaware,1366,883.3,-469.7
District of Columbia,994,707.4,-286.6
Florida,29813,29382.9,-430.1
Georgia,16742,14120.9,-2621.1
Hawaii,429,382.3,-46.7
Idaho,1826,814.6,-1011.4
Illinois,22426,12161.3,-10264.7
Indiana,12336,5123.4,-7199.6
Iowa,5336,2379.7,-2956.3
Kansas,4573,1469.3,-3103.7
Kentucky,4426,2116.4,-2309.6
Louisiana,9440,7488.1,-1951.9
Maine,658,160.9,-497.1
Maryland,7697,5103.0,-2594.0
Massachusetts,15779,11364.6,-4414.4
Michigan,16342,8608.3,-7733.7
Minnesota,6491,2956.9,-3534.1
Mississippi,6553,5192.4,-1360.6
Missouri,8059,6787.6,-1242.4
Montana,1341,506.7,-834.3
Nebraska,2047,1054.0,-993.0
Nevada,4868,2711.3,-2156.7
New Hampshire,1153,459.9,-693.1
New Jersey,22834,16919.4,-5914.6
New Mexico,3610,1308.0,-2302.0
New York,46703,34048.7,-12492.3
North Carolina,10896,7570.7,-3325.3
North Dakota,1467,1044.4,-422.6
Ohio,18015,7369.0,-11022.0
Oklahoma,4155,2257.4,-1897.6
Oregon,2154,897.6,-1256.4
Pennsylvania,23540,10714.0,-12826.0
Rhode Island,2485,1503.3,-967.7
South Carolina,8256,5974.9,-2281.1
South Dakota,1859,551.7,-1307.3
Tennessee,11115,5693.3,-5421.7
Texas,42041,29448.1,-12308.9
Utah,1842,724.1,-1117.9
Vermont,196,58.0,-138.0
Virginia,7197,6160.4,-1034.6
Washington,4822,3414.0,-1427.0
West Virginia,2254,860.4,-1393.6
Wisconsin,6871,2094.4,-4687.6
Wyoming,662,70.9,-591.1
US,499023,314193.4,-184615.6
