location,actual_deaths,Baseline,error-Baseline
Alabama,9590,4316.7,-5273.3
Alaska,289,66.9,-222.1
Arizona,15480,8864.9,-6615.1
Arkansas,5348,5552.4,204.4
California,49120,28960.9,-20159.1
Colorado,5887,2582.3,-3304.7
Connecticut,7523,4754.3,-2768.7
Delaware,1366,752.1,-599.9
District of Columbia,994,707.4,-286.6
Florida,29813,28333.7,-1479.3
Georgia,16742,12481.6,-4260.4
Hawaii,429,579.0,150.0
Idaho,1826,1055.0,-771.0
Illinois,22426,11855.3,-10570.7
Indiana,12336,4992.3,-7361.7
Iowa,5336,2248.6,-3087.4
Kansas,4573,2059.4,-2512.6
Kentucky,4426,2225.7,-2200.3
Louisiana,9440,8275.0,-1165.0
Maine,658,204.6,-453.4
Maryland,7697,4775.1,-2921.9
Massachusetts,15779,11495.7,-4283.3
Michigan,16342,8236.7,-8105.3
Minnesota,6491,3022.4,-3468.6
Mississippi,6553,5279.9,-1273.1
Missouri,8059,3902.4,-4127.6
Montana,1341,637.9,-703.1
Nebraska,2047,616.9,-1430.1
Nevada,4868,3257.7,-1610.3
New Hampshire,1153,481.7,-671.3
New Jersey,22834,16853.9,-5980.1
New Mexico,3610,1417.3,-2192.7
New York,46703,34485.9,-12217.1
North Carolina,10896,7417.7,-3478.3
North Dakota,1467,716.6,-750.4
Ohio,18015,8986.4,-9404.6
Oklahoma,4155,1842.1,-2312.9
Oregon,2154,897.6,-1256.4
Pennsylvania,23540,10823.3,-12716.7
Rhode Island,2485,1459.6,-998.4
South Carolina,8256,6149.7,-2106.3
South Dakota,1859,595.4,-1263.6
Tennessee,11115,5278.0,-5837.0
Texas,42041,30016.4,-11746.6
Utah,1842,593.0,-1249.0
Vermont,196,58.0,-138.0
Virginia,7197,9329.7,2134.7
Washington,4822,3042.4,-1782.6
West Virginia,2254,1341.3,-912.7
Wisconsin,6871,1941.4,-4864.6
Wyoming,662,202.0,-460.0
US,499023,318368.1,-180632.9
