,mean_rank
RobertWalraven-ESG,10.9
LNQ-ens1,11.2
UMass-MechBayes,11.8
OliverWyman-Navigator,12.3
LANL-GrowthRate,12.4
Karlen-pypm,13.4
Google_Harvard-CPF,14.8
COVIDhub-ensemble,14.8
CU-select,15.0
USC-SI_kJalpha,15.0
Columbia_UNC-SurvCon,15.8
CovidAnalytics-DELPHI,16.2
BPagano-RtDriven,16.5
Microsoft-DeepSTIA,17.0
GT-DeepCOVID,17.3
IHME-CurveFit,17.4
epiforecasts-ensemble1,17.6
WalmartLabsML-LogForecasting,18.4
UA-EpiCovDA,18.5
CMU-TimeSeries,19.2
MIT_ISOLAT-Mixtures,19.6
CEID-Walk,19.6
Geneva-DetGrowth,19.7
MOBS-GLEAM_COVID,19.9
PSI-DRAFT,20.6
COVIDhub-baseline,20.6
UMich-RidgeTfReg,20.7
SigSci-TS,21.3
AIpert-pwllnod,22.3
JHU_CSSE-DECOM,22.3
JHU_IDD-CovidSP,23.8
Covid19Sim-Simulator,24.1
UCSD_NEU-DeepGLEAM,24.3
MIT_CritData-GBCF,28.5
IowaStateLW-STEM,30.2
JHUAPL-Bucky,31.0
TTU-squider,31.2
COVIDhub-trained_ensemble,35.7
