,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,9590,7063.9,8868.0,7053.6,8373.0,7990.6,,6923.8,8656.0,8112.8,6709.8,,5910.7,-2526.1,-722.0,-2536.4,-1217.0,-1599.4,,-2666.2,-934.0,-1477.2,-2880.2,,-3679.3,True,False,True,True,,False,True,True,False,,False
Alaska,289,325.7,214.5,328.1,223.0,376.5,,427.0,,285.0,210.8,,380.9,36.7,-74.5,39.1,-66.0,87.5,,138.0,,-4.0,-78.2,,91.9,False,False,False,False,,False,,True,False,,False
Arizona,15480,12009.9,10701.0,12321.4,11799.0,14468.8,,14086.2,13612.0,16137.9,10693.1,,10067.1,-3470.1,-4779.0,-3158.6,-3681.0,-1011.2,,-1393.8,-1868.0,657.9,-4786.9,,-5412.9,False,True,False,True,,True,True,True,False,,False
Arkansas,5348,5407.0,5976.4,5440.8,7485.0,6153.0,,5584.7,6204.0,6864.7,4890.4,,5289.8,59.0,628.4,92.8,2137.0,805.0,,236.7,856.0,1516.7,-457.6,,-58.2,False,False,False,False,,False,False,False,False,,True
California,49120,36908.4,27503.4,37306.4,66072.0,56180.6,,54696.2,39276.0,60794.6,56799.7,,33132.3,-12204.6,-21609.6,-11806.6,16959.0,7067.6,,5583.2,-9837.0,11681.6,7686.7,,-15980.7,False,True,False,True,,True,True,True,True,,False
Colorado,5887,6511.4,5365.9,6616.9,5778.0,7475.7,,7805.0,7758.0,6516.8,5021.7,,5888.1,624.4,-521.1,729.9,-109.0,1588.7,,1918.0,1871.0,629.8,-865.3,,1.1,True,False,True,False,,False,False,False,False,,True
Connecticut,7523,7441.0,7211.8,7470.6,6608.0,8366.7,,7559.8,7702.0,8449.7,6142.8,,6573.2,-82.0,-311.2,-52.4,-915.0,843.7,,36.8,179.0,926.7,-1380.2,,-949.8,False,True,False,False,,True,False,False,False,,False
Delaware,1366,1172.0,937.8,1191.8,997.0,1272.4,,1243.7,1366.0,1307.5,957.2,,1061.9,-59.0,-293.2,-39.2,-234.0,41.4,,12.7,135.0,76.5,-273.8,,-169.1,False,True,False,True,,True,False,False,False,,False
District of Columbia,994,1011.6,3366.5,1018.0,903.0,967.8,,983.9,923.0,999.3,806.2,,951.8,17.6,2372.5,24.0,-91.0,-26.2,,-10.1,-71.0,5.3,-187.8,,-42.2,False,False,False,False,,True,False,True,False,,False
Florida,29813,26272.0,24454.5,26428.2,28786.0,29643.6,,29889.3,26907.0,29589.2,25521.3,,25518.2,-3541.0,-5358.5,-3384.8,-1027.0,-169.4,,76.3,-2906.0,-223.8,-4291.7,,-4294.8,False,True,True,True,,True,True,True,False,,False
