,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9590,10050.9,10476.3,10310.8,10445.3,10301.0,10407.4,10120.0,9770.0,9429.0,9614.6,10203.0,9296.0,9467.0,9845.8,,10030.9,,9984.4,,10158.3,10833.0,8345.6,10238.0,9052.2,9342.8,10140.5,9768.4,10317.0,10226.1,10362.8,9847.7,10120.1,10821.5,,10171.1,9702.2,,10121.0,7092.6,9750.0,10034.5,,10438.4,9916.7,9560.0,10147.6,10195.0,,9155.7,11089.0,460.9,886.3,720.8,855.3,711.0,817.4,530.0,180.0,-161.0,24.6,613.0,-294.0,-123.0,255.8,,440.9,,394.4,,568.3,1243.0,-1244.4,648.0,-537.8,-247.2,550.5,178.4,727.0,636.1,772.8,257.7,530.1,1231.5,,581.1,112.2,,531.0,-2497.4,160.0,444.5,,848.4,326.7,-30.0,557.6,605.0,,-434.3,1499.0,False,False,False,False,False,False,True,True,True,False,True,True,True,,True,,True,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,False,True,,False,False,True,True,,False,True,True,False,False,,True,False
Alaska,289,310.6,297.2,300.6,327.5,288.0,313.0,300.0,293.0,279.0,292.6,313.0,275.6,290.0,295.1,,300.2,,302.5,,262.3,,267.2,307.0,309.2,291.6,304.0,292.4,311.0,302.3,301.2,297.0,295.2,298.0,,,294.2,292.0,300.0,336.9,284.0,323.2,,302.2,320.9,284.0,295.4,286.0,,295.7,305.0,21.6,8.2,11.6,38.5,-1.0,24.0,11.0,4.0,-10.0,3.6,24.0,-13.4,1.0,6.1,,11.2,,13.5,,-26.7,,-21.8,18.0,20.2,2.6,15.0,3.4,22.0,13.3,12.2,8.0,6.2,9.0,,,5.2,3.0,11.0,47.9,-5.0,34.2,,13.2,31.9,-5.0,6.4,-3.0,,6.7,16.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,False,,False,True,True,True,True,True,False,True,True,True,True,True,,,True,True,True,False,True,False,,True,False,True,True,True,,True,True
Arizona,15480,15771.4,15753.1,15790.3,15803.6,15625.0,15837.3,15535.0,15268.0,15625.0,15623.0,15628.0,15417.1,15868.0,16112.7,,15258.1,,15422.9,,15061.8,16025.0,15305.6,15553.0,15128.3,15105.8,15281.0,15316.6,15783.0,15750.0,15784.1,15800.8,15437.4,16135.5,,16047.6,15555.8,15544.0,15237.0,15474.2,15206.0,15491.2,,15770.4,15281.5,15214.0,15718.5,15459.0,,14827.9,15430.0,291.4,273.1,310.3,323.6,145.0,357.3,55.0,-212.0,145.0,143.0,148.0,-62.9,388.0,632.7,,-221.9,,-57.1,,-418.2,545.0,-174.4,73.0,-351.7,-374.2,-199.0,-163.4,303.0,270.0,304.1,320.8,-42.6,655.5,,567.6,75.8,64.0,-243.0,-5.8,-274.0,11.2,,290.4,-198.5,-266.0,238.5,-21.0,,-652.1,-50.0,True,False,False,True,False,True,True,True,True,True,True,False,False,,True,,True,,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,True,,True,True,True,True,True,,False,True
Arkansas,5348,5462.3,5415.1,5483.4,5512.1,5493.0,5507.0,5475.0,5432.0,5340.0,5491.6,5468.0,5304.8,5487.0,5547.8,,5388.6,,5453.6,,5439.0,5587.0,5501.2,5537.0,5456.0,5437.5,5410.0,5456.9,5563.0,5675.4,5471.1,5555.8,5469.4,5557.0,,5622.6,5419.4,,5480.0,5941.6,5366.0,5491.2,,5490.3,5568.3,5385.0,5538.2,5459.0,,5371.8,5454.0,114.3,67.1,135.4,164.1,145.0,159.0,127.0,84.0,-8.0,143.6,120.0,-43.2,139.0,199.8,,40.6,,105.6,,91.0,239.0,153.2,189.0,108.0,89.5,62.0,108.9,215.0,327.4,123.1,207.8,121.4,209.0,,274.6,71.4,,132.0,593.6,18.0,143.2,,142.3,220.3,37.0,190.2,111.0,,23.8,106.0,True,False,False,False,False,False,True,True,False,False,True,False,False,,True,,True,,True,False,False,False,True,True,True,True,False,False,False,False,False,False,,False,True,,False,False,True,False,,False,False,True,False,True,,True,True
California,49120,50148.0,51111.6,50875.9,50930.8,51177.0,50568.7,49338.0,48883.0,49020.0,49469.8,49670.0,48589.5,49389.0,51890.0,,48547.1,,48973.6,,48866.9,52566.0,43017.5,49638.0,48027.3,48348.7,48951.0,49271.0,50360.0,50121.0,49931.5,50311.3,49286.3,49717.0,,51152.9,49532.5,,48749.0,52106.9,47849.0,48882.0,,49941.8,49662.5,48372.0,49526.5,48898.0,,47008.5,49495.0,1028.0,1991.6,1755.9,1810.8,2057.0,1448.7,218.0,-237.0,-100.0,349.8,550.0,-530.5,269.0,2770.0,,-572.9,,-146.4,,-253.1,3446.0,-6102.5,518.0,-1092.7,-771.3,-169.0,151.0,1240.0,1001.0,811.5,1191.3,166.3,597.0,,2032.9,412.5,,-371.0,2986.9,-1271.0,-238.0,,821.8,542.5,-748.0,406.5,-222.0,,-2111.5,375.0,False,False,False,False,False,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,True,False,True,True,True,False,True,True,False,True,True,,False,True,,True,False,False,True,,True,True,True,True,True,,False,True
Colorado,5887,5900.0,5919.6,5833.0,5916.1,5969.0,5926.2,5935.0,5925.0,5935.0,5955.1,5870.0,5800.4,6004.0,6045.9,,5904.8,,6079.0,,5896.5,6105.0,8477.0,6029.0,6061.4,5941.9,5887.0,5919.8,5937.0,5777.1,5928.3,5990.1,5903.7,5920.0,,5954.9,5897.2,6023.0,5922.0,5899.6,5898.0,5974.1,,5951.2,6043.9,5929.0,5950.5,5918.0,,5987.4,5928.0,13.0,32.6,-54.0,29.1,82.0,39.2,48.0,38.0,48.0,68.1,-17.0,-86.6,117.0,158.9,,17.8,,192.0,,9.5,218.0,2590.0,142.0,174.4,54.9,0.0,32.8,50.0,-109.9,41.3,103.1,16.7,33.0,,67.9,10.2,136.0,35.0,12.6,11.0,87.1,,64.2,156.9,42.0,63.5,31.0,,100.4,41.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,True,False,False,True,True,False,,False,False,False,False,False,,False,False
Connecticut,7523,7526.0,7671.3,7551.7,7572.5,7599.0,7550.0,7550.0,7551.0,7579.0,7531.3,7540.0,7515.8,7594.0,7766.5,,7607.2,,7598.0,,7568.1,7673.0,7543.8,7599.0,7586.8,7580.4,7455.0,7487.7,7551.0,7508.5,7538.9,7629.6,7461.9,7525.0,,7573.3,7504.0,7725.0,7534.0,7386.5,7329.0,7443.9,,7549.3,7580.3,7486.0,7610.0,7490.0,,7378.6,7547.0,3.0,148.3,28.7,49.5,76.0,27.0,27.0,28.0,56.0,8.3,17.0,-7.2,71.0,243.5,,84.2,,75.0,,45.1,150.0,20.8,76.0,63.8,57.4,-68.0,-35.3,28.0,-14.5,15.9,106.6,-61.1,2.0,,50.3,-19.0,202.0,11.0,-136.5,-194.0,-79.1,,26.3,57.3,-37.0,87.0,-33.0,,-144.4,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Delaware,1366,1427.1,1326.3,1317.1,1450.2,1294.0,1444.0,1309.0,1281.0,1260.0,1309.9,1322.0,1164.9,1275.0,1312.1,,1445.8,,1294.7,,1197.8,1262.0,1144.8,1313.0,1311.3,1249.3,1337.0,1330.1,1320.0,1408.0,1298.9,1334.3,1276.5,1325.0,,,1303.2,1289.0,1334.0,1223.4,1369.0,1251.4,,1324.6,1363.1,1274.0,1287.9,1311.0,,1262.1,1419.0,188.1,87.3,78.1,211.2,55.0,205.0,70.0,42.0,21.0,70.9,83.0,-74.1,36.0,73.1,,206.8,,55.7,,-41.2,23.0,-94.2,74.0,72.3,10.3,98.0,91.1,81.0,169.0,59.9,95.3,37.5,86.0,,,64.2,50.0,95.0,-15.6,130.0,12.4,,85.6,124.1,35.0,48.9,72.0,,23.1,180.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
District of Columbia,994,1024.4,1012.8,1005.8,1022.2,1012.0,1023.0,1006.0,998.0,996.0,1008.9,1006.0,970.4,1004.0,1011.5,,1005.3,,1022.9,,998.0,1007.0,966.2,1013.0,988.8,992.9,1004.0,1002.0,1007.0,,,,1009.2,1029.0,,,1013.7,1016.0,999.0,939.3,1029.0,1005.4,,,1002.4,1001.0,,1009.0,,983.1,1024.0,30.4,18.8,11.8,28.2,18.0,29.0,12.0,4.0,2.0,14.9,12.0,-23.6,10.0,17.5,,11.3,,28.9,,4.0,13.0,-27.8,19.0,-5.2,-1.1,10.0,8.0,13.0,,,,15.2,35.0,,,19.7,22.0,5.0,-54.7,35.0,11.4,,,8.4,7.0,,15.0,,-10.9,30.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,,,,True,False,,,True,True,True,False,False,True,,,True,True,,True,,True,True
Florida,29813,29956.1,30471.9,29830.5,30032.2,29950.0,30077.3,29753.0,29498.0,29427.0,29695.0,29940.0,28870.2,29570.0,29952.5,,29388.8,,29580.0,,29514.7,30502.0,28206.7,30243.0,30606.3,29326.1,29416.0,29822.1,29924.0,29982.0,29485.7,30032.8,29751.3,30393.5,,30530.2,29526.7,,29884.0,31898.6,29378.0,29768.7,,29505.0,29974.3,29662.0,29851.9,29476.0,,28815.9,29851.0,143.1,658.9,17.5,219.2,137.0,264.3,-60.0,-315.0,-386.0,-118.0,127.0,-942.8,-243.0,139.5,,-424.2,,-233.0,,-298.3,689.0,-1606.3,430.0,793.3,-486.9,-397.0,9.1,111.0,169.0,-327.3,219.8,-61.7,580.5,,717.2,-286.3,,71.0,2085.6,-435.0,-44.3,,-308.0,161.3,-151.0,38.9,-337.0,,-997.1,38.0,False,True,False,True,False,True,False,False,True,True,False,False,True,,False,,False,,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,False,False,,True,False,False,True,,False,False,False,True,False,,False,True
