,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9590,4662.9,3574.0,3574.0,,-4927.1,-6016.0,-6016.0,,False,False,
Alaska,289,97.7,420.7,,,-191.3,131.7,,,True,,
Arizona,15480,6758.4,8337.6,6712.0,,-8721.6,-7142.4,-8768.0,,True,False,
Arkansas,5348,4284.4,3772.0,3926.0,,-1063.6,-1576.0,-1422.0,,False,False,
California,49120,24725.3,25859.1,20738.0,,-24394.7,-23260.9,-28382.0,,True,False,
Colorado,5887,2961.6,3075.6,2470.5,,-2925.4,-2811.4,-3416.5,,True,False,
Connecticut,7523,4850.6,4905.6,4700.0,,-2672.4,-2617.4,-2823.0,,True,False,
Delaware,1366,823.7,847.7,785.0,,-521.3,-497.3,-560.0,,True,False,
District of Columbia,994,750.1,731.8,673.0,,-243.9,-262.2,-321.0,,False,False,
Florida,29813,28432.0,24406.7,21451.0,,-1381.0,-5406.3,-8362.0,,False,False,
Georgia,16742,12205.7,10342.2,9824.0,,-4536.3,-6399.8,-6918.0,,False,False,
Hawaii,429,414.1,377.6,,,-14.9,-51.4,,,False,,
Idaho,1826,978.4,1234.8,847.0,,-847.6,-591.2,-979.0,,True,False,
Illinois,22426,12812.9,13168.3,11708.0,,-9613.1,-9257.7,-10718.0,,True,False,
Indiana,12336,5957.6,6596.6,5138.0,,-6315.4,-5676.4,-7135.0,,True,False,
Iowa,5336,2876.3,2937.0,2362.5,,-2459.7,-2399.0,-2973.5,,True,False,
Kansas,4573,2358.0,1731.7,1703.0,,-2215.0,-2841.3,-2870.0,,False,False,
Kentucky,4426,2062.9,2987.4,2222.0,,-2363.1,-1438.6,-2204.0,,True,True,
Louisiana,9440,7125.9,7088.3,6937.0,,-2314.1,-2351.7,-2503.0,,False,False,
Maine,658,161.9,172.2,211.0,,-496.1,-485.8,-447.0,,True,True,
Maryland,7697,4772.1,4674.3,4346.0,57831.0,-2924.9,-3022.7,-3351.0,50134.0,False,False,False
Massachusetts,15779,11376.6,14462.5,10570.0,,-4402.4,-1316.5,-5209.0,,True,False,
Michigan,16342,9010.4,9443.9,8374.0,,-7331.6,-6898.1,-7968.0,,True,False,
Minnesota,6491,3344.3,3950.0,3579.0,,-3146.7,-2541.0,-2912.0,,True,True,
Mississippi,6553,4760.4,4284.2,4998.0,,-1792.6,-2268.8,-1555.0,,False,True,
Missouri,8059,6912.0,5143.3,4100.0,,-1134.0,-2902.7,-3946.0,,False,False,
Montana,1341,643.7,2347.1,596.0,,-697.3,1006.1,-745.0,,False,False,
Nebraska,2047,858.4,1177.9,988.0,,-1188.6,-869.1,-1059.0,,True,True,
Nevada,4868,2377.6,3367.7,2004.0,,-2490.4,-1500.3,-2864.0,,True,False,
New Hampshire,1153,701.1,580.5,537.0,,-451.9,-572.5,-616.0,,False,False,
New Jersey,22834,16890.6,18747.7,16583.5,,-5943.4,-4086.3,-6250.5,,True,False,
New Mexico,3610,1269.3,3259.7,1223.0,,-2340.7,-350.3,-2387.0,,True,False,
New York,46703,34972.3,36946.4,34060.0,,-11555.7,-9581.6,-12468.0,,True,False,
North Carolina,10896,6334.6,7430.9,6884.0,,-4561.4,-3465.1,-4012.0,,True,True,
North Dakota,1467,1525.0,1384.1,1073.0,,58.0,-82.9,-394.0,,False,False,
Ohio,18015,6394.4,8563.0,7314.0,,-11988.6,-9820.0,-11069.0,,True,True,
Oklahoma,4155,1984.3,2403.7,2317.0,,-2170.7,-1751.3,-1838.0,,True,True,
Oregon,2154,1108.1,1217.8,891.0,,-1045.9,-936.2,-1263.0,,True,False,
Pennsylvania,23540,10875.7,11668.2,10132.0,,-12664.3,-11871.8,-13408.0,,True,False,
Rhode Island,2485,1356.3,1516.9,1276.0,,-1104.7,-944.1,-1185.0,,True,False,
South Carolina,8256,5418.9,4956.3,5258.0,,-2837.1,-3299.7,-2998.0,,False,False,
South Dakota,1859,1002.6,1109.4,756.0,,-856.4,-749.6,-1103.0,,True,False,
Tennessee,11115,6349.9,6310.1,5946.0,,-4765.1,-4804.9,-5169.0,,False,False,
Texas,42041,29247.0,29258.6,25914.0,18956.0,-12526.0,-12514.4,-15859.0,-22817.0,True,False,False
Utah,1842,1252.4,1629.3,1042.0,,-589.6,-212.7,-800.0,,True,False,
Vermont,196,58.0,95.9,59.0,,-138.0,-100.1,-137.0,,True,True,
Virginia,7197,4957.9,5335.9,4362.0,,-2236.1,-1858.1,-2832.0,,True,False,
Washington,4822,3095.1,3077.8,2704.0,,-1745.9,-1763.2,-2137.0,,False,False,
West Virginia,2254,781.0,776.3,834.0,,-1473.0,-1477.7,-1420.0,,False,True,
Wisconsin,6871,3124.4,3922.0,2944.0,,-3615.6,-2818.0,-3796.0,,True,False,
Wyoming,662,72.9,356.7,111.0,,-589.1,-305.3,-551.0,,True,True,
US,499023,309940.0,335243.6,290586.0,296187.0,-188770.0,-163466.4,-208124.0,-202523.0,True,False,False
