,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,9590,6931.0,7887.0,7704.3,6866.0,,6568.0,-2659.0,-1703.0,-1885.7,-2724.0,,-3022.0,True,True,False,,False
Alaska,289,254.9,438.8,413.0,,,310.9,-34.1,149.8,124.0,,,21.9,False,False,,,True
Arizona,15480,13409.3,13223.7,12840.3,13242.0,,11712.7,-2070.7,-2256.3,-2639.7,-2238.0,,-3767.3,False,False,False,,False
Arkansas,5348,5823.3,5294.4,4053.0,6280.0,,5446.7,475.3,-53.6,-1295.0,932.0,,98.7,True,False,False,,True
California,49120,37156.4,48643.8,54447.1,35908.0,,34715.2,-11961.6,-474.2,5329.1,-13210.0,,-14402.8,True,True,False,,False
Colorado,5887,7999.4,7402.5,7805.0,7954.0,,6725.7,2112.4,1515.5,1918.0,2067.0,,838.7,True,True,True,,True
Connecticut,7523,7511.9,8283.0,7755.0,7553.0,,6239.0,-11.1,760.0,232.0,30.0,,-1284.0,False,False,False,,False
Delaware,1366,1269.4,1205.6,1250.7,1280.0,,1214.9,7.4,-56.4,-11.3,18.0,,-47.1,False,False,False,,False
District of Columbia,994,931.9,961.5,933.4,877.0,,805.8,-62.1,-32.5,-60.6,-117.0,,-188.2,True,True,False,,False
Florida,29813,26785.7,29482.6,29981.8,25126.0,,25464.2,-3027.3,-330.4,168.8,-4687.0,,-4348.8,True,True,False,,False
Georgia,16742,13102.1,13733.0,15414.6,13608.0,,13108.6,-3639.9,-3009.0,-1327.4,-3134.0,,-3633.4,True,True,True,,True
Hawaii,429,352.9,386.2,491.9,,,337.1,-76.1,-42.8,62.9,,,-91.9,True,True,,,False
Idaho,1826,2210.0,2246.7,2487.4,2365.0,,1828.4,384.0,420.7,661.4,539.0,,2.4,False,False,False,,True
