,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9590,4999.9,6841.7,5864.0,4526.2,-4590.1,-2748.3,-3726.0,-5063.8,True,True,False
Alaska,289,334.4,572.8,,484.0,45.4,283.8,,195.0,False,,False
Arizona,15480,8649.7,13774.6,8712.0,8085.6,-6830.3,-1705.4,-6768.0,-7394.4,True,True,False
Arkansas,5348,3809.9,5146.7,4520.0,4549.2,-1538.1,-201.3,-828.0,-798.8,True,True,True
California,49120,24190.3,32514.4,24648.0,25020.3,-24928.7,-16604.6,-24471.0,-24098.7,True,True,True
Colorado,5887,5338.9,9172.0,5812.0,4874.1,-548.1,3285.0,-75.0,-1012.9,False,True,False
Connecticut,7523,6538.0,7833.6,6345.0,5490.2,-985.0,310.6,-1178.0,-2032.8,True,False,False
Delaware,1366,1030.9,1264.8,996.0,1025.8,-288.1,-54.2,-323.0,-293.2,True,False,False
District of Columbia,994,798.6,898.5,819.0,705.7,-195.4,-95.5,-175.0,-288.3,True,True,False
Florida,29813,24535.3,25203.1,22882.0,24969.3,-5277.7,-4609.9,-6931.0,-4843.7,True,False,True
Georgia,16742,12335.1,14677.1,12452.0,12459.0,-4406.9,-2064.9,-4290.0,-4283.0,True,True,True
Hawaii,429,374.4,341.1,,300.0,-54.6,-87.9,,-129.0,False,,False
Idaho,1826,1761.9,2514.3,1932.0,1443.9,-64.1,688.3,106.0,-382.1,False,False,False
Illinois,22426,22747.1,27420.3,22119.0,24111.6,321.1,4994.3,-307.0,1685.6,False,True,False
Indiana,12336,10190.7,14447.3,10782.0,10579.2,-1479.3,2777.3,-888.0,-1090.8,False,True,True
Iowa,5336,4734.9,5725.5,4939.0,4648.2,-601.1,389.5,-397.0,-687.8,True,True,False
Kansas,4573,2940.0,4550.3,3315.0,3988.1,-1633.0,-22.7,-1258.0,-584.9,True,True,True
Kentucky,4426,3188.4,4361.8,3726.0,3613.3,-1237.6,-64.2,-700.0,-812.7,True,True,True
Louisiana,9440,8150.0,11674.6,7958.0,8681.4,-1290.0,2234.6,-1482.0,-758.6,False,False,True
Maine,658,368.9,744.6,535.0,273.0,-289.1,86.6,-123.0,-385.0,True,True,False
Maryland,7697,6889.7,7953.7,6473.0,6535.1,-807.3,256.7,-1224.0,-1161.9,True,False,False
