,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9590,8034.1,8604.8,7860.3,,6790.7,6325.0,,7471.0,6729.1,7346.2,9309.0,6632.9,7098.5,,7855.2,6121.6,-1555.9,-985.2,-1729.7,,-2799.3,-3265.0,,-2119.0,-2860.9,-2243.8,-281.0,-2957.1,-2491.5,,-1734.8,-3468.4,True,False,,False,False,,False,False,False,True,False,False,,False,False
Alaska,289,276.7,280.5,278.5,,285.2,414.0,,,295.5,356.2,272.0,286.3,297.0,,321.0,263.7,-12.3,-8.5,-10.5,,-3.8,125.0,,,6.5,67.2,-17.0,-2.7,8.0,,32.0,-25.3,True,True,,True,False,,,True,False,False,True,True,,False,False
Arizona,15480,16466.7,19563.1,15883.0,,14146.7,13633.0,,15176.0,13453.8,14553.3,20966.0,12789.4,16542.0,,14516.1,11371.7,986.7,4083.1,403.0,,-1333.3,-1847.0,,-304.0,-2026.2,-926.7,5486.0,-2690.6,1062.0,,-963.9,-4108.3,False,True,,False,False,,True,False,True,False,False,False,,True,False
Arkansas,5348,5765.0,6012.0,5696.0,,6118.2,5383.0,,5856.0,6277.1,5315.1,5504.0,5021.6,4845.5,,5684.5,4721.7,417.0,664.0,348.0,,770.2,35.0,,508.0,929.1,-32.9,156.0,-326.4,-502.5,,336.5,-626.3,False,True,,False,True,,False,False,True,True,True,False,,True,False
California,49120,49719.1,70780.4,48697.5,,46656.7,41700.0,,46535.0,36048.4,46324.9,52845.0,35756.3,64580.5,,44159.5,33875.1,599.1,21660.4,-422.5,,-2463.3,-7420.0,,-2585.0,-13071.6,-2795.1,3725.0,-13363.7,15460.5,,-4960.5,-15244.9,False,True,,False,False,,False,False,False,False,False,False,,False,False
Colorado,5887,6812.9,6667.9,6856.9,,6432.1,6048.0,,6839.0,6693.2,6210.6,7381.0,7463.2,7117.0,,6696.8,6054.6,925.9,780.9,969.9,,545.1,161.0,,952.0,806.2,323.6,1494.0,1576.2,1230.0,,809.8,167.6,True,False,,True,True,,False,True,True,False,False,False,,True,True
Connecticut,7523,7641.9,7471.1,7675.8,,7343.1,7570.0,,7896.0,7613.5,8047.2,7658.5,7424.5,6934.5,,6816.6,6637.7,118.9,-51.9,152.8,,-179.9,47.0,,373.0,90.5,524.2,135.5,-98.5,-588.5,,-706.4,-885.3,True,False,,False,True,,False,True,False,False,True,False,,False,False
Delaware,1366,1218.0,1352.1,1203.5,,1190.8,1184.0,,1242.5,1089.1,1391.8,1166.0,1075.7,1213.0,,1137.3,1061.7,17.0,151.1,2.5,,-10.2,-17.0,,41.5,-111.9,190.8,-35.0,-125.3,12.0,,-63.7,-139.3,False,True,,True,False,,False,False,False,False,False,True,,False,False
District of Columbia,994,951.7,927.7,939.1,,986.5,983.0,,908.0,964.9,1036.0,990.0,981.2,945.0,,861.3,858.7,-42.3,-66.3,-54.9,,-7.5,-11.0,,-86.0,-29.1,42.0,-4.0,-12.8,-49.0,,-132.7,-135.3,False,False,,True,True,,False,True,True,True,True,False,,False,False
Florida,29813,28329.9,28174.6,28288.5,,28117.6,43616.0,,26934.0,27894.5,34589.4,29452.5,27394.5,28545.5,,27593.8,25025.2,-1483.1,-1638.4,-1524.5,,-1695.4,13803.0,,-2879.0,-1918.5,4776.4,-360.5,-2418.5,-1267.5,,-2219.2,-4787.8,False,False,,False,False,,False,False,False,True,False,True,,False,False
