,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9590,3689.9,3697.9,3631.0,,-5900.1,-5892.1,-5959.0,,True,False,
Alaska,289,97.7,263.7,,,-191.3,-25.3,,,True,,
Arizona,15480,7354.1,8762.3,6824.5,,-8125.9,-6717.7,-8655.5,,True,False,
Arkansas,5348,3748.3,4759.3,3942.0,,-1599.7,-588.7,-1406.0,,True,True,
California,49120,26889.7,24438.2,21451.0,,-22230.3,-24681.8,-27669.0,,False,False,
Colorado,5887,2604.1,3122.7,2496.0,,-3282.9,-2764.3,-3391.0,,True,False,
Connecticut,7523,4751.3,4996.2,4712.0,,-2771.7,-2526.8,-2811.0,,True,False,
Delaware,1366,883.3,975.0,727.0,,-466.7,-375.0,-623.0,,True,False,
District of Columbia,994,770.0,704.7,667.0,,-224.0,-289.3,-327.0,,False,False,
Florida,29813,27359.7,24938.0,21117.0,,-2453.3,-4875.0,-8696.0,,False,False,
Georgia,16742,11451.1,10355.7,9959.0,,-5290.9,-6386.3,-6783.0,,False,False,
Hawaii,429,632.6,280.0,,,203.6,-149.0,,,True,,
Idaho,1826,918.9,1437.1,876.0,,-907.1,-388.9,-950.0,,True,False,
Illinois,22426,12912.1,11688.0,11280.0,,-9513.9,-10738.0,-11146.0,,False,False,
Indiana,12336,5540.6,6843.1,5289.0,,-6749.4,-5446.9,-7001.0,,True,False,
Iowa,5336,2796.9,3036.7,2377.0,,-2539.1,-2299.3,-2959.0,,True,False,
Kansas,4573,1782.1,1750.3,1268.0,,-2782.9,-2814.7,-3297.0,,False,False,
Kentucky,4426,2241.6,2444.2,2139.0,,-2184.4,-1981.8,-2287.0,,True,False,
Louisiana,9440,7801.0,6784.5,7068.0,,-1639.0,-2655.5,-2372.0,,False,False,
Maine,658,181.7,190.2,210.0,,-476.3,-467.8,-448.0,,True,True,
Maryland,7697,4414.7,4801.3,4354.0,,-3282.3,-2895.7,-3343.0,,True,False,
Massachusetts,15779,11614.9,23284.9,10442.0,,-4164.1,7505.9,-5337.0,,False,False,
Michigan,16342,8712.6,8913.4,8176.0,,-7629.4,-7428.6,-8166.0,,True,False,
Minnesota,6491,3582.6,3302.1,3395.0,,-2908.4,-3188.9,-3096.0,,False,False,
Mississippi,6553,4879.6,4881.7,4944.0,,-1673.4,-1671.3,-1609.0,,True,True,
Missouri,8059,4827.0,6359.8,4350.0,,-3216.0,-1683.2,-3693.0,,True,False,
Montana,1341,465.0,2507.6,494.0,,-876.0,1166.6,-847.0,,False,True,
Nebraska,2047,1116.6,1330.0,844.0,,-930.4,-717.0,-1203.0,,True,False,
Nevada,4868,2377.6,3488.7,2084.0,,-2490.4,-1379.3,-2784.0,,True,False,
New Hampshire,1153,522.4,550.4,522.0,,-630.6,-602.6,-631.0,,True,False,
New Jersey,22834,16731.7,17715.3,16595.5,,-6102.3,-5118.7,-6238.5,,True,False,
New Mexico,3610,1328.9,2825.1,1194.0,,-2281.1,-784.9,-2416.0,,True,False,
New York,46703,34674.4,74610.1,33762.0,,-11844.6,28091.1,-12757.0,,False,False,
North Carolina,10896,7466.4,7948.3,6644.0,,-3429.6,-2947.7,-4252.0,,True,False,
North Dakota,1467,1127.9,1473.9,909.0,,-339.1,6.9,-558.0,,True,False,
Ohio,18015,8578.7,7593.5,6504.5,,-9880.3,-10865.5,-11954.5,,False,False,
Oklahoma,4155,1944.6,2493.4,2126.0,,-2210.4,-1661.6,-2029.0,,True,True,
Oregon,2154,1147.9,1030.8,865.0,,-1006.1,-1123.2,-1289.0,,False,False,
Pennsylvania,23540,10359.4,11997.7,9842.0,,-13180.6,-11542.3,-13698.0,,True,False,
Rhode Island,2485,1336.4,1764.7,1265.0,,-1133.6,-705.3,-1205.0,,True,False,
South Carolina,8256,5974.9,4800.8,4970.0,,-2281.1,-3455.2,-3286.0,,False,False,
South Dakota,1859,843.7,1198.4,536.0,,-1015.3,-660.6,-1323.0,,True,False,
Tennessee,11115,6548.4,5897.2,4934.0,,-4566.6,-5217.8,-6181.0,,False,False,
Texas,42041,27737.9,29997.9,26228.0,37257.0,-14022.1,-11762.1,-15532.0,-4503.0,True,False,True
Utah,1842,974.4,1356.3,723.0,,-867.6,-485.7,-1119.0,,True,False,
Vermont,196,58.0,72.8,59.0,,-138.0,-123.2,-137.0,,True,True,
Virginia,7197,5513.9,5437.1,4528.0,,-1680.1,-1756.9,-2666.0,,False,False,
Washington,4822,2976.0,12540.5,2592.0,,-1861.0,7703.5,-2245.0,,False,False,
West Virginia,2254,860.4,798.0,845.0,,-1393.6,-1456.0,-1409.0,,False,False,
Wisconsin,6871,3283.3,4572.5,2611.0,,-3511.7,-2222.5,-4184.0,,True,False,
Wyoming,662,112.6,1524.1,105.0,,-549.4,862.1,-557.0,,False,False,
US,499023,308311.7,343366.9,288780.0,292264.0,-190523.3,-155468.1,-210055.0,-206571.0,True,False,False
