,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9590,9865.1,10148.1,10047.0,10015.6,9945.0,9971.0,9906.0,10321.0,9794.0,10085.0,9489.5,9688.0,,9824.2,,9804.3,9802.1,,9596.1,10213.0,9066.8,9959.0,9475.7,9741.1,9911.0,9766.9,10009.0,9843.1,10020.8,9877.6,9820.6,10008.0,,10004.8,9829.5,9591.0,7339.6,9675.0,,10042.9,9696.0,10247.1,9906.0,,9602.8,9998.0,275.1,558.1,457.0,425.6,355.0,381.0,316.0,731.0,204.0,495.0,-100.5,98.0,,234.2,,214.3,212.1,,6.1,623.0,-523.2,369.0,-114.3,151.1,321.0,176.9,419.0,253.1,430.8,287.6,230.6,418.0,,414.8,239.5,1.0,-2250.4,85.0,,452.9,106.0,657.1,316.0,,12.8,408.0,False,False,False,False,False,False,False,True,False,True,True,,True,,True,True,,True,False,False,False,True,True,False,True,False,True,False,False,True,False,,False,True,True,False,True,,False,True,False,False,,True,False
Alaska,289,284.6,284.9,286.5,289.6,286.0,285.0,290.0,340.0,289.0,290.0,292.1,287.0,,291.8,,291.7,293.3,,295.0,,321.0,291.0,294.6,289.7,287.0,285.8,308.0,289.8,291.7,290.1,285.2,289.0,,,286.2,288.0,336.9,291.0,,294.2,284.0,290.2,285.0,,289.5,289.0,-4.4,-4.1,-2.5,0.6,-3.0,-4.0,1.0,51.0,0.0,1.0,3.1,-2.0,,2.8,,2.7,4.3,,6.0,,32.0,2.0,5.6,0.7,-2.0,-3.2,19.0,0.8,2.7,1.1,-3.8,0.0,,,-2.8,-1.0,47.9,2.0,,5.2,-5.0,1.2,-4.0,,0.5,0.0,True,True,True,True,True,True,False,True,True,True,True,,True,,True,True,,False,,False,True,False,True,True,True,False,True,True,True,True,True,,,True,True,False,True,,False,False,True,True,,True,True
Arizona,15480,15775.1,15827.9,15745.0,15852.6,15847.0,15885.0,15663.0,16048.0,15535.0,15726.0,14877.7,15744.0,,15650.9,,15896.9,15612.8,,15437.6,15969.0,14440.8,15749.0,15485.2,15558.1,15569.0,15635.4,15742.0,15779.4,15804.1,15712.2,15705.5,15663.0,,15808.6,15614.6,15637.0,15377.8,15567.0,,15803.5,15491.0,15739.4,15590.0,,15422.6,15671.0,295.1,347.9,265.0,372.6,367.0,405.0,183.0,568.0,55.0,246.0,-602.3,264.0,,170.9,,416.9,132.8,,-42.4,489.0,-1039.2,269.0,5.2,78.1,89.0,155.4,262.0,299.4,324.1,232.2,225.5,183.0,,328.6,134.6,157.0,-102.2,87.0,,323.5,11.0,259.4,110.0,,-57.4,191.0,False,True,False,False,False,True,False,True,True,False,True,,True,,False,True,,True,False,False,True,True,True,True,True,True,False,False,True,True,True,,False,True,True,True,True,,False,True,True,True,,True,True
Arkansas,5348,5427.0,5416.1,5420.0,5440.6,5440.0,5443.0,5427.0,5604.0,5420.0,5424.0,5295.4,5444.0,,5392.5,,5421.9,5410.6,,5400.9,5467.0,5828.3,5445.0,5436.7,5418.1,5379.0,5398.8,5490.0,5406.3,5430.8,5429.1,5395.4,5399.0,,5467.0,5394.0,5448.0,5852.5,5401.0,,5441.4,5388.0,5445.8,5428.0,,5407.2,5448.0,79.0,68.1,72.0,92.6,92.0,95.0,79.0,256.0,72.0,76.0,-52.6,96.0,,44.5,,73.9,62.6,,52.9,119.0,480.3,97.0,88.7,70.1,31.0,50.8,142.0,58.3,82.8,81.1,47.4,51.0,,119.0,46.0,100.0,504.5,53.0,,93.4,40.0,97.8,80.0,,59.2,100.0,True,True,False,False,False,False,False,True,True,True,False,,True,,True,True,,True,False,False,False,False,True,True,True,False,True,False,False,True,True,,False,True,False,False,True,,False,True,False,False,,True,False
California,49120,49544.4,49898.2,49614.3,49806.5,49664.0,49757.0,49361.0,50590.0,49146.0,49469.0,47388.1,49348.0,,49070.4,,48976.1,48883.2,,48866.9,49653.0,45890.6,49428.0,48821.8,49280.3,49081.0,49274.5,49632.0,49432.7,49676.2,49456.7,49397.3,49637.0,,49812.2,48972.6,48736.0,51628.2,48990.0,,49675.7,48960.0,49345.2,49504.0,,48662.6,49464.0,424.4,778.2,494.3,686.5,544.0,637.0,241.0,1470.0,26.0,349.0,-1731.9,228.0,,-49.6,,-143.9,-236.8,,-253.1,533.0,-3229.4,308.0,-298.2,160.3,-39.0,154.5,512.0,312.7,556.2,336.7,277.3,517.0,,692.2,-147.4,-384.0,2508.2,-130.0,,555.7,-160.0,225.2,384.0,,-457.4,344.0,False,False,False,False,False,True,False,True,True,False,True,,True,,True,True,,True,False,False,True,True,True,True,True,False,True,False,True,True,False,,False,True,True,False,True,,False,True,True,True,,False,True
Colorado,5887,5903.7,5902.4,5891.9,5908.0,5905.0,5906.0,5906.0,6215.0,5923.0,5889.0,5854.1,5936.0,,5891.3,,5881.9,5980.5,,5868.7,5859.0,8044.2,5904.0,5977.2,5890.9,5890.5,5904.9,5956.0,5836.5,5916.5,5908.0,5902.2,5877.0,,5908.6,5905.2,5956.0,5993.3,5901.0,,5927.3,5902.0,5925.3,5909.0,,5942.1,5892.0,16.7,15.4,4.9,21.0,18.0,19.0,19.0,328.0,36.0,2.0,-32.9,49.0,,4.3,,-5.1,93.5,,-18.3,-28.0,2157.2,17.0,90.2,3.9,3.5,17.9,69.0,-50.5,29.5,21.0,15.2,-10.0,,21.6,18.2,69.0,106.3,14.0,,40.3,15.0,38.3,22.0,,55.1,5.0,True,True,False,False,False,False,False,False,True,False,False,,True,,True,False,,False,False,False,False,False,True,True,False,False,False,False,False,True,True,,False,False,False,False,True,,False,True,False,False,,False,True
Connecticut,7523,7524.1,7563.9,7514.7,7549.4,7545.0,7548.0,7525.0,7790.0,7516.0,7529.0,7460.1,7525.0,,7564.8,,7516.7,7528.9,,7504.1,7645.0,8073.9,7560.0,7553.5,7485.9,7505.0,7500.5,7544.0,7516.7,7541.5,7534.9,7511.8,7525.0,,7524.6,7503.9,7617.0,7407.3,7458.0,,7548.8,7497.0,7551.0,7514.0,,7470.2,7510.0,1.1,40.9,-8.3,26.4,22.0,25.0,2.0,267.0,-7.0,6.0,-62.9,2.0,,41.8,,-6.3,5.9,,-18.9,122.0,550.9,37.0,30.5,-37.1,-18.0,-22.5,21.0,-6.3,18.5,11.9,-11.2,2.0,,1.6,-19.1,94.0,-115.7,-65.0,,25.8,-26.0,28.0,-9.0,,-52.8,-13.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,,False,False
Delaware,1366,1318.1,1319.6,1306.8,1323.5,1324.0,1326.0,1315.0,1414.0,1329.0,1309.0,1305.9,1304.0,,1326.4,,1342.6,1305.7,,1306.1,1323.0,1312.3,1313.0,1333.2,1307.5,1299.0,1305.8,1332.0,1303.9,1311.5,1314.1,1318.7,1308.0,,,1306.6,1322.0,1240.7,1373.0,,1323.4,1310.0,1315.6,1313.0,,1303.2,1337.0,30.1,31.6,18.8,35.5,36.0,38.0,27.0,126.0,41.0,21.0,17.9,16.0,,38.4,,54.6,17.7,,18.1,35.0,24.3,25.0,45.2,19.5,11.0,17.8,44.0,15.9,23.5,26.1,30.7,20.0,,,18.6,34.0,-47.3,85.0,,35.4,22.0,27.6,25.0,,15.2,49.0,False,True,False,False,False,True,False,False,True,True,True,,False,,False,True,,True,False,True,True,False,True,True,True,False,True,True,True,False,True,,,True,False,False,False,,False,True,True,True,,True,False
District of Columbia,994,1002.1,1014.8,1013.3,1009.6,1010.0,1011.0,1010.0,1041.0,1005.0,1014.0,1027.5,1004.0,,1012.4,,1019.4,1004.3,,1023.2,1013.0,994.2,1010.0,998.0,1000.5,999.0,996.3,1010.0,,,,1001.6,1011.0,,,1004.1,1014.0,948.9,1029.0,,,1000.0,,1013.0,,995.5,1010.0,8.1,20.8,19.3,15.6,16.0,17.0,16.0,47.0,11.0,20.0,33.5,10.0,,18.4,,25.4,10.3,,29.2,19.0,0.2,16.0,4.0,6.5,5.0,2.3,16.0,,,,7.6,17.0,,,10.1,20.0,-45.1,35.0,,,6.0,,19.0,,1.5,16.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,True,False,True,True,True,True,False,,,,True,False,,,False,False,False,False,,,True,,False,,True,False
Florida,29813,29707.3,29825.4,29718.4,29778.6,29749.0,29767.0,29691.0,30100.0,29526.0,29693.0,29001.2,29661.0,,29510.2,,29567.0,29595.5,,29514.7,30016.0,28974.8,29824.0,30105.1,29563.5,29650.0,29691.1,29887.0,29766.1,29603.5,29739.4,29702.8,30011.5,,29961.1,29499.9,29693.0,31239.2,29540.0,,29611.4,29628.0,29709.0,29706.0,,29376.2,29739.0,-105.7,12.4,-94.6,-34.4,-64.0,-46.0,-122.0,287.0,-287.0,-120.0,-811.8,-152.0,,-302.8,,-246.0,-217.5,,-298.3,203.0,-838.2,11.0,292.1,-249.5,-163.0,-121.9,74.0,-46.9,-209.5,-73.6,-110.2,198.5,,148.1,-313.1,-120.0,1426.2,-273.0,,-201.6,-185.0,-104.0,-107.0,,-436.8,-74.0,True,True,True,True,True,False,False,False,False,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,True,True,False,True,False,False,,False,False,False,False,False,,False,False,True,False,,False,True
