,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9590,5520.6,4811.0,3762.3,-4069.4,-4779.0,-5827.7,False,False
Alaska,289,292.0,,222.3,3.0,,-66.7,,False
Arizona,15480,8214.3,7800.0,7259.4,-7265.7,-7680.0,-8220.6,False,False
Arkansas,5348,3541.0,4198.0,2820.7,-1807.0,-1150.0,-2527.3,True,False
California,49120,22266.7,21258.0,21521.8,-26850.3,-27859.0,-27595.2,False,False
Colorado,5887,4652.3,4408.0,3430.7,-1234.7,-1479.0,-2456.3,False,False
Connecticut,7523,5651.6,5439.0,5092.4,-1871.4,-2084.0,-2430.6,False,False
Delaware,1366,985.4,940.0,768.0,-347.6,-393.0,-565.0,False,False
District of Columbia,994,743.1,691.0,674.3,-250.9,-303.0,-319.7,False,False
Florida,29813,23019.3,21406.0,21718.3,-6793.7,-8407.0,-8094.7,False,False
Georgia,16742,13238.9,11961.0,10394.5,-3503.1,-4781.0,-6347.5,False,False
Hawaii,429,235.9,,268.4,-193.1,,-160.6,,True
Idaho,1826,1770.6,1891.0,1432.7,-55.4,65.0,-393.3,False,False
Illinois,22426,19808.9,19138.0,13135.7,-2617.1,-3288.0,-9290.3,False,False
Indiana,12336,8803.9,9518.0,7365.2,-3182.1,-2468.0,-4620.8,True,False
Iowa,5336,3984.4,4236.0,3510.7,-1351.6,-1100.0,-1825.3,True,False
Kansas,4573,2361.9,2526.0,2269.7,-2139.1,-1975.0,-2231.3,True,False
Kentucky,4426,2991.3,2884.5,3439.8,-1434.7,-1541.5,-986.2,False,True
Louisiana,9440,7298.9,7235.0,7974.4,-2130.1,-2194.0,-1454.6,False,True
Maine,658,345.1,287.0,275.7,-312.9,-371.0,-382.3,False,False
Maryland,7697,5549.1,5076.0,5260.8,-2147.9,-2621.0,-2436.2,False,False
Massachusetts,15779,12823.3,13294.0,11325.6,-2955.7,-2485.0,-4453.4,True,False
Michigan,16342,14348.4,14190.0,12020.5,-1993.6,-2152.0,-4321.5,False,False
Minnesota,6491,6439.1,7730.0,5371.2,-51.9,1239.0,-1119.8,False,False
Mississippi,6553,4928.7,5164.0,4941.9,-1624.3,-1389.0,-1611.1,True,True
Missouri,8059,6463.3,6338.0,4200.7,-1573.7,-1699.0,-3836.3,False,False
Montana,1341,1406.9,1822.0,870.8,65.9,481.0,-470.2,False,False
Nebraska,2047,1832.1,2176.0,991.7,-214.9,129.0,-1055.3,True,False
Nevada,4868,2712.7,2568.0,2725.1,-2155.3,-2300.0,-2142.9,False,True
New Hampshire,1153,637.6,776.0,609.4,-515.4,-377.0,-543.6,True,False
New Jersey,22834,18464.4,17926.0,17899.8,-4369.6,-4908.0,-4934.2,False,False
New Mexico,3610,2559.1,2613.0,1854.5,-1050.9,-997.0,-1755.5,True,False
New York,46703,35819.6,36175.0,34569.0,-10883.4,-10528.0,-12134.0,True,False
North Carolina,10896,7563.6,7155.0,6957.6,-3332.4,-3741.0,-3938.4,False,False
North Dakota,1467,2080.1,2594.0,1048.4,613.1,1127.0,-418.6,False,True
Ohio,18015,8562.7,10116.0,7232.8,-8968.3,-7415.0,-10298.2,True,False
Oklahoma,4155,2775.1,3206.0,2234.5,-1379.9,-949.0,-1920.5,True,False
Oregon,2154,1190.6,1282.0,1005.4,-963.4,-872.0,-1148.6,True,False
Pennsylvania,23540,13239.3,12798.0,11737.6,-10300.7,-10742.0,-11802.4,False,False
Rhode Island,2485,1669.7,1652.0,1464.6,-778.3,-796.0,-983.4,False,False
South Carolina,8256,5165.1,5044.5,5352.6,-3090.9,-3211.5,-2903.4,False,True
South Dakota,1859,2140.6,2314.0,752.2,281.6,455.0,-1106.8,False,False
Tennessee,11115,8022.4,8476.0,7372.6,-3092.6,-2639.0,-3742.4,True,False
Texas,42041,31288.6,29320.0,26846.8,-10374.4,-12343.0,-14816.2,False,False
Utah,1842,1535.6,1983.0,1471.5,-306.4,141.0,-370.5,True,False
Vermont,196,59.0,73.0,60.8,-137.0,-123.0,-135.2,True,True
Virginia,7197,5088.7,5037.0,4796.2,-2108.3,-2160.0,-2400.8,False,False
Washington,4822,3627.6,3495.0,3611.0,-1208.4,-1341.0,-1225.0,False,False
West Virginia,2254,1662.9,1771.0,1248.7,-591.1,-483.0,-1005.3,True,False
Wisconsin,6871,5259.1,6038.0,5700.6,-1611.9,-833.0,-1170.4,True,True
Wyoming,662,559.7,544.0,338.1,-102.3,-118.0,-323.9,False,False
US,499023,353184.1,353603.0,389057.0,-144460.9,-144042.0,-108588.0,True,True
