,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9590,4180.9,6009.1,8013.3,3820.0,,-5409.1,-3580.9,-1576.7,-5770.0,,True,True,False,
Alaska,289,84.9,372.4,321.8,,,-204.1,83.4,32.8,,,True,True,,
Arizona,15480,6666.3,7685.2,7697.6,6484.0,,-8813.7,-7794.8,-7782.4,-8996.0,,True,True,False,
Arkansas,5348,3632.6,4258.4,4221.4,3868.0,,-1715.4,-1089.6,-1126.6,-1480.0,,True,True,True,
California,49120,23746.9,27786.4,38486.7,20718.0,,-25373.1,-21333.6,-10633.3,-28402.0,,True,True,False,
Colorado,5887,3015.3,4984.5,7000.8,2755.0,,-2871.7,-902.5,1113.8,-3132.0,,True,True,False,
Connecticut,7523,5167.0,5938.9,5487.8,4778.0,,-2356.0,-1584.1,-2035.2,-2745.0,,True,True,False,
Delaware,1366,950.7,924.3,1163.2,786.0,,-380.3,-406.7,-167.8,-545.0,,False,True,False,
District of Columbia,994,658.9,786.4,1048.4,671.0,,-335.1,-207.6,54.4,-323.0,,True,True,True,
Florida,29813,24217.0,26167.6,29973.1,21570.0,,-5596.0,-3645.4,160.1,-8243.0,,True,True,False,
Georgia,16742,10691.6,12165.6,14577.8,10149.0,,-6050.4,-4576.4,-2164.2,-6593.0,,True,True,False,
Hawaii,429,633.4,532.2,778.6,,,204.4,103.2,349.6,,,True,False,,
Idaho,1826,1331.6,1512.2,1523.1,1079.0,,-494.4,-313.8,-302.9,-747.0,,True,True,False,
Illinois,22426,14849.0,20392.9,19429.3,12942.0,,-7577.0,-2033.1,-2996.7,-9484.0,,True,True,False,
Indiana,12336,7383.4,10157.3,9632.3,6780.0,,-4818.6,-2044.7,-2569.7,-5422.0,,True,True,False,
Iowa,5336,3371.3,3788.4,4314.1,2782.0,,-1964.7,-1547.6,-1021.9,-2554.0,,True,True,False,
Kansas,4573,2591.1,2749.8,4146.6,1845.0,,-1962.9,-1804.2,-407.4,-2709.0,,True,True,False,
Kentucky,4426,2907.3,3189.8,4151.1,2588.0,,-1518.7,-1236.2,-274.9,-1838.0,,True,True,False,
Louisiana,9440,7303.6,7471.6,8987.2,7189.0,,-2136.4,-1968.4,-452.8,-2251.0,,True,True,False,
Maine,658,146.0,172.6,250.3,198.0,,-512.0,-485.4,-407.7,-460.0,,True,True,True,
Maryland,7697,5090.6,4996.6,7475.1,4463.0,56905.0,-2606.4,-2700.4,-221.9,-3234.0,49208.0,False,True,False,False
Massachusetts,15779,12004.9,14088.3,14099.3,11326.0,,-3774.1,-1690.7,-1679.7,-4453.0,,True,True,False,
Michigan,16342,10590.0,13670.1,14307.3,10578.0,,-5752.0,-2671.9,-2034.7,-5764.0,,True,True,False,
Minnesota,6491,4340.6,7170.5,6149.6,4684.0,,-2150.4,679.5,-341.4,-1807.0,,True,True,True,
Mississippi,6553,4671.0,4657.1,5338.8,4422.0,,-1882.0,-1895.9,-1214.2,-2131.0,,False,True,False,
Missouri,8059,6663.4,7859.4,6909.2,4836.0,,-1376.6,-180.6,-1130.8,-3204.0,,True,True,False,
Montana,1341,1241.0,1594.3,1298.9,890.0,,-100.0,253.3,-42.1,-451.0,,False,True,False,
Nebraska,2047,1405.1,1794.2,1768.9,1270.0,,-641.9,-252.8,-278.1,-777.0,,True,True,False,
Nevada,4868,2317.1,3098.6,4242.8,2286.0,,-2546.9,-1765.4,-621.2,-2578.0,,True,True,False,
New Hampshire,1153,591.0,1035.6,3675.7,619.0,,-562.0,-117.4,2522.7,-534.0,,True,False,True,
New Jersey,22834,17532.4,23028.4,17895.6,16819.0,,-5301.6,194.4,-4938.4,-6015.0,,True,True,False,
New Mexico,3610,1523.3,2656.8,2970.3,1324.0,,-2086.7,-953.2,-639.7,-2286.0,,True,True,False,
New York,46703,34517.7,37487.0,41609.6,34178.0,,-11965.3,-8996.0,-4873.4,-12305.0,,True,True,False,
North Carolina,10896,7916.1,7938.0,10563.3,7306.0,,-2979.9,-2958.0,-332.7,-3590.0,,True,True,False,
North Dakota,1467,1332.6,2140.5,1219.1,1467.0,,-134.4,673.5,-247.9,0.0,,False,False,True,
Ohio,18015,7549.1,9279.9,12205.9,7926.0,,-10630.9,-8900.1,-5974.1,-10254.0,,True,True,True,
Oklahoma,4155,2563.9,2435.9,3780.5,2467.0,,-1591.1,-1719.1,-374.5,-1688.0,,False,True,False,
Oregon,2154,1209.3,1240.6,2900.9,932.0,,-944.7,-913.4,746.9,-1222.0,,True,True,False,
Pennsylvania,23540,11715.0,14750.4,19000.9,11136.0,,-11825.0,-8789.6,-4539.1,-12404.0,,True,True,False,
Rhode Island,2485,1598.4,2658.9,1911.2,1452.0,,-870.6,189.9,-557.8,-1017.0,,True,True,False,
South Carolina,8256,6364.3,5471.2,7046.7,4848.0,,-1891.7,-2784.8,-1209.3,-3408.0,,False,True,False,
South Dakota,1859,1251.6,1694.9,1014.4,1036.0,,-607.4,-164.1,-844.6,-823.0,,True,False,False,
Tennessee,11115,6873.3,8479.4,8048.1,6232.0,,-4241.7,-2635.6,-3066.9,-4883.0,,True,True,False,
Texas,42041,26215.0,25526.8,33889.3,25602.0,46284.0,-15520.0,-16208.2,-7845.7,-16133.0,4549.0,False,True,False,True
Utah,1842,1060.9,1873.9,3183.2,1248.0,,-781.1,31.9,1341.2,-594.0,,True,False,True,
Vermont,196,58.0,74.7,67.8,58.0,,-138.0,-121.3,-128.2,-138.0,,True,True,False,
Virginia,7197,6019.3,5480.6,6444.1,5112.0,,-1173.7,-1712.4,-748.9,-2081.0,,False,True,False,
Washington,4822,3256.9,3621.7,5235.3,3040.0,,-1576.1,-1211.3,402.3,-1793.0,,True,True,False,
West Virginia,2254,812.7,953.0,1171.5,958.0,,-1441.3,-1301.0,-1082.5,-1296.0,,True,True,True,
Wisconsin,6871,5216.9,5193.1,6993.4,4742.0,,-1351.1,-1374.9,425.4,-1826.0,,False,True,False,
Wyoming,662,253.4,457.9,201.3,146.0,,-408.6,-204.1,-460.7,-516.0,,True,False,False,
US,499023,318870.4,477931.5,423822.8,302244.0,296893.0,-179266.6,-20205.5,-74314.2,-195893.0,-201244.0,True,True,False,False
