,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9590,6121.0,8533.9,6181.4,5939.0,7415.9,,7125.0,6584.5,6089.1,,5855.5,5620.7,-3469.0,-1056.1,-3408.6,-3651.0,-2174.1,,-2465.0,-3005.5,-3500.9,,-3734.5,-3969.3,True,True,False,True,,True,True,False,,False,False
Alaska,289,317.9,272.1,319.8,235.0,332.9,,,262.4,286.2,,366.1,264.3,28.9,-16.9,30.8,-54.0,43.9,,,-26.6,-2.8,,77.1,-24.7,True,False,False,False,,,True,True,,False,True
Arizona,15480,13408.4,15392.2,13519.2,11569.0,13861.1,,12746.0,11581.0,12228.7,,12239.4,10255.0,-2071.6,-87.8,-1960.8,-3911.0,-1618.9,,-2734.0,-3899.0,-3251.3,,-3240.6,-5225.0,True,True,False,True,,False,False,False,,False,False
Arkansas,5348,5579.9,6053.4,5744.6,5585.0,6191.7,,5690.0,5555.1,4779.9,,5829.3,4456.8,231.9,705.4,396.6,237.0,843.7,,342.0,207.1,-568.1,,481.3,-891.2,False,False,False,False,,False,True,False,,False,False
California,49120,42793.4,60202.6,42805.8,36398.0,53901.8,,41912.0,34508.1,31709.6,,39657.3,30118.8,-6326.6,11082.6,-6314.2,-12722.0,4781.8,,-7208.0,-14611.9,-17410.4,,-9462.7,-19001.2,False,True,False,True,,False,False,False,,False,False
Colorado,5887,7155.7,6779.9,7149.2,5895.0,6923.0,,6756.0,5895.2,7393.8,,6909.0,5802.2,1268.7,892.9,1262.2,8.0,1036.0,,869.0,8.2,1506.8,,1022.0,-84.8,True,True,True,True,,True,True,False,,True,True
Connecticut,7523,8211.0,7180.0,8254.3,6520.0,7439.0,,7498.0,7505.6,7113.4,,7683.1,6406.5,688.0,-343.0,731.3,-1003.0,-84.0,,-25.0,-17.4,-409.6,,160.1,-1116.5,True,False,False,True,,True,True,True,,True,False
Delaware,1366,1156.3,1349.7,1176.3,1003.0,1229.1,,1302.0,1049.0,1036.9,,1025.2,1025.1,-59.7,133.7,-39.7,-213.0,13.1,,86.0,-167.0,-179.1,,-190.8,-190.9,False,True,False,True,,False,False,False,,False,False
District of Columbia,994,972.3,943.7,1002.0,931.0,978.5,,983.0,960.4,1058.9,,881.1,838.9,-21.7,-50.3,8.0,-63.0,-15.5,,-11.0,-33.6,64.9,,-112.9,-155.1,False,True,False,True,,True,False,False,,False,False
Florida,29813,27301.3,26405.3,27176.2,25899.0,28562.5,,25832.0,25909.2,27862.5,,26578.3,24250.0,-2511.7,-3407.7,-2636.8,-3914.0,-1250.5,,-3981.0,-3903.8,-1950.5,,-3234.7,-5563.0,False,False,False,True,,False,False,True,,False,False
